945,2020-12-06,【华西电新|行业观察】LG新能源正式成立，电力市场化机制持续完善,睿评电新
946,2020-12-05,光伏行业“望见终局”系列深度三：组件：迎接大尺寸技术红利 一体化龙头攻城略地,广发证券
947,2020-12-04,电气设备新能源行业2021年度投资策略：兼顾成长和估值 在变中寻找机会,新浪
948,2020-12-04,2020年12月指数基金产品精选组合报告：基本面拐点渐显 把握盈利驱动主线,国金证券股份有限公司
949,2020-12-02,福斯特“福20转债”配售完成 一年两发可转债显示产能扩充意愿,金融界
950,2020-12-02,福斯特(603806.SH)可转债网上中签结果出炉：中签号共18.0289万个,格隆汇
951,2020-12-02,月度金股策略系列报告(第3期)：如果市场一致预期被“打破”该如何应对？,新浪
952,2020-12-01,电力电气设备行业：光伏业绩回顾：海内外需求复苏深化 逆变器出海正当时,新浪
953,2020-12-01,福20、运达、灵康、祥鑫转债投资价值分析,新浪
954,2020-12-01,福20转债申购价值分析：光伏胶膜龙头 发行转债加码产能,新浪
955,2020-12-01,【开源固收|转债】 全球光伏胶膜行业龙头——福20转债申购价值分析,致我们深爱的债券市场
956,2020-12-01,东北证券【新股】12月1日科兴制药、欧科亿等申购，健之佳、洁美转债上市,东北证券金融世界
957,2020-11-30,电力设备及新能源行业周报：光伏尺寸标准化助力平价 燃料电池关注度提升,新浪
958,2020-11-30,光伏胶膜龙头，发行转债加码产能—福20转债申购价值分析20201129【华创固收丨周冠南团队】,华创债券论坛
959,2020-11-30,电力设备新能源行业：合规有补贴电站确权 首批新能源车补贴发放,广发证券
960,2020-11-30,福20转债：光伏胶膜行业龙头 积极拓展电子材料领域,新浪
961,2020-11-30,招商固收：拓展电子新材料的光伏胶膜寡头，建议积极申购“福20转债”,Wind
962,2020-11-29,福20转债投资价值分析：光伏胶膜寡头 建议积极申购,新浪
963,2020-11-29,深度*行业*光伏行业2021年度策略：需求景气无忧 HJT如日方升,新浪
964,2020-11-27,【兴证固收·转债】EVA太阳能电池胶膜龙头 ——福20转债转债投资价值分析,兴证固收研究
965,2020-11-27,福斯特发17亿可转公司债 拟扩建68条光伏胶膜生产线,金融界
966,2020-11-27,金属生产巨头转向可再生能源,石化新闻网
967,2020-11-26,福斯特(603806.SH)拟公开发行17亿元可转债初始转股价73.69元/股,格隆汇
968,2020-11-26,光伏行业：全部合规有补贴电站确权 补贴问题解决再迎推进,广发证券
969,2020-11-26,智慧能源12亿收购标的评估2亿挂牌 财务顾问原为中金,中国经济网
970,2020-11-26,光伏胶膜寡头，建议积极申购——福20转债投资价值分析 | 国盛固收,业谈债市
971,2020-11-26,入局5年 远东智慧能源却欲贱卖电池业务为哪般？,电池中国
972,2020-11-24,电气设备行业周报：造车新势力三季度业绩亮眼 光伏资源整合加速,新浪
973,2020-11-23,电力设备及新能源行业周报：光伏龙头联合强化一体化布局 巨轮航定行稳致远,新浪
974,2020-11-23,电力设备第48周周报：财政部提前下达2021年可再生能源电价补贴 钴锂价格或小幅上涨,新浪
975,2020-11-23,电新行业周报：太阳能发电量持续提升 新能源车销量高增长有望持续,新浪
976,2020-11-19,签约！南京福斯特与徐州工业职业技术学院达成校企战略合作,橡胶技术网
977,2020-11-18,2021年电力设备及新能源行业投资策略：新能源发电渐入佳境 新能车全球渗透率提升,新浪
978,2020-11-17,电气设备行业周报：十月国内外新能源车销量高增 光伏单晶硅片价格平稳,新浪
979,2020-11-16,电力设备及新能源行业周报：广东上海发布氢能规划 燃料电池示范在即,新浪
980,2020-11-15,福斯特(603806.SH)实控人林建华累计减持达1%股份 减持股份,格隆汇
981,2020-11-15,福斯特：实际控制人林建华减持1%股份 减持股份,Wind
982,2020-11-14,电气设备行业周报：业绩向好 重视核心资产布局机会,国海证券
983,2020-11-13,光伏｜平价竞争新格局，优选成长确定性：2021年投资策略,中信证券研究
984,2020-11-12,电力设备及新能源行业光伏板块2021年投资策略：平价竞争新格局 优选成长确定性,新浪
985,2020-11-12,策略专题：MSCI中国A股调整报告,新浪
986,2020-11-12,电气设备行业-新能源汽车与电力设备行业三季报总结：景气与分化,新浪
987,2020-11-11,电气设备行业周报：大众ID.4明年一季度将上市 光伏硅料价格下降和玻璃短缺,新浪
988,2020-11-11,电力设备新能源周观察：光伏需求持续向好 电动车销量将超预期,新浪
989,2020-11-09,福斯特：实际控制人减持2.79%公司股份 减持股份,Wind
990,2020-11-09,福斯特(603806.SH)：实控人林建华减持2.79%公司股份 减持计划未实施完毕 拟减持股份,格隆汇
991,2020-11-09,电力设备及新能源行业周报：光伏全面放开容配比 特高压直流再获核准,新浪
992,2020-11-09,电力设备及新能源行业2020年三季度总结：“新新”向荣,新浪
993,2020-11-08,【华西电新|行业观察】优质车型供给有望持续驱动需求增长， 下游厂商积极寻求多晶硅环节合作,睿评电新
994,2020-11-05,电气设备行业周报：新能源汽车技术路线图发布 光伏玻璃再度涨价,新浪
995,2020-11-04,电力设备新能源行业周观点：纯电路线不动摇 政策护航新能源,广发证券
996,2020-11-04,安信证券：光伏目前国内与海外需求共振 建议把握4条主线,证券时报网
997,2020-11-03,六大巨头联合发声，光伏概念股还有补票机会吗？丨行业风口,第一财经
998,2020-11-03,平价引爆光伏行业，胶膜受益红利,集邦新能源网
999,2020-11-02,电新行业周报：光伏景气度延续 国内电动化有望加速,新浪
1000,2020-11-02,电力设备及新能源行业周报：光伏辅材涨价持续超预期 政策加码充换电建设运营,新浪
1001,2020-11-02,中泰证券：光伏行业量价齐升 龙头业绩高增（附股）,证券时报网
1002,2020-10-31,【山证电新】福斯特（603806.SH）：胶膜量价齐升，Q3业绩大幅增长,山西证券研究所
1003,2020-10-30,光伏行业大火！牛股飙涨260%，重要组件“一片难求”,e公司
1004,2020-10-30,光伏龙头跨越式扩产，中小企业渐次出清,Wind
1005,2020-10-29,中银晨会聚焦,新浪
1006,2020-10-28,25家光伏企业前三季度财报出炉！产业向好，企业净利润均可观！,索比光伏网
1007,2020-10-28,福斯特：持续扩产增强光伏胶膜龙头,财富动力网
1008,2020-10-27,电力设备及新能源行业周报：全生命周期小时数补贴出台 六部委再议剥离国网制造装备业务,新浪
1009,2020-10-27,福斯特前三季度实现营业收入54.69亿元 同比增长19.14%,北极星电力
1010,2020-10-27,【电新】福斯特：胶膜高景气推动业绩高增长,中银证券研究
1011,2020-10-27,中泰证券：光伏玻璃价格持续上涨,中泰证券
1012,2020-10-27,胶福斯特(603806)：膜量价齐升 毛利率大幅增长,新浪
1013,2020-10-27,【新时代电新 开文明团队】福斯特：业绩超预期，胶膜价格提升与成本下降推动毛利率大幅增长,新时代证券研究
1014,2020-10-27,【早安新时代】晨会早读2020/10/27： 今日关注法拉电子、福斯特,新时代证券研究
1015,2020-10-26,电力设备新能源周观察：光伏玻璃价格持续上涨 电动车Q4延续高增长,新浪
1016,2020-10-26,冯柳追高买，邓晓峰果断卖，大佬们这波调仓的节奏你跟得上吗？,中国证券网
1017,2020-10-26,福斯特(603806)：3季度毛利率如期达峰支撑盈利高增长符合预期,新浪
1018,2020-10-26,福斯特Q3净利同增47%，已宣布7.5亿平胶膜扩产计划,搜狐
1019,2020-10-25,福斯特：前三季度实现净利8.71亿元 同比增长47.06%,发布易
1020,2020-10-25,上周光伏胶膜主要原材料EVA暴涨25%，组件出货难再度加剧！,索比光伏网
1021,2020-10-25,福斯特(603806.SH)前三季度净利润升47.06%至8.71亿元,格隆汇
1022,2020-10-25,福斯特公布三季报 前三季净利增加47.06%,新浪
1023,2020-10-25,福斯特：前三季度净利润同比增长47.06%,Wind
1024,2020-10-19,电力设备及新能源行业周报：看好受益“两新一重”标的 风电迎预期改善,新浪
1025,2020-10-19,A股收盘综述：上证指数冲高回落收低0.71%，光伏、医药、食品板块领跌,Wind
1026,2020-10-19,600亿超级大牛股跌停了，四年多暴涨35倍！私募罕见看空,中国基金报
