,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
63,2021-12-23,金地商置1335万元出售深圳新诚天予金地集团，并续订批量精装服务协议,乐居财经
64,2021-12-23,金地商置(00535)拟1335万元出售深圳新诚天建筑工程100%股权,智通财经
65,2021-12-23,地产行业研报：几处早莺争暖树，谁家新燕啄春泥【中信证券】,每经网
66,2021-12-23,A股早报2021年12月23日星期四,Wind
67,2021-12-23,27股获券商买入评级，上海建工目标涨幅达67.13%,Wind
68,2021-12-23,金地集团12月22日现33笔大宗交易,证券时报网
69,2021-12-22,两市共发生250宗大宗交易 机构抢筹这些个股,第一财经
70,2021-12-22,A股共发生250宗大宗交易成交67.49亿元（12月22日）,Wind
71,2021-12-22,金地集团现33笔大宗交易 总成交金额16.53亿元,证券时报网
72,2021-12-22,金地集团今日大宗交易成交4550万股，成交价10.59元折价4.51%,Wind
73,2021-12-22,让城市更有趣 金地·启汇中心样板层开放暨伙伴答谢,TechWeb
74,2021-12-22,地产产业链全线爆发 逾20股涨停,新浪
75,2021-12-22,房地产行业动态点评：推进并购服务 助优质房企重启成长,新浪
76,2021-12-22,券商机构看好地产股估值修复行情,Wind
77,2021-12-21,千亿金地 百般“武艺”根生长春,搜狐
78,2021-12-21,地产行业点评：欲被拯救，必先自救【中信证券】,每经网
79,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
80,2021-12-21,中信证券：地产欲被拯救，必先自救,Wind
81,2021-12-21,主力紧急出手地产龙头、低位放量消费股出炉,Wind
82,2021-12-21,解盘：人气再度回暖，地产、基建、教育、数字货币领涨,Wind
83,2021-12-21,【行情】地产股早盘掀涨停潮，嘉凯城、大龙地产、新黄浦、中交地产等近20股封板，泰禾集团、金地集团、华侨城A、万科A等集体冲高,金十数据
84,2021-12-21,房企史记：金地列传（2014-2021）,债券池
85,2021-12-20,【招商房地产】按揭改善，22年Q2前全局房价或仍有下行压力—房地产行业最新观点及1-11月数据深度解读？,降噪房地产
86,2021-12-20,A股快报 | 21只重点房企20只上涨 金地集团涨幅3.12%,观点地产网
87,2021-12-18,房企热衷“钱生钱”，理财生意也爆雷，有企业曾一年投入195亿,证券之星
88,2021-12-16,金地集团：近2个月完成两笔中期票据发行，发行总额30亿元,澎湃新闻
89,2021-12-16,房地产行业月报：基本面低位波动 稳需求空间打开,新浪
90,2021-12-15,中国短期融资券及中期票据信用分析周报,新浪
91,2021-12-15,金地集团(600383.SH)完成发行15亿元中期票据,智通财经
92,2021-12-15,八大券商主题策略：当前房地产处于底部区域！,中投网
93,2021-12-15,重仓房企债上瘾：汇添富美元债基金样本,网易
94,2021-12-15,东北证券：发改委再提房地产仍是支柱产业，后续力度更大调节政策有望出台,财联社
95,2021-12-15,保障性住房建设料提速，房地产投资有支撑,Wind
96,2021-12-14,金地集团：“21金地MTN007”簿记截止时间调整为12月14日20:00,Wind
97,2021-12-14,房地产行业周报：会议定调态度积极 满足合理需求促进良性循环,新浪
98,2021-12-14,大家保险再减持金地集团！房地产利好消息多，地产股还是“不香”？ 减持股份,中金在线
99,2021-12-13,金地商置与金地集团订立2022年持续关连交易协议,观点地产网
100,2021-12-13,大家保险减持金地股份至10％，地产股不香了？ 减持股份,腾讯网
101,2021-12-13,险企年内“涉房”投资近5000亿元 甩卖地产股买入不动产,证券日报
102,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
103,2021-12-11,民企接连发债成功，但销售形势依然严峻,Wind
104,2021-12-10,民营房企融资也回暖！房地产信用债持续反弹、ABS提速、信托短暂升温,第一财经
105,2021-12-10,大家人寿年内 5 次减持金地集团，保险企业为何集体撤离地产股？ 减持股份,ZAKER
106,2021-12-09,夜读·房企融资｜合生创展、金地集团发布融资计划,贝壳财经
107,2021-12-09,两地地产上扬 金地拟发行15亿元3年期中期票据｜房资日报,金融界
108,2021-12-09,金地集团：大家人寿持有公司股份比例下降至10.43%,中国房地产网
109,2021-12-09,险资加速撤离房地产：“壮士断腕”背后投资逻辑生变,21世纪经济报道
110,2021-12-09,金地集团拟发行15亿元中期票据，用于偿还银行贷款,乐居财经
111,2021-12-09,近一个月大家人寿累计减持金地集团2.26亿股 减持股份,中国经济网
112,2021-12-08,房地产行业2022年策略报告：政策回暖 期待更大力度需求端政策打破信用收缩负循环,新浪
