,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
413,2020-12-15,变革将至！券业拥抱第三方时代来临，首批40家“正牌军”亮相,券商中国
414,2020-12-15,"变革将至！券业拥抱""第三方""时代来临，首批40家""正牌军""亮相，彭博、金证、同花顺…科技监管全面上线",券商中国
415,2020-12-12,互联网券商价值“新判断”，东方财富、同花顺、大智慧赛道之争,红周刊
416,2020-12-08,【计算机】市场小幅上行，关注云计算和金融IT――计算机行业周报――看好,渤海证券研究
417,2020-12-08,证券行业2021年度投资策略：进击与求变,新浪
418,2020-12-08,金融IT行业：慢牛长牛趋势下 基本面成为强支撑,财富动力网
419,2020-12-07,计算机行业周报：板块开启反弹 关注中期景气细分赛道,光大证券
420,2020-12-07,【民生计算机|周观点】政策推动超高清落地，5G应用新一轮景气周期可期,MS计算机
421,2020-12-07,计算机行业投资策略：积极变化正在发生 拥抱科技创新浪潮,新浪
422,2020-12-06,下周操盘攻略：业绩在，牛就在,Wind
423,2020-12-05,【民生周末重点推荐】首席看计算机：期待反弹，布局主线,MS研究
424,2020-12-01,【计算机】计算机板块持续调整，关注网络安全和金融IT――计算机行业周报――看好,渤海证券研究
425,2020-11-26,年末私募调研热情骤升，近4000家机构合计调研逾5200次,Wind
426,2020-11-24,十年精心打造、十年好评累积 口碑榜已成权衡上市公司的重要指标！,每日经济新闻
427,2020-11-23,【行情】金融科技板块午后异动拉升，新力金融涨停，财富趋势涨4.83%，指南针涨3.89%，大智慧、同花顺等跟涨,金十数据
428,2020-11-23,计算机周观点：把握工业软件投资机会,新浪
429,2020-11-23,公告 | 关于中邮同花顺、通达信手机APP更新的公告,中邮证券
430,2020-11-21,2万收益换52万罚单!伪研报公开售卖 财经大V遭处罚,券商中国
431,2020-11-21,"奇葩！""伪研报""公开售卖 财经大V遭监管处罚 发生了什么？2万收益换来52万罚单 其他违规处罚",金融界
432,2020-11-19,计算机行业周报：20Q3季报成走势分水岭!哪些重要信息?,新浪
433,2020-11-19,财经博主“凯恩斯”团队被罚52万,北京青年报
434,2020-11-18,研究报告也有假 239万粉丝“财经大V”凯恩斯被罚,中证报
435,2020-11-18,知名财经大V“凯恩斯”非法卖研报遭罚 赚2万被罚52万 其他违规处罚,新浪
436,2020-11-18,研究报告也有假的！拥有200多万粉丝的“财经大V”被处罚,中国证券网
437,2020-11-18,得不偿失！财经博主凯恩斯遭北京证监局处罚：违法出售研报，赚了2万被罚52万 金融监管处罚,每日经济新闻
438,2020-11-17,财经博主凯恩斯遭北京证监局处罚 非法经营证券业务 金融监管处罚,中国经济网
439,2020-11-10,1300亿龙头涨停，10倍牛股跌9%，市场逻辑骤变？,中证报
440,2020-11-04,A股共发生128宗大宗交易成交37.91亿元（11月4日）,Wind
441,2020-11-04,同花顺今日大宗交易成交3万股，成交价139.25元溢价0.0%,Wind
442,2020-11-02,传媒行业研究周报：顺周期广告板块效应明显 关注双十一背后竞争力,新浪
443,2020-11-02,创业板企业三季度业绩同比平均增长30%,Wind
444,2020-11-02,36家A股上市银行前三季度，合计实现净利1.3万亿元,Wind
445,2020-11-02,前三季度整体业绩亮眼，成创业板11周年“生日礼”,Wind
446,2020-10-27,因违规收集、使用个人信息，通达信APP上了工信部的这份“黑名单”，母公司股价近期遭“腰斩”！ 其他违规处罚,每日经济新闻
447,2020-10-27,胡润：蚂蚁集团以2.1万亿成中国最值钱金融科技企业,Wind
448,2020-10-27,盛视早参：抱团松动 “蚂蚁”能否撼动大树,新浪
449,2020-10-27,厦门银行过会百日终登A股：开盘暴涨44%触发停牌，第三季度净利润同比下滑两成 盈利能力下降,搜狐
450,2020-10-27,融资客青睐12股，新城控股买入占比高达47.84%,Wind
451,2020-10-27,A股融资融券日报：两融余额减少19.57亿元（10月26日）,Wind
452,2020-10-27,220股获券商买入评级，荣盛发展目标涨幅达82.68%,Wind
453,2020-10-26,同花顺(300033)：陆股通持股进一步提升；预收账款再创新高,新浪
454,2020-10-26,牛市旗手也崩了！这个市场爆发“熔断潮”，更有上演“天地板”,中国基金报
455,2020-10-26,A股收盘综述：上证指数连跌四日，创业板收红因充电桩、光伏、疫苗等题材反弹,Wind
456,2020-10-26,同花顺下挫逾10%，炒股软件指数跌幅扩大至5%,Wind
457,2020-10-26,【财报智读】同花顺：2020年前三季度营业总收入16.64亿元，归母净利润7.72亿元,面包财经
458,2020-10-26,【面包财报】同花顺：2020年前三季度营业总收入16.64亿元，归母净利润7.72亿元,面包财经
459,2020-10-26,同花顺大跌5.25%，近5日共流出13264万元,中新经纬
460,2020-10-26,炒股软件指数跌逾4%，其中同花顺跌超7%,Wind
461,2020-10-26,金融行业周报：39-平安银行、同花顺发布3Q20业绩；保险布局开门红,新浪
462,2020-10-26,同花顺：稀缺的金融科技龙头 发展模式仍存大变革,财富动力网
463,2020-10-25,口碑榜各单项奖项入围名单即将揭晓,每日经济新闻
464,2020-10-25,【民生计算机|周观点】蚂蚁上市在即，C端B端赋能完善金融科技生态圈,MS计算机
465,2020-10-25,【同花顺】业绩较好，关注β行情,志明看金融
466,2020-10-24,【兴证计算机】拥抱开源后浪-聚焦“1024”程序员节,兴业计算机团队
467,2020-10-24,上市公司正负面新闻2020年10月24日星期六,Wind
468,2020-10-23,10月23日晚间上市公司十大重磅公告,巨丰财经
469,2020-10-23,同花顺(300033.SZ)第三季度归母净利润同比增长71.80%至3.33亿元,智通财经
470,2020-10-23,同花顺：第三季度净利润3.33亿元同比增长71.8%,格隆汇
471,2020-10-23,同花顺：前三季度净利润为7.72亿元，同比增长68.45%,36氪
472,2020-10-23,同花顺(300033.SZ)：拟14.02亿元建设同花顺未来科技园项目,格隆汇
473,2020-10-23,同花顺(300033.SZ)：前三季净利同比增68.45%至7.72亿元,格隆汇
474,2020-10-23,同花顺：前三季度净利润增长68% 北向资金增持,e公司
475,2020-10-23,【华西计算机】同花顺 | 点评报告：聚焦预收款及现金流，迎业绩大年,科技晶选
476,2020-10-18,2020第十届中国上市公司口碑榜进行时：数据模型紧锣密鼓进行筛选，公众投票本月26日将开放通道！,每日经济新闻
477,2020-10-12,国家金融科技认证中心落地，三大独角兽准备上市，把握龙头机会,第一财经
478,2020-10-12,计算机行业周报：数字货币、自动驾驶等出现积极信号 市场风险偏好回升,新浪
479,2020-09-27,投资银行业与经纪业-每周一话：场外衍生品新规落地 开门红预期逐步升温,新浪
480,2020-09-27,投资银行业与经纪业-券商股跟踪系列二十四：场外衍生品站在新一轮扩容起点,新浪
481,2020-09-27,计算机行业研究周报：“云、库、链”技术风起 看好金融科技持续落地,新浪
482,2020-09-26,第一创业证券5年广告力挺 指南针86万用户撬动220亿市值,中国经营报
483,2020-09-24,A股共发生141宗大宗交易成交34.76亿元（9月24日）,Wind
484,2020-09-24,同花顺现1笔大宗交易 共成交940.80万元,新浪
485,2020-09-24,同花顺今日大宗交易成交6万股，成交价156.8元溢价0.0%,Wind
486,2020-09-21,同花顺(300033.SZ)：凯士奥已减持181.965万股 减持股份,格隆汇
487,2020-09-21,同花顺：股东凯士奥累计减持0.34%股份 减持股份,Wind
488,2020-09-21,A股融资融券日报：两融余额增加37.75亿元（9月18日）,Wind
489,2020-09-20,传媒一周观点：持续提示的后疫情板块表现较强 关注Q3业绩兑现,新浪
490,2020-09-20,每周一话：开门红复苏预期下推荐保险 券商有望持续享受政策红利,新浪
491,2020-09-16,同花顺(300033)：营收净利创新高 后续高增长可期,新浪
492,2020-09-14,"同花顺现1笔大宗交易 共成交1,501.80万元",新浪
493,2020-09-14,时代景点及旅游周报 | 加长版黄金周旅游促销大战打响，有望迎今年首个旅游高峰,时代在线
494,2020-09-13,每周一话：券商积极探索买方投顾 保险资负双击建议配置,新浪
495,2020-09-11,计算机行业第四季度投资策略报告：科技新时代，关注细分行业龙头,渤海证券
496,2020-09-09,一则消息，15连板大牛股巨量一字跌停！,中国基金报
497,2020-09-09,拨备增长吞噬上市银行净利，上半年计提资产减值逾8600亿元同比增38.61%,Wind
498,2020-09-07,2020年计算机行业中报总结：业绩情绪阶段性底部 Q2恢复明显前景可期,新浪
499,2020-09-07,创业板已无股价低于4元的公司，17只4元股半日最小涨幅为6.29%,Wind
500,2020-09-07,证券行业深度报告：景气抬升盈利改善 龙头扩表强者恒强,新浪
501,2020-09-04,11股受融资客青睐，净买入超亿元,证券时报网
502,2020-09-03,A股融资融券日报：两融余额增加98.95亿元（9月2日）,Wind
503,2020-09-02,A股融资融券日报：两融余额增加35.99亿元（9月1日）,Wind
504,2020-09-01,口罩股半年考：有的赚10倍，有的亏10亿,时代在线
505,2020-09-01,A股融资融券日报：两融余额增加106.79亿元（8月31日）,Wind
506,2020-08-30,【兴证计算机】金融科技：政策及产业双红利驱动！,兴业计算机团队
507,2020-08-28,【申港计算机】周观点：华为的智能网联产业链布局-200830,猫猫王看计算机
508,2020-08-27,同花顺(300033)：各业务板块稳步增长 流量平台优势稳固,创业板
509,2020-08-27,指南针主业营收占比91.8% 高居同行榜首，研发投入高增长持续推进产品和技术升级,和讯
510,2020-08-26,同花顺(300033)：受益交易回暖 基金销售表现尤为突出,创业板
511,2020-08-26,【同花顺】业绩增长再提速，探索新业务场景,志明看金融
512,2020-08-26,机构看好创业板“新老”共振，市场投资理念将有大变化,中证报
513,2020-08-26,A股融资融券日报：两融余额减少7.68亿元（8月25日）,Wind
514,2020-08-26,北向资金动向盘点：反手加仓茅台，但“食药”持仓占比已达31.3%,Wind
515,2020-08-25,汇丰银行将同花顺评级上调至持有 目标价130元,网易
516,2020-08-25,A股收盘综述：创业板综指放量收升1.31%，43只创业板股涨幅超10%,Wind
517,2020-08-25,A股午盘综述：创业板综指午盘涨1.25%，喝白酒炒创业板成为市场主线,Wind
518,2020-08-25,同花顺大涨12%!中报净利润同比增66%,金融界
519,2020-08-25,上市公司正负面新闻2020年8月25日星期二,Wind
520,2020-08-24,晚间重要公告2020年8月24日星期一,Wind
521,2020-08-24,同花顺：上半年净利4.39亿元 同比增66%,第一财经
522,2020-08-24,同花顺(300033.SZ)：上半年净利升65.99%至4.39亿元,格隆汇
523,2020-08-24,【华西计算机】同花顺 | 点评报告：净利大增66%，流量Beta龙头弹性可期,科技晶选
524,2020-08-23,券商第三方平台展业迎新规 差异化合作模式呼之欲出,中国基金报
525,2020-08-23,券商大利好！第三方平台新规来了,中国基金报
526,2020-08-18,金融科技创新浪潮将开启，行业新周期来袭,Wind
527,2020-08-15,影响太大了！监管又有重磅新规来了,中国基金报
528,2020-08-12,东方财富(300059)1H2020业绩点评：证券业务高速增长 基金销售收入翻倍,创业板
529,2020-08-12,创业板一哥宁德时代砸近200亿“抄底”，点名买这些,中国基金报
530,2020-08-10,同花顺现1笔大宗交易 共成交215.58万元,新浪
531,2020-08-10,同花顺今日大宗交易成交1.52万股，成交价141.83元溢价0.0%,Wind
532,2020-08-07,新华基金与同花顺签署战略合作协议 打造基金名品及一站式理财,新浪
533,2020-08-05,【报道】今天同花顺等行情软件上，仙鹤股份(603733)换手率出现了惊人一幕，达到106.48%，已经突破了换手率公式的限制,金十数据
534,2020-08-05,险资二季度重仓生物医药等三大板块，仍在加仓贵州茅台,21世纪经济报道
535,2020-08-03,今天3家银行限售股解禁，其中一家流通盘激增近400% 解禁,中证报
536,2020-08-03,计算机行业周报：持续推荐金融科技,国海证券
537,2020-08-02,【民生计算机|周观点】政策支持车联网标准建设，产业有望加速落地,MS计算机
538,2020-07-29,[券业场]首家“PE系券商”宣布终止与同花顺合作 受业务发展影响还是另有隐情？ 经营问题,金融界
539,2020-07-28,计算机行业周报：数据库国产化的七大核心问题聚焦,新浪
540,2020-07-23,银河证券：金融IT景气上升，龙头公司乘风破浪,Wind
541,2020-07-23,13904亿！沪深两融余额创5年新高，有券商系统宕机,Wind
542,2020-07-22,A股共发生220宗大宗交易成交124.18亿元（7月22日）,Wind
543,2020-07-21,金融新基建大盘点：解读10家头部人工智能厂商与8款金融产品,零壹财经
544,2020-07-21,2020年计算机行业中期投资策略：使命召唤 紧握新基建与信创主旋律,新浪
545,2020-07-20,计算机行业研究：注册制和存托凭证快速落地 交易所竞争加速资本市场创新,新浪
546,2020-07-20,券业佣金战风潮再起:赠VIP快速通道 送机构席位号,券商中国
547,2020-07-20,A股火热券商很忙 券业佣金战风潮再起：万一免五、赠VIP快速通道,券商中国
548,2020-07-18,揭秘北上资金：连续5日加仓这26只个股（附名单），露天煤业、康辰药业、同花顺排前三,每日经济新闻
549,2020-07-18,A股市场巨震，北上资金逆市加仓券商股,Wind
550,2020-07-15,股市火热券商花式揽客，“擦边球”营销抬头,Wind
551,2020-07-13,同花顺现1笔大宗交易 共成交522.54万元,新浪
552,2020-07-13,金融周报：全面上调证券行业盈利及目标价；央行公布6 月社融数据,新浪
553,2020-07-10,全国投资者保护宣传 | 非法直播荐股频现 不妨重拳出击 其他违规处罚,巨丰财经
554,2020-07-10,【东吴计算机周报】: IDC发布关系型数据库市场报告，数据库市场保持快速增长,吴声计事
555,2020-07-09,同花顺总市值突破1000亿大关,--
556,2020-07-08,A股早报2020年7月8日星期三,Wind
557,2020-07-07,计算机行业：牛市初期 看好金融IT,新浪
558,2020-07-07,同花顺龙虎榜数据（7月7日）,Wind
559,2020-07-07,龙虎榜：东方财富、同花顺回调 北向资金抄底、机构资金现分歧,证券时报网
560,2020-07-07,互联网券商今日集体调整，外资逆势买入东财、同花顺,Wind
561,2020-07-06,牛市信号批量来，A股这波还能冲多高？,券商中国
562,2020-07-06,同花顺龙虎榜数据（7月6日）,Wind
563,2020-07-06,满屏都是牛市味！券商股几近全涨停！两小时成交近万亿,21世纪经济报道
564,2020-07-04,计算机行业周报：复盘上轮牛市金融ITVS券商,新浪
565,2020-07-03,市场火爆成交金额破万亿 金融IT板块迎机遇,证券时报网
566,2020-07-03,A股早报2020年7月3日星期五,Wind
567,2020-07-02,7月2日龙虎榜，机构青睐这10股,证券时报网
568,2020-07-02,创业板指翻红，同花顺封住涨停,Wind
569,2020-06-28,七月策略：游戏催化不断引领板块 财报季关注中报兑现,新浪
570,2020-06-22,计算机行业周报：市场持续上涨 关注确定性标的,渤海证券
571,2020-06-22,一周20大牛熊股：凯撒文化10天9板遭监管重点监控,21世纪经济报道
572,2020-06-22,融资客青睐15股，仁东控股买入占比高达47.73%,Wind
573,2020-06-19,直播荐股割韭菜，“血案”频频发生！证监会：警惕“庄家”“大V”,中国基金报
574,2020-06-13,汽车智能化迎窗口期，融资客斥资逾13亿元抢筹,Wind
575,2020-06-12,银行板块距离全面破净仅四步之遥，多家银行出手“护价”,21世纪经济报道
576,2020-06-11,5178点五周年，昔日10倍股今何在？这些新10倍股大牛涌现,中证报
577,2020-06-11,计算机行业半年度投资策略报告：科技新浪潮 关注网安、云计算和金融科技,渤海证券
578,2020-06-11,2020年6月10日，同花顺：为进一步推动服务实体经济 郑商所拓展了白糖“产业基地”,郑商所
579,2020-06-09,大规模放贷将至？周鸿祎花12.8亿元拿下牌照，360进军银行业,36氪
580,2020-06-08,计算机行业周报：精选层制度落地 金融IT再迎利好,渤海证券
581,2020-06-05,深交所和中证指数公司自6月15日调整深证基本面指数和深证产业链指数系列样本股,Wind
582,2020-06-05,证券及其他：投资回落拖累业绩环比下滑；同比受益于低基数仍维持增长 盈利能力下降,新浪
583,2020-06-04,评级也“通胀”了？ 一个月37家企业评级获上调,Wind
584,2020-06-01,计算机行业周报：腾讯5000亿投入新基建 关注云计算板块,渤海证券
585,2020-06-01,金融科技交投活跃,Wind
586,2020-05-29,“T+0”带来的IT需求,跨越鸿沟
587,2020-05-29,炒股软件龙头突然崩了：一度大跌12%，70亿市值没了...发生什么事？ 连续下跌,21财闻汇
588,2020-05-29,同花顺跌3.51%创近1个月新低，报107.49元 连续下跌,中新经纬
589,2020-05-29,同花顺(300033.SZ)跌5% 股东套现4.5亿后再抛减持计划 拟减持股份,格隆汇
590,2020-05-29,同花顺跌超5%，4股东拟合计减持不超7.29%股份,Wind
591,2020-05-29,上市公司正负面新闻2020年5月29日星期五,Wind
592,2020-05-28,晚间重要公告2020年5月28日星期四,Wind
593,2020-05-28,同花顺：部分持股5%以上股东、董事股份减持计划实施结果 拟减持股份,每日经济新闻
594,2020-05-28,同花顺：4名董事、股东计划减持合计不超过7.29%公司股份 拟减持股份,金融界
595,2020-05-28,同花顺(300033.SZ)：部分持股5%以上股东、董事拟减持不超7.29%的股份 拟减持股份,格隆汇
596,2020-05-28,同花顺：叶琼玖等4股东拟合计减持不超7.29% 减持股份,Wind
597,2020-05-25,计算机行业周报：继续看好信创产业 金融科技持续高景气,国海证券
598,2020-05-19,股票账户为何离奇被盗？监管重拳出击 个别券商存三大问题 这家机构遭点名！,券商中国
599,2020-05-15,监管部门向券商提示风险，应明确与第三方平台责任边界,Wind
600,2020-05-13,史无前例！全球最大主权财富基金大失血，哪些A股将抛售？,中国基金报
601,2020-05-12,恒瑞医药澄清：浙江某医院医生受贿案事件是子公司员工个人行为 其他违规处罚,Wind
602,2020-05-12,马云身家3021亿成中国首富，马化腾许家印列二三位，王健林第七,搜狐
603,2020-05-04,【华西计算机】金融科技动态跟踪：开放三方平台，金融科技创新有望迎来第二春,科技晶选
604,2020-04-30,指南针上市首份年报：营收扣非净利双增 毛利率达86%,新浪
605,2020-04-27,同花顺：首季净利润1.27亿元同比增长26.35%,格隆汇
606,2020-04-27,同花顺(300033.SZ)一季度净利润升26.35%至1.27亿元,格隆汇
607,2020-04-27,同花顺：一季度净利润同比增长26.35%,Wind
608,2020-04-23,人福医药、同花顺、紫光股份等56只业绩大增股获机构抢筹,证券时报网
609,2020-04-17,庄味十足？它“九日一线”，曾一年涨3倍，筹码却急速集中,证券时报网
610,2020-04-17,在三方平台推万1.2低佣引争议，两券商火速删除信息,Wind
611,2020-04-16,券商开户导流烧至今日头条，低佣金战火再起？两券商删信息,券商中国
612,2020-04-16,小心中招！交易所紧急提示：这款交易软件有漏洞，存在被破解风险！,中国基金报
613,2020-04-15,融资客青睐9股，海亮股份买入占比高达72.76%,Wind
614,2020-04-15,一签或赚10万的机会，就在今天,中证报
615,2020-04-14,“通达信”一波三折上市背后：生逢其时，棋差三招？,格隆汇
616,2020-04-14,新股排查丨财富趋势业务、客户结构单一，缺乏新增市场空间,21世纪经济报道
617,2020-04-14,A股融资融券日报：两融余额减少5.11亿元（4月13日）,Wind
618,2020-04-14,股票账户被盗！同花顺事件波及十多家券商，你的账户安全吗,券商中国
619,2020-04-13,A股融资融券日报：两融余额减少69.06亿元（4月10日）,Wind
620,2020-04-11,机构龙虎榜本周抢筹个股揭秘（附股）,证券时报网
621,2020-04-11,庄股济民制药深陷“盗号接盘”疑云,证券时报
622,2020-04-10,A股惊现庄家“盗号接盘”，祸起微信荐股群！受害股民：“我的白马股被清仓，全买了这只庄股……”,e公司
623,2020-04-10,网传有股民账户被盗买入庄股，同花顺股价大跌，回应称与事实不符 连续下跌,证券时报网
624,2020-04-10,同花顺:网络传言与事实不符 呼吁用户加强账户安全防范意识,新浪
625,2020-04-10,济民“毒”药！多地股民账户遭盗号清仓 接盘浙江6倍庄股 700亿交易软件龙头同花顺卷入,中金在线
626,2020-04-10,A股融资融券日报：两融余额增加27.65亿元（4月9日）,Wind
627,2020-04-10,A股早报2020年4月10日星期五,Wind
628,2020-04-10,猎鹰看盘：两大阵营跷跷板效应 但它们仍然是当下主流,金融界
629,2020-04-10,大金融板块集体发力，三大股指震荡收红,Wind
630,2020-04-09,济民“毒”药！多地股民账户遭盗号清仓 接盘浙江6倍庄股 700亿交易软件龙头同花顺卷入,金融界
631,2020-04-09,济民“毒”药！多地股民账户遭盗号清仓 接盘浙江6倍庄股 700亿交易软件龙头同花顺卷入...,--
632,2020-04-09,4月9日A股龙虎榜揭秘，机构最青睐8股,Wind
633,2020-04-09,今日热股：经典！15亿资金上演围魏救赵大戏！医药股凉了？,金融界
634,2020-04-09,大金融股全线走强，两机构合计买入同花顺近4亿丨牛熊眼,第一财经
635,2020-04-09,机构今日卖出这7股，买入同花顺3.6亿元丨牛熊眼,第一财经
636,2020-04-09,同花顺龙虎榜数据（4月9日）,Wind
637,2020-04-09,龙虎榜：同花顺涨停 两机构合计买入3.99亿元,e公司
638,2020-04-09,同花顺放量涨停，两机构买入3.99亿元,Wind
639,2020-04-01,巨·个股|人工智能绩优股名单出炉！该如何优中选优？两大龙头货真价实,巨丰财经
640,2020-03-31,【民生计算机|周观点】政策持续加码，看好互联网医疗行业快速发展,MS计算机
641,2020-03-31,中国互联网流量月度分析报告—后疫情时代的复工复产,艾瑞网
642,2020-03-25,同花顺(300033.SZ)年报推10派8.5元股权登记日4月1日,格隆汇
643,2020-03-22,【国君策略】压力测试与盈利预警：A股安全边际高,Wind
644,2020-03-11,150股遭高管减持套现37.63亿元,证券时报网
645,2020-03-11,大手笔派现来了！股息率最高9%，名单请收好,证券时报网
646,2020-03-09,135股遭高管减持套现34.89亿元,证券时报网
647,2020-03-04,股市流动性回落，北上资金大幅流出——资金面周观察（中泰策略）,修炼投资的水晶球
648,2020-03-04,上市公司重要股东增减持动态（2月15日-28日）：178家减持 减持股份,面包财经
649,2020-03-03,虚惊一场，创业板指大涨4%，屡屡大涨底气何在？龙头时代来了！,证券时报网
650,2020-03-02,87股遭高管减持套现24.05亿元,证券时报网
651,2020-03-02,【招商策略】2020年2月陆股通持股分析——创业板配比大幅提升，富时罗素扩容渐近,招商策略研究
652,2020-03-02,同花顺(300033.SZ)：叶琼玖及王进减持期过半 合计减持396.99万股 减持股份,格隆汇
653,2020-03-02,同花顺：两股东减持0.74%公司股份 减持股份,Wind
654,2020-03-02,20股一季度业绩预告出炉预喜占75%6成企业受疫情影响,经济观察报
655,2020-03-01,113股遭高管减持套现32.59亿元,证券时报网
656,2020-02-29,外围市场持续冲击A股北上资金巨额换手,证券时报
657,2020-02-28,"聪明钱继续抄底科技股！两公司被加仓14亿，白酒""双雄""惨遭抛售！1.7万亿资金大腾挪，这些股票被疯狂买入",e公司
658,2020-02-27,机构：同花顺、隆基股份等8股上涨空间超两成,第一财经
659,2020-02-27,12家公司披露2019年年报 三股获至少20家机构“团荐”,中投网
660,2020-02-26,科技股迎黑色一天！户均亏7000元，四大数据揭秘“牛”在否？,证券时报网
661,2020-02-26,上证指数收盘跌0.8%，创业板指跌超4%,Wind
662,2020-02-26,70股获券商买入评级 正邦科技目标涨幅达56.54%,Wind
663,2020-02-26,同花顺：互联网基因，流量变现能力增强,证券时报网
664,2020-02-26,【朝闻国盛0226】市场后续怎么看？风格会切换吗？,国盛证券研究所
665,2020-02-26,创业板估值高不高？复盘史上3次大牛2次大顶！,每日经济新闻
666,2020-02-25,55股今日获机构买入评级8股上涨空间超20%,证券时报网
667,2020-02-25,受益二级市场活跃度回升 同花顺2019年度业绩增长41.6%,证券日报
