,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
734,2019-12-12,资产通证化加速，涉数字资产交易上市公司迎空前机遇,中国财经网
735,2019-12-11,联姻数字资产领域“同花顺”，恒久科技将迎价值重估,中投网
736,2019-12-10,财富趋势它的产品叫通达信,科创板日报
737,2019-12-06,融资客青睐10股，天房发展买入占比高达45.20%,Wind
738,2019-12-06,炒股软件冲科创板 通达信母公司与中信证券关联交易,中国经济网
739,2019-12-05,同花顺大涨5.01%，成交额逾9.9亿元,中新经纬
740,2019-11-27,同花顺与晨星强强联合 开启基金理财新体验,资本邦
741,2019-11-14,128家公司公布股东减持计划 7股或遭减持超10亿元 拟减持股份,中证报
742,2019-11-12,数据构建未来 科技驱动变革——中证协举办金融科技与证券公司业务转型培训班,中证协
743,2019-11-11,同花顺：已储备一定的区块链相关技术,中证网
744,2019-11-11,同花顺：积极探索区块链相关技术在互联网金融信息服务领域的应用,e公司
745,2019-11-08,40股获券商买入评级 长安汽车目标涨幅达48.28%,Wind
746,2019-11-08,这些股东为何反复“挤牙膏式”减持？“可能还是没有达到目标价位” 减持股份,金陵晚报
747,2019-11-07,股东连续第五轮减持，年内大涨152%的同花顺（300033.SZ）慌不慌？  减持股份,格隆汇
748,2019-11-07,同花顺多股东宣布减持7.19%，悬了两年多的“达摩克里斯”之剑何时能落地？ 减持股份,环球老虎财经
749,2019-11-07,多名股东拟继续减持不超7.19％股份 同花顺大跌5.88% 拟减持股份,金融界
750,2019-11-07,多家股东拟继续减持，同花顺开盘跌近6% 拟减持股份,中新经纬
751,2019-11-07,A股今日小幅低开 同花顺跌近6%,证券时报网
752,2019-11-07,每经开盘丨两市低开，同花顺跌近6%,每日经济新闻
753,2019-11-07,同花顺开盘跌近6%，多家股东拟继续减持不超7.19%股份,Wind
754,2019-11-07,【朝闻国盛1107】中航飞机启动重组，有望带动军工价值重估,国盛证券研究所
755,2019-11-06,同花顺(300033.SZ)：四名股东已减持310.28万股 拟继续减持不超3860.12万股 拟减持股份,格隆汇
756,2019-11-06,同花顺：多家股东减持0.58%公司股份，拟继续减持不超7.19%公司股份 减持股份,Wind
757,2019-10-31,汇金公司三季度操盘路径曝光：新进31股，清仓减持了13股 减持股份,澎湃新闻
758,2019-10-27,同花顺公布三季报 前三季净利增加43.89%,新浪
759,2019-10-27,同花顺第三季报净利润1.94亿 同比增长52.06%,GPLP犀牛财经
760,2019-10-27,同花顺前三季度业绩增长逾四成,金融界
761,2019-10-27,同花顺(300033.SZ)第三季度净利润升52.06%至1.94亿元,格隆汇
762,2019-10-27,同花顺：前三季度净利润同比增43.89%,Wind
763,2019-10-24,比特币创5个月新低 数字货币上市公司被爆炒暗藏风险,中投网
