190,2021-05-14,[路演]中航西飞：已形成军用航空等三大产业为核心的全新发展格局,全景网
191,2021-05-14,解盘：资金回流明显，证券、疫苗、环保、保险领涨,Wind
192,2021-05-11,中航西飞大涨5.06% 资金净流出2919.84万元,中新经纬
193,2021-05-10,国防军工：行业景气度持续提升 十四五有望保持高增长态势,新浪
194,2021-05-08,内蒙一机(600967)：股权激励完成首次授予；业绩有望提速,新浪
195,2021-04-30,中航西飞大跌7.08%，成交额7.7亿元 连续下跌,中新经纬
196,2021-04-30,逾20股跌超5% “军工跌停”上热搜,第一财经
197,2021-04-29,中航西飞：2021年第一季度净利润约1.35亿元，同比增加30.01%,每日经济新闻
198,2021-04-29,中航西飞(000768.SZ)第一季度归母净利润同比增长30.01%至1.35亿元,智通财经
199,2021-04-29,中航西飞：一季度净利润同比增长30.01%,Wind
200,2021-04-27,巷观陕股︱板块总市值被重庆反超，陕西华秦科技申报IPO（4月19日~25日）,每日经济新闻
201,2021-04-25,独家调查|中航西飞重组未了局：被遗忘的“挖井人”与24年“转正”争议,财联社
202,2021-04-21,[路演]中航西飞：持续聚焦航空主业，三大核心产业支持净利稳步增长,全景网
203,2021-04-21,[路演]中航西飞：“十四五”期间更加聚焦航空装备主业,全景网
204,2021-04-21,[路演]中航西飞：承担C919飞机外翼翼盒、中机身及襟翼等制造任务,全景网
205,2021-04-20,军工股午后异动，洪都航空涨超4%,Wind
206,2021-04-20,葛卫东大幅增持智能语音龙头？北上资金也不断扫货,Wind
207,2021-04-19,长城证券--中航西飞公司动态点评：资源高效整合带动业绩提升，存货增长凸显中长期需求【公司研究】,金融界股吧
208,2021-04-15,中航西飞：预计一季度实现净利润1.2亿元-1.5亿元,中证网
209,2021-04-15,【中信建投军工|公司简评】中航西飞：军工主业高度集中，批量交付业绩释放可期,韬扬军工高端制造沙龙
210,2021-04-14,中航西飞(000768.SZ)一季度预盈1.2亿-1.5亿元,格隆汇
211,2021-04-14,中航西飞：预计一季度净利润同比调整后增长15.31%至44.13%,Wind
212,2021-04-12,艾小军+李鲁靖：超跌低估的军工板块基本面如何？,Wind
213,2021-04-06,中航西飞(000768)：剔除非持续性因素后业绩符合预期 资产重组后发展进入新阶段,新浪
214,2021-04-06,国防军工行业：下游关联交易预示高景气延续 军工外溢效应有望持续释放,新浪
215,2021-04-06,订单、预采购大幅增长，什么行业如此景气火热？,Wind
