215,2021-08-25,长电科技(600584.SH)：2.43亿股限售股将于8月31日上市流通 解禁,智通财经
216,2021-08-25,深南电路(002916)点评：数通PCB稼动率较低 封装基板需求紧俏,新浪
217,2021-08-25,多家苹果产业链龙头，上半年业绩翻番,Wind
218,2021-08-24,长电科技(600584)：21H1净利润大幅增长 需求旺盛带动盈利能力提升,光大证券
219,2021-08-24,中银证券：维持长电科技(600584.SH)“增持”评级 重点客户订单需求强劲 上半年业绩高速增长,智通财经
220,2021-08-24,135股获券商买入评级，金丹科技目标涨幅达90.26%,Wind
221,2021-08-24,中银证券维持长电科技增持评级：H1业绩强劲增长，各项财务指标持续改善,每日经济新闻
222,2021-08-23,长电科技(600584)2021年中报：业绩高增长 星科金朋超预期,新浪
223,2021-08-23,国盛证券：维持长电科技(600584.SH)“买入”评级 中报业绩强劲增长 封测行业需求持续旺盛,智通财经
224,2021-08-23,开源证券：维持长电科技(600584.SH)“买入”评级 业绩高增长 充分受益行业高景气,智通财经
225,2021-08-23,【长电科技（600584.SH）】21H1净利润大幅增长，需求旺盛带动盈利能力提升——跟踪报告之一（刘凯）,光大证券
226,2021-08-22,国盛证券维持长电科技买入评级：中报业绩强劲增长，盈利能力持续提升,每日经济新闻
227,2021-08-21,一图读懂长电科技2021年中报,证券之星
228,2021-08-21,长电科技上半年营收净利创新高,中证报
229,2021-08-20,高附加值订单需求强劲 长电科技中报业绩创新高,大众证券报
230,2021-08-20,长电科技上半年度净利增2.61倍 海内外订单需求强劲,e公司
231,2021-08-20,并购“阴影”消散，产品需求火爆 封测龙头长电科技上半年净利同比增2.6倍,每日经济新闻
232,2021-08-20,长电科技上半年扣非后净利同比增加217.62%,上证报
233,2021-08-20,长电科技2021年上半年盈利营收再创历史新高,美通社
234,2021-08-20,8月20日晚间上市公司十大重磅公告,巨丰财经
235,2021-08-20,长电科技：上半年净利润13.22亿元 同比增长261%,金融界
236,2021-08-20,晚间重要公告2021年8月20日星期五,Wind
237,2021-08-20,8月20日新疆天业、长电科技等12家公司公告出现利好,证券之星
238,2021-08-20,海外再传“封测厂关闭”消息 通富微电等国内龙头积极扩产 经营问题,e公司
239,2021-08-20,长电科技(600584.SH)续聘安永华明为2021年度财务报告和内部控制审计机构,智通财经
240,2021-08-20,长电科技(600584.SH)上半年净利升260.97%至13.22亿元,格隆汇
241,2021-08-20,长电科技：上半年净利润同比增长260.97%,Wind
242,2021-08-20,长电科技：从年初至今虽封测行业景气度仍居高不下，产能紧张现象仍在持续,每日经济新闻
243,2021-08-20,长电科技：国家集成电路产业投资基金二期股份有限公司未投资我公司及子公司,每日经济新闻
244,2021-08-19,长电科技：公司去年研发人员5949人，研发费用10.19亿元,Wind
245,2021-08-18,长电科技：公司日常生产过程中有使用自动化设备,Wind
246,2021-08-17,长电科技：长电集团在韩国的下属生产企业属于韩国半导体税制支援政策适用的企业范围,Wind
247,2021-08-16,长电科技：将于2021年8月21日披露2021年半年度报告,每日经济新闻
248,2021-08-16,财信证券2021年8月半导体行业月度报告：中报陆续披露，扩产打开设备成长空间,财信证券研究
249,2021-08-11,【国金电子】艾为电子：厚积薄发的手机芯片领域多面手,国金电子研究
250,2021-08-10,一半是海水一半是火焰，极致行情下基金调仓换股攻略,Wind
251,2021-08-09,电子元器件行业周报2021年第32周：进入中报密集披露期 关注业绩预期差机会,新浪
252,2021-08-09,电子行业周报：产业趋势向上明确 短期波动不改高景气,新浪
253,2021-08-09,A股早报2021年8月9日星期一,Wind
254,2021-08-07,超越北上深广，这个城市人均GDP全国第一！,Wind
255,2021-08-06,A股资金流向（8月6日）：持续利好加持，资金对锂电产业链出现分歧,Wind
256,2021-08-06,长电科技：公司的无硅通孔晶圆级极高密度封装技术预计明年底前量产,Wind
257,2021-08-05,诺安基金蔡嵩松：十大重仓股纹丝不动 半导体景气将超预期,新浪
258,2021-08-05,长电科技：无硅通孔晶圆级极高密度封装技术 (如2.5D XDFOITM 等)目前处于验证阶段，预计明年底前量产,每日经济新闻
259,2021-08-05,套现近2亿！200亿芯片股被“国家队”大手笔减持,Wind
260,2021-08-04,有研粉材：目前长电科技还不是公司的客户,每日经济新闻
261,2021-08-03,电子从复旦微电看行业发展趋势：复旦微电：FPGA 本土领军者,新浪
262,2021-08-02,电子行业研究周报：科技股逆市上扬 光刻胶持续升温,新浪
263,2021-07-30,每日理财观察：发改委进一步完善分时电价机制,Wind
264,2021-07-30,大基金再度出手！套现千亿芯片巨头20亿,Wind
265,2021-07-28,国家队出手，盯上200亿芯片牛股，开始扫货A股？,Wind
266,2021-07-28,长电科技：公司具备硅通孔技术,Wind
267,2021-07-28,融资客青睐7股，上海九百买入占比高达46.23%,Wind
268,2021-07-28,大基金又出手！近2亿杀入芯片这一领域,Wind
269,2021-07-28,二季度机构大幅增持半导体板块,方正证券
270,2021-07-28,最牛板块跌停潮，主力逆市抢筹股曝光,Wind
271,2021-07-28,沪指一年多来首次跌破年线，资金追捧科技股,Wind
272,2021-07-27,芯源微(688037)：上半年业绩高增长 涂胶显影设备龙头加速受益,新浪
273,2021-07-27,全仓半导体的诺安涨上热搜！这些标的也被青睐,红周刊
274,2021-07-26,新益昌(688383)：智能制造设备领军 迎MINI LED显示变革新浪潮,新浪
275,2021-07-22,科技硬件周报(6/26)：半导体高景气度持续,新浪
