260,2021-09-08,检察机关依法对原中国国电集团公司党组成员、副总经理谢长军决定逮捕,财经网
261,2021-09-08,快讯：国电电力涨停 报于3.04元,金融界
262,2021-09-08,国电电力：“20国电MTN001”持有人会议无效,Wind
263,2021-09-07,国电电力在滇签订首个整县屋顶光伏投资协议,国电电力
264,2021-09-07,电价只降不涨惯性打破，板块价值将重估,金融界
265,2021-09-06,国电电力绥中公司负压式散装机促清洁生产,我的煤炭网
266,2021-09-05,光伏后又一风口来了？行业近期已大爆发，7股率先创新高,Wind
267,2021-09-04,光伏之后大风口！7股创新高，业绩翻倍股名单出炉,Wind
268,2021-09-03,中信证券：“20国电02”、“21国电01”、“21国电02”持有人会议未形成有效决议,Wind
269,2021-09-03,国电电力甘肃新能源竞得高电价电量500万千瓦时,中国机经网
270,2021-09-03,置出77亿置入200亿补差124亿，国电电力与国家能源集团超级资产置换获通过,华夏能源网
271,2021-09-03,天风证券：火电公司估值有望进一步提升,Wind
272,2021-08-31,网传多家上市电力公司联名呼吁提高电价，北京城管委：情况属实,Wind
273,2021-08-30,国电电力三河公司通过三河市首个光伏项目可研评审,北极星电力
274,2021-08-30,国电电力与中国神华、龙源电力等出资设立国能绿色低碳发展投资基金,北极星智电
275,2021-08-30,超60亿元！国电电力、中国神华、龙源电力等出资设立国能绿色低碳发展投资基金！,北极星电力
276,2021-08-27,龙源电力：拟作为有限合伙人出资10亿元参与设立国能低碳基金,Wind
277,2021-08-27,主承销商：“19宁夏新能ABN001”持有人会议议案概要,Wind
278,2021-08-27,国电电力(600795.SH)拟斥10亿元参设国能低碳基金,智通财经
279,2021-08-27,国电电力：10亿元参设绿色低碳发展投资基金,e公司
280,2021-08-26,国电电力火电企业转型提速！1个月开3次会议 努力实现“十四五”这项收入翻一番,国电电力
281,2021-08-26,跌出价值！千亿白马频现回购，强护盘模式开启,Wind
282,2021-08-26,国电电力成功发行市场首单碳中和、革命老区振兴双标债券,上证报
283,2021-08-26,总投资超893亿元 国家能源集团、三峡、国电电力、晶澳太阳能等22个能源项目落户包头市,集邦新能源网
284,2021-08-26,国电电力内蒙古能源公司分布式光伏项目获得备案,北极星电力
285,2021-08-25,北向资金连续三日加仓累计净买入超百亿，大幅抄底白酒股,Wind
286,2021-08-25,国电电力发展：变更信息披露事务负责人,Wind
287,2021-08-25,国电电力2021年上半年实现净利23.20亿元同比增长272.82%,电缆网
288,2021-08-25,电力行业报告-火电：基本面拐点来临 新能源资产价值有望重估,新浪
289,2021-08-24,逆势上扬！国电电力上半年净利润大涨272%,北极星电力
290,2021-08-24,国电电力上半年实现利润总额55.78亿元 同比增长17.20%,上证报
291,2021-08-23,国电电力：上半年实现净利润23.2亿元 同比增长272.82%,中证网
292,2021-08-23,晚间重要公告2021年8月23日星期一,Wind
293,2021-08-23,国电电力：上半年净利润23.20亿元 同比增长272.82%,中证网
