174,2021-05-18,定增周报(9)：三环集团等14家公司发布定增预案,新浪
175,2021-05-18,定增市场周报：上海医药、华夏银行拟募资均超百亿元 顺丰控股定增缩水近一成,新浪
176,2021-05-17,一周策略回顾与展望,新浪
177,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
178,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
179,2021-05-13,电子行业动态点评：海外疫情加剧 大陆电子产业“危”“机”并存,新浪
180,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
181,2021-05-13,三环集团拟定增募资75亿扩产 加速国产替代一季度研发费增35%,长江商报
182,2021-05-12,洁美科技(002859)：纸质载带龙头拓宽赛道 新业务有望开花结果,新浪
183,2021-05-12,创业板指跌幅扩大至1%，医药、科技股集体不振,Wind
184,2021-05-11,三环集团(300408.SZ)拟定增不超过3.63亿股募集不超过75亿元,智通财经
185,2021-05-11,三环集团：拟定增募资不超过75亿元,Wind
186,2021-05-11,国海证券首予三环集团买入评级，深度报告：电子陶瓷龙头，加码 MLCC 拥抱国产化大浪潮,每日经济新闻
187,2021-05-10,三环集团(300408.SZ)：7903.34万股限售股将于5月13日上市流通 解禁,智通财经
188,2021-05-10,三环集团：约7903万股限售股5月13日解禁，占比约4.35% 解禁,每日经济新闻
189,2021-05-10,国海证券：三环集团(300408.SZ)持续加码MLCC，首予“买入”评级,智通财经
190,2021-05-10,电子行业：消费电子需求回暖 面板行业景气超预期,新浪
191,2021-05-10,中泰金工定向增发跟踪周报（05/09）,ZTQuant
192,2021-05-09,【兴证电子】周报：AI带动智能终端浪潮，国产化仍是行业主线,兴证电子谢恒团队
193,2021-05-08,下周1704亿市值限售股解禁，环比增加459.61% 解禁,Wind
194,2021-05-07,三环集团跌7.01%报39.40元，振幅7.86%,中新经纬
195,2021-05-07,三环集团(300408)：业绩高速增长与毛利率提升 持续看好未来成长前景,广发证券
196,2021-05-07,电子行业被动元件专题报告：行业景气持续 国产替代正当时,新浪
197,2021-05-06,4月金股组合盈利5.26% 5月荐股名单出炉,新浪
