,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
1859,2018-07-24,巨丰热点：油气能源入选第三批央企混改试点 油改概念活跃,巨丰财经
1860,2018-07-23,[优于大市评级]石化行业周报,中财网
1861,2018-07-23,[增持评级]华泰证券石油化工/基础化工行业周报(第二十九周),中财网
1862,2018-07-23,[推荐评级]石油化工行业周报：油价短期承压 长期中枢70美金趋稳,中财网
1863,2018-07-23,"荣盛石化:定增顺利完成,助力炼化项目推进",正点财经
1864,2018-07-23,[推荐评级]化工行业周报：如何寻找下半年的投资机会,中财网
1865,2018-07-18,【国信证券】荣盛石化（002493.SZ）一年期定增项目顺利完成发行,GUOSEN ECM
1866,2018-07-17,[看好评级]石油化工2018年中报业绩前瞻：油价上涨带来业绩弹性 资源、LNG及聚酯板块表现亮眼,中财网
1867,2018-07-17,[推荐评级]化工行业周报：高效氯氟氰菊酯领涨农药产品 维生素价格普涨 国产LNG、DMF价格走高,中财网
1868,2018-07-17,[推荐评级]石化行业周报：国际油价下跌 PTA-PX价差继续扩大、涤纶长丝库存下滑,中财网
1869,2018-07-17,[增持评级]大炼化聚酯产业链周报：涤纶长丝价格回暖 产销率大幅提高,中财网
1870,2018-07-17,化工行业日报：6月我国原油生产同比下降2.3%,中财网
1871,2018-07-17,石油化工行业周报：油价回升但地缘政治风险仍存,中财网
1872,2018-07-17,"基础化工行业周报:制冷剂需求旺季到来行情向好,PA66、涤丝景气高企",安信证券
1873,2018-07-16,每周油记：油价100还是60?两大百万桶级变量主沉浮!,中财网
1874,2018-07-15,[优于大市评级]石化行业数据周报20180714,中财网
1875,2018-07-11,[强于大市评级]石油化工行业深度研究：看好三大民营炼化项目盈利前景!,中财网
1876,2018-07-11,[增持评级]炼化-聚酯专题报告(二)：持续看好涤纶长丝全产业链盈利能力,中财网
1877,2018-07-10,[买入评级]化工行业周报：化工景气指数转正 关注Q2业绩超预期以及人民币贬值出口受益标的,中财网
1878,2018-07-10,[增持评级]大炼化聚酯产业链周报：PTA价格小幅提升 涤纶盈利维持稳定,中财网
1879,2018-07-05,荣盛石化今日大宗交易成交160.88万股，成交价10.5元折价-6.38%,Wind资讯
1880,2018-07-05,浙江最大金额银团贷款协议在杭签订,Wind
1881,2018-07-04,[推荐评级]PTA行业动态报告：供需格局持续改善 PTA行业景气度继续提升,中财网
1882,2018-07-04,[优大于市评级]石化行业2018下半年投资策略：油价、天然气与民营炼化,中财网
1883,2018-07-03,[公司]荣盛石化：将适度对PTA项目进行扩产,全景网
1884,2018-07-03,[推荐评级]石化行业周报：国际油价大幅上涨 PTA、丙烯酸盈利能力改善,中财网
1885,2018-07-03,[增持评级]大炼化聚酯产业链周报第二十三期：油价上涨推动产品价格回升 涤纶市场较为稳定,中财网
1886,2018-07-02,[买入评级]荣盛石化(002493)点评：溢价发行凸显信心 打造世界级石化基地,中财网
1887,2018-07-02,[推荐评级]化纤报告之一：纺服复苏 化纤迎来景气周期,中财网
1888,2018-06-29,[推荐评级]基础化工行业2018年中期投资策略报告：环保升级供需改善 寻找确定性的投资机会,中财网
1889,2018-06-28,【太平洋化工】荣盛石化跟踪点评：溢价发行凸显信心，打造世界级石化基地,太平洋化工
1890,2018-06-28,融资客青睐15股，吉鑫科技买入占比高达48.82％,Wind
1891,2018-06-27,A股共发生77宗大宗交易成交17.4亿元（6月27日）,Wind
1892,2018-06-27,[增持评级]华泰证券基础化工/石油化工行业周报(第二十五周),中财网
1893,2018-06-27,[推荐评级]石化行业周报：OPEC部长级会议决定增产84.6万桶/日 国际油价上涨 涤纶长丝-原料价差继续扩大,中财网
1894,2018-06-27,[推荐评级]化工行业周报：江苏印发沿海化工园区复产环保要求-菊酯产业链、磷矿石价格上扬 TDI价格回落,中财网
1895,2018-06-26,6000亿！国际资金大举北上买A股，抄底这些蓝筹股,中国基金报
1896,2018-06-26,"石油化工行业大炼化聚酯产业链周报第二十二期:装置重启提升PTA开工率,涤纶市场景气度回升",光大证券
1897,2018-06-26,"石油化工行业周报:OPEC增产低于预期,原油供应未来仍趋紧",山西证券
1898,2018-06-25,[中性评级]化工行业投资周报：中间体供应受限 继续推荐染料板块,中财网
1899,2018-06-20,石油开采行业周报每周油记:油价冲100无望?OPEC或为美国制裁伊朗买单!,信达证券
1900,2018-06-15,[增持评级]石油化工行业专题报告：聚酯：供需改善 盈利提升*石,中财网
1901,2018-06-14,[增持评级]大炼化聚酯产业链周报第二十期：PTA检修高峰来临 涤纶市场维持景气,中财网
1902,2018-06-14,[推荐评级]化工行业投资策略：迎接化学工业革命-行业格局的重塑,中财网
1903,2018-06-13,[增持评级]化工行业周报：环氧丙烷反弹 丙烯酸及酯持续上涨,中财网
1904,2018-06-12,[推荐评级]石化行业周报：PET瓶片价格高企 盈利能力大幅提升,中财网
1905,2018-06-12,"化工行业周报:低估值仍具吸引力,继续关注景气品种",证券之星
1906,2018-06-11,荣盛石化：芳烃进口依存度预计仍将维持在较高水平,Wind
