480,2021-06-07,建材行业周观点：山东省“十四五水泥政策”(征求意见稿)进一步收紧 或引发其他区域效仿,新浪
481,2021-06-07,建材行业北上资金周报,新浪
482,2021-06-07,周报|玻璃低库存将成常态，首推浮法原片龙头【华西建材建筑戚舒扬团队】20210607,华西工匠
483,2021-06-07,【国信建材|周观点】碳排放纳入环评，行业龙头有望更加受益,微信
484,2021-06-07,建筑材料行业周报：玻璃淡季价格维持涨势 消费建材零售端有望持续修复,新浪
485,2021-06-03,【国信建材|月度策略】非金属建材行业6月投资策略：玻璃解放思想，顺势而为；玻纤余情未了，执手相拥,微信
486,2021-06-03,光大证券：5月金股组合盈利1.12% 6月荐股名单出炉,新浪
487,2021-06-03,非金属建材行业6月投资策略：玻璃解放思想 顺势而为；玻纤余情未了 执手相拥,新浪
488,2021-06-02,牛人重仓｜中信资管大佬操盘、融资客投入激增，这一“全球玻纤巨头”要火？,每日经济新闻
489,2021-06-02,中国巨石现1笔大宗交易 共成交300.06万元,新浪
490,2021-06-02,中国巨石今日大宗交易成交18万股，成交价16.67元溢价0.0%,Wind
491,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
492,2021-06-01,中国建材集团召开沪市上市公司集体业绩说明会－国务院国有资产监督管理委员会,国资委
493,2021-06-01,中国巨石(600176)：中期成本优势深化+成长性凸显 安全边际深厚,新浪
494,2021-06-01,建筑材料行业周报：平板玻璃价格淡季不淡 成都防水新政促出清,广发证券
495,2021-05-31,非金属建材周报(21年第22周)：玻璃玻纤景气持续 限电错峰提振水泥运行,新浪
496,2021-05-31,2021年6月十大金股：把握市场预期平稳期 关注成长、消费龙头,光大证券
497,2021-05-31,建筑材料行业周报：防水提标加速 行业格局优化,华安证券
498,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
499,2021-05-31,建材行业周观点：成都发布新防水准则 防水材料质量标准及用量需求均有望提升,新浪
500,2021-05-31,中国巨石：副总经理周森林先生退休离任,Wind
501,2021-05-31,深度*行业*建材行业周报：瓷砖行业年产量回升 防水行业政策再趋严,新浪
502,2021-05-30,建材行业周观点：玻璃库存略有回升，价格拐点未显,华创建筑建材研究
503,2021-05-29,常张利：中国建材争取在“十四五”期间打造3个至5个千亿元市值的上市公司,中国水泥网
504,2021-05-28,国信证券金股推荐：2021年6月各行业金股推荐汇总,新浪
505,2021-05-27,晨报0527 | 周期行业策略、智能控制器专题、自主品牌汽车专题、美畅股份（300861）、中国旭阳（1907）,国泰君安证券研究
506,2021-05-26,宏和科技(603256)：高端电子布龙头 涨价驱动利润弹性,新浪
507,2021-05-26,财信证券建筑材料行业2021年5月月度报告：地产投资强劲，建筑材料价格多数上涨,财信证券研究
508,2021-05-25,中国巨石：明年玻纤行业新增产能会大幅度小于今年丨一手,第一财经
509,2021-05-25,中国巨石(600176.SH)获准注册40亿元超短期融资券,格隆汇
510,2021-05-25,中国巨石(600176)：行业和公司核心问题再梳理：当前时点 如何看中国巨石？,新浪
511,2021-05-25,中泰证券：中国巨石（600176.SH）持续提升市占率，维持“增持”评级,智通财经
512,2021-05-25,非金属建材周报(21年第21周)：玻璃下游需求强劲 库存保持快速下行,新浪
513,2021-05-25,【国信建材|周观点】玻璃下游需求强劲，库存保持快速下行,微信
514,2021-05-24,北向资金今日净买入超18亿，继续加仓医药股,Wind
515,2021-05-24,深度*行业*建材行业周报：玻璃超级景气持续 雨季水泥短期需求承压,新浪
516,2021-05-24,建筑材料行业周报：地产需求韧性强 持续推荐量增价涨库存降的玻璃板块,新浪
517,2021-05-24,建筑材料行业研究周报：同比高基数期来临 周期品／消费建材景气能否持续？,新浪
518,2021-05-23,建材行业周观点：1-4月固定资产投资和房地产投资高增长，玻璃单月产量创新高,华创建筑建材研究
519,2021-05-23,建材行业周报：玻璃景气持续高位；华东水泥价格稳中有落,新浪
520,2021-05-18,建材行业动态点评：强定价权成为核心观测指标,新浪
521,2021-05-18,深度*行业*建材行业周报：《抗震管理条例》通过 巨石再添15万吨产线,新浪
522,2021-05-18,财融汇·日间资讯,财通证券融资融券部
523,2021-05-18,A股异动 | 中国巨石(600176.SH)涨4% 董事张健侃增持267.69万股,格隆汇
524,2021-05-17,晚间公告｜5月17日这些公告有看头,第一财经
525,2021-05-17,中国巨石：公司董事今日增持逾4800万元股份,e公司
526,2021-05-17,中国巨石：董事张健侃增持约267.7万股，金额合计4809.74万元,每日经济新闻
527,2021-05-17,中国巨石(600176.SH)：董事张健侃增持267.69万股,格隆汇
528,2021-05-17,建材行业周报：重点关注超跌玻纤龙头；品牌建材持续推荐,新浪
529,2021-05-17,中泰周期·大宗指南：周期品周度运行变化,新浪
530,2021-05-17,建材行业：地产拿地速度不减 需求端韧性仍在,新浪
531,2021-05-17,天风证券维持中国巨石买入评级：大额增持传递积极信号，看好行业高景气持续性，目标价29.70元,每日经济新闻
532,2021-05-17,非金属建材周报（21年第20周）：玻璃解放思想，顺势而为；玻纤余情未了，执手相拥,国信研究
533,2021-05-16,中国巨石(600176.SH)每股转增0.14股派0.22元,智通财经
534,2021-05-16,中国巨石(600176.SH)将于5月21日派发A股每股红利0.224元,格隆汇
535,2021-05-14,A股异动|中国巨石(600176.SH)反弹近5%董事张健侃昨日斥1.5亿元增持,格隆汇
536,2021-05-14,中国巨石大涨,新浪
537,2021-05-14,A股早报2021年5月14日星期五,Wind
538,2021-05-14,多角度看中国巨石（600176）：中国巨石十问十答，市场关心什么,中信证券研究
539,2021-05-14,上市公司正负面新闻2021年5月14日星期五,Wind
540,2021-05-13,晚间重要公告2021年5月13日星期四,Wind
541,2021-05-13,中国巨石董事逾1.5亿元增持公司股份,上证报
542,2021-05-13,中国巨石(600176.SH)董事张健侃合计增持899.87万股,智通财经
543,2021-05-13,中国巨石：董事张健侃增持约900万股,每日经济新闻
544,2021-05-13,中国巨石：董事张健侃增持0.26%公司股份，增持金额合计1.5亿元,Wind
545,2021-05-13,中国巨石(600176.SH)：董事张健侃13日斥1.5亿元增持899.874万股,格隆汇
546,2021-05-13,部分白马龙头最大回撤超50%仍未明显企稳，“性价比提高”不等于“高性价比”？,Wind
547,2021-05-12,北向资金连续两日净卖出，白酒股获批量增持,Wind
548,2021-05-12,建材行业：业绩持续向上 弹性依旧可期,光大证券
549,2021-05-12,A股早报2021年5月12日星期三,Wind
550,2021-05-12,基础化工行业研究：公募基金连续四个季度加仓化工行业 加大景气度向上细分行业龙头布局,国金证券股份有限公司
551,2021-05-12,中信证券：建材行业竞争格局持续优化，水泥价格有望保持高位稳定,证券时报网
552,2021-05-12,北向资金出逃近48亿元，但不忘“吃药喝酒”，五粮液获加仓6.5亿元,21世纪经济报道
553,2021-05-11,600亿白马股闪崩，一季报净利暴涨2.5倍，机构评级审慎增持,AI财经社
554,2021-05-11,最新龙虎榜动向：仁和药业涨停，1.53亿资金抢筹,21世纪经济报道
555,2021-05-11,【国金化工&新材料】2021Q1公募基金持仓分析：公募基金连续四个季度加仓化工行业，加大景气度向上细分行业龙头布局,点石化金
556,2021-05-11,中国巨石龙虎榜数据（5月11日）,Wind
557,2021-05-11,基础化工行业2020年年报及2021年一季报总结：化工产品价格指数探底回升 橡塑制品、农化、化纤等板块表现亮眼,新浪
558,2021-05-11,龙虎榜：中国巨石跌停 沪股通净卖出2.69亿元,e公司
559,2021-05-11,龙虎榜丨机构今日买入这11股，卖出中国巨石6829万元,第一财经
560,2021-05-11,茅台盘中暴拉超1000亿，白酒股涨势领先,中国基金报
