206,2020-09-10,融资客青睐6股，美好置业买入占比高达35.38%,Wind
207,2020-09-09,【国投安信|能源调研社】LPG华南调研：旺季预期有望兑现，仓单溢价回落带动期现收敛,国投安信期货
208,2020-09-07,国投安信：聚烯烃：势在必行 上涨延续,新浪
209,2020-08-31,国投转债上市仅11天 大股东已抛售1600万张,证券时报网
210,2020-08-31,A股中报出炉，5大主力资金重仓名单全披露,Wind
211,2020-08-31,国投资本：控股股东及一致行动人减持10%公司可转债 可转债减持,Wind
212,2020-08-31,国投资本(600061.SH)：安信证券完成工商变更登记及章程备案 其注册资本总额达100亿元,格隆汇
213,2020-08-31,国投资本(600061.SH)：控股股东及一致行动人减持800万张“国投转债” 减持股份,格隆汇
214,2020-08-31,2019年度国内主要金融集团发展研究,中国金融新闻网
215,2020-08-28,【行情】券商板块异动，国联证券大涨6%，国金证券、国投资本、华鑫股份、华泰证券跟涨,金十数据
216,2020-08-27,国投资本：上半年净利润同比增长36.01%,Wind
217,2020-08-27,国投资本(600061.SH)半年度净利润升36.01%至22.94亿元,格隆汇
218,2020-08-27,国投资本(600061)：子公司签署募集资金专户存储三方监,证券时报网
219,2020-08-20,国投资本(600061.SH)控股股东及一致行动人减持10%国投转债 减持股份,格隆汇
220,2020-08-20,国投资本：控股股东及一致行动人减持10%国投转债 减持股份,Wind
221,2020-08-20,东北证券【新股】8月20日瑞联新材、新亚强等申购，正帆科技、安必平等上市,东北证券金融世界
222,2020-08-13,国投资本(600061)：签署募集资金专户三方监管协议,证券时报网
223,2020-08-11,券商资本金大战：安信增资 信达觊觎A股上市,时代在线
224,2020-08-07,安信证券获大股东近80亿增资 注册资本增至百亿助力冲击头部券商,长江商报
225,2020-08-06,安信证券获大股东近80亿增资 主要“输血”信用交易业务,每日经济新闻
226,2020-08-06,券业重磅“1+1”，一家拟被分拆A股上市，一家被增资79亿元，机构称证券行业驶入高质量发展的快车道,证券日报
227,2020-08-06,国投资本(600061.SH)：7月安信证券母公司净利升173.14%至5.31亿元,格隆汇
228,2020-08-06,国投资本：安信证券母公司7月净利5.3亿元 同比大增,e公司
229,2020-08-06,国投资本：全资子公司安信证券7月份净利润5.3亿元,格隆汇
230,2020-08-06,国投资本：使用“国投转债”募集资金置换预先已投入募投项目的自筹资金,Wind
231,2020-08-06,【行情】券商股开盘走强，国盛金控拉升封板，浙商证券、东方证券、国投资本等跟涨,金十数据
232,2020-08-06,国投资本对安信证券增资79.44亿元，增资后注册资本升至100亿元,资本邦
233,2020-08-06,A股早报2020年8月6日星期四,Wind
234,2020-08-06,大手笔！安信证券获近80亿增资，注册资本升至行业第六，增资将投向五大领域,券商中国
235,2020-08-06,每日理财观察：回购定盘利率多数下跌，国际金价创新高,Wind
236,2020-08-05,安信证券获控股股东近80亿元增资用于信用交易、证券投资等业务,北京商报
237,2020-08-05,国投资本：对安信证券增资以增强期货公司资本金实力,期货日报网
238,2020-08-05,国投资本：79.44亿元增资安信证券,e公司
239,2020-08-05,晚间重要公告2020年8月5日星期三,Wind
240,2020-08-05,真“壕”！这家券商获大股东近80亿增资，真金白银用于这些领域,每日经济新闻
241,2020-08-05,国投资本拟与毅胜投资共同向安信证券增资近80亿元 补充其营运资金,发布易
242,2020-08-05,国投资本：向全资子公司“安信证券”增资79.44亿元,Wind
243,2020-08-05,国投资本(600061.SH)：拟对安信证券增资约79.44亿元,格隆汇
244,2020-07-30,国投资本(600061.SH)：不超50亿元可续期公司债计划获批,格隆汇
245,2020-07-30,国投资本可转债发行已获核准，包销金额为5905.4万元,资本邦
246,2020-07-27,国投资本(600061)：公开发行可转换公司债券网上中签率及优先配售结果,证券日报
247,2020-07-24,*ST升达、长城证券子公司等参投P2P涉非吸立案 其他违规处罚,信托网
248,2020-07-24,东北证券【新股】7月24日国投转债申购，申昊科技、瑞达转债、雪榕转债上市,东北证券金融世界
249,2020-07-24,国投转债申购价值分析：多业务协同发展的综合金控公司,新浪
250,2020-07-24,多业务协同发展的综合金控公司——国投转债申购价值分析【华创固收|周冠南团队】,华创债券论坛
251,2020-07-23,国投转债投资简析：AAA评级、主打证券的金控集团 建议积极申购,新浪
252,2020-07-22,2020月7月23日可转债打新及上市提示|国投转债简介,基少成多
253,2020-07-22,券商板块冲高回落收涨1.03%，第一创业主力净流入金额超19亿元,Wind
254,2020-07-22,国投转债(110073)新券定价报告：大规模券商标的 建议积极申购,光大证券
255,2020-07-22,A股午盘综述：上证指数涨逾1%，创业板指涨近2%,Wind
256,2020-07-22,央企金控平台，打新积极参与——国投转债申购价值分析,岳读债市
257,2020-07-21,【兴证固收·转债】央企背景的金融控股公司 ——国投转债投资价值分析,兴证固收研究
258,2020-07-21,国投资本：拟发行80亿元可转债用于增资子公司安信证券,中证网
259,2020-07-21,国投资本(600061.SH)拟发行80亿元可转债 初始转股价15.25元/股,格隆汇
260,2020-07-21,纽银上破20！国投安信席位3万多单坐镇沪银 大喊白银强于黄金|白银,新浪
261,2020-07-20,券商板块今日收涨5.29%，中信证券主力资金净流入约5亿元,Wind
262,2020-07-20,券商板块半日涨6.36%，方正证券、中信证券共获得主力净流入超12亿元,Wind
263,2020-07-17,券商板块今日缩量收跌3.07%，光大证券等4股跌停遭主力净卖出44亿元,Wind
264,2020-07-17,券商板块半日跌超3%，太平洋、光大证券、中信证券遭主力资金净卖出31亿元,Wind
265,2020-07-16,券商板块收跌5.6%成交金额1273亿元，太平洋获主力净流入32.29亿元,Wind
266,2020-07-15,券商板块今日跌2.87%，无一股收于涨停,Wind
267,2020-07-15,券商板块半日跌1.8%成交金额740亿元，越秀金控涨停获主力净流入0.7亿元,Wind
268,2020-07-14,今年翻倍可转债频现，一图速览39只打新名单,Wind
269,2020-07-14,券商板块半日跌0.03%，南京证券主力净流入额16.96亿元,Wind
270,2020-07-14,首批信托公司上半年业绩亮相：数据有滞后性,Wind
271,2020-07-13,策略周刊：大金融交易性机会犹在 重视券商和互联网金融,新浪
272,2020-07-13,【行情】券商股跳水，中银证券、浙商证券跌逾7%，广发证券、国投资本、兴业证券等纷纷走弱,金十数据
273,2020-07-12,A股降温调整，科技股蓄能会否卷土重来？,Wind
274,2020-07-10,A股收盘综述：创业板指周涨12.83%，创历史最大单周涨幅,Wind
275,2020-07-10,券商板块午盘跌0.73%成交金额945亿元，中信证券主力净流出3.6亿元,Wind
276,2020-07-10,解盘：金融拖累指数，免税店、肺炎检测、光刻胶领涨,Wind
277,2020-07-10,A股午盘综述：上证指数跌逾1%，两市成交额再破万亿,Wind
278,2020-07-10,国投资本、越秀金控涨停，券商板块跌幅有所收窄,Wind
279,2020-07-09,国投资本今日大宗交易成交30.31万股，成交价15.29元折价2.98%,Wind
280,2020-07-09,券商板块小涨成交1656亿元环比微减，光大证券成交额93亿元创历史新高,Wind
281,2020-07-09,解盘：300亿资金流入，光刻胶、次新股、生物疫苗领涨,Wind
282,2020-07-09,券商板块午盘涨1.12%半日成交1088亿元，较上日同期增百亿元,Wind
283,2020-07-09,国投资本(600061)：全资子公司安信证券6月净利超5亿元,证券日报
284,2020-07-08,晚间重要公告2020年7月8日星期三,Wind
285,2020-07-08,国投资本：全资子公司安信证券6月份净利润5.12亿元,金融界
