,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
141,2021-11-24,复制刘格菘、赵诣传奇？今年两只“翻倍基”被他包揽,Wind
142,2021-11-23,海源复材：与华能国际等拟合作投资太阳能光伏电池等项目 总投资约300亿元,财联社
143,2021-11-22,2020年十大发电公司各发了多少度电？华能国际4000亿度,深水财经社
144,2021-11-21,环保及公用事业周报：深化节能减排目标 数字能源时代大幕开启,新浪
145,2021-11-21,公用环保行业周报：坚定看好火电转型新能源逻辑 不惧调整静待花开,新浪
146,2021-11-21,环保与公用事业周报202111第3期：各省“十四五”海上风电规划渐明朗 海上风电迎来确定性发展,新浪
147,2021-11-21,公用事业行业周报：10月数据点评：用电持续高增 风光发展提速,新浪
148,2021-11-16,华能国际：我们认为目前除燃煤发电、燃气发电等形式之外的发电形式属于非常规能源,每日经济新闻
149,2021-11-15,华能国际：日常生产经营活动已经应用了相应的信息化管理工具,每日经济新闻
150,2021-11-15,火电灵活性改造研究专题,郭丽丽的研究札记
151,2021-11-15,环保及公用事业行业周报：碳减排支持工具出台 进一步推动新能源发展,新浪
152,2021-11-15,“五大四小”谁是排头兵？21家上市央国企风电、光伏装机排行,北极星电力
153,2021-11-12,国信证券：予华能国际(600011.SH)“买入”评级 合理价值8.32-11.08元,智通财经
154,2021-11-11,动力煤专题：寻找电价与煤价的平衡点？,天风期货研究所
155,2021-11-10,利好政策有望缓解煤电亏损压力,中国能源报
156,2021-11-10,公用事业行业深度报告：电价市场化与电力清洁化促行业发展,新浪
157,2021-11-10,新能源发电行业碳减排支持工具影响点评：助力提升绿电项目IRR 彰显双碳目标决心,新浪
158,2021-11-09,最高14.7GW！21家上市央国企2021上半年风电、光伏装机排行,北极星电力
159,2021-11-08,公用事业深度报告：煤电改造能否改善趋紧的电力供需格局？,新浪
160,2021-11-06,高煤价下的煤电博弈：业绩“冰火两重天”何解,Wind
161,2021-11-06,高煤价下的煤电博弈：业绩“冰火两重天”何解,新浪
162,2021-11-05,公用事业：“双碳”顶层政策发布 环保公用行业有望价值重塑,新浪
163,2021-11-05,华能国际：完成发行50亿元的超短期融资券,财联社
164,2021-11-05,华能国际(600011.SH)完成发行50亿元2021年度第十六期超短期融资券,智通财经
165,2021-11-05,公用事业2021年三季报总结：火电盈利大幅下滑 风光新能源业绩向好 盈利能力下降,新浪
166,2021-11-05,华能国际：截至2021年9月30日，公司太阳能发电可控装机容量为298万千瓦,每日经济新闻
167,2021-11-05,华能国际：截至9月30日，公司太阳能发电可控装机容量为298万千瓦,Wind
168,2021-11-04,首创证券：给予华能国际增持评级,证券之星
169,2021-11-04,25.88亿！华能旗下多公司共同出资，成立5家新能源项目公司,北极星电力
170,2021-11-04,华能国际下属公司向关联方借款 借款金额 2812.50 万美元,电鳗快报
171,2021-11-03,华能国际：拟出资设立冠县公司等,财联社
172,2021-11-03,华能国际(600011.SH)下属公司拟向关联方借款2812.5万美元,智通财经
173,2021-11-03,华能国际(600011.SH)：子公司拟参设多个合资公司,格隆汇
174,2021-11-03,华能国际：霞浦快堆项目由中核集团开发主导，公司没有参与此项目的投资,每日经济新闻
175,2021-11-03,华能国际：公司前三季度共投产新能源机组152万千瓦,每日经济新闻
176,2021-11-02,A股收盘综述：“宁王”力扛创业板，多只航母概念股尾盘暴拉涨停,Wind
177,2021-11-01,三季度公用事业持仓分析,郭丽丽的研究札记
