2753,2020-07-06,民生银行：将于7月24日召开“19伊利实业SCP006”持有人会议,Wind
2754,2020-07-06,十年复盘：中信证券引爆牛市可能有多大？本轮券商行情有多高,证券时报网
2755,2020-07-06,把银行保险当“提款机”？银保监会首次点名！38家股东违规,21世纪经济报道
2756,2020-07-06,A股融资融券日报：两融余额增加125.53亿元（7月3日）,Wind
2757,2020-07-04,站在牛市的风口上，聊一下券商股权“迁徙”的新故事,21世纪经济报道
2758,2020-07-03,A股融资融券日报：两融余额增加140.38亿元（7月2日）,Wind
2759,2020-07-02,中国农业首富往事,搜狐
2760,2020-07-02,民生银行海口分行加快法治“民生”建设,证券导报
2761,2020-07-02,A股融资融券日报：两融余额增加125.09亿元（7月1日),Wind
2762,2020-07-02,63岁洪崎辞任民生银行董事长 安徽老乡史玉柱：董事会已经超龄服役 董监高成员变化,腾讯网
2763,2020-07-01,25年老将卸甲 民生银行换帅！ 董监高成员变化,华夏时报
2764,2020-07-01,民生银行：银保监会同意伦敦代表处升格为分行,中金在线
2765,2020-07-01,民生银行(600016.SH)：伦敦代表处升格为分行获中国银保监会批复,格隆汇
2766,2020-07-01,民生银行25年老将洪崎辞任 原中银香港总裁高迎欣接棒,华夏时报
2767,2020-07-01,换届前夕“大戏”落幕 民生银行迎来高迎欣掌舵时代！,金融界
2768,2020-07-01,A股融资融券日报：两融余额增加135.2亿元（6月30日),Wind
2769,2020-07-01,WEMONEY朝闻：高迎欣将接棒民生银行董事长；人保财险卷入腾讯与老干妈纠纷,凤凰网
2770,2020-07-01,上市公司正负面新闻2020年7月1日星期三,Wind
2771,2020-07-01,无接触金融发展加速银行网点“瘦身”，今年以来超1000家网点关停,Wind
2772,2020-06-30,民生银行换帅：原董事长洪崎辞职 高迎欣接棒 董监高成员变化,中新经纬
2773,2020-06-30,民生银行(01988.HK)：洪崎辞任董事长 董监高成员变化,格隆汇
2774,2020-06-30,洪崎辞任民生银行(01988)执行董事及董事长等职务 董监高成员变化,智通财经
2775,2020-06-30,【探针】民生银行董事长洪崎落幕 高迎欣正式出山,新浪
2776,2020-06-30,民生银行发行500亿二级资本债 票面利率为3.75%,新浪
2777,2020-06-30,民生银行掌门人换届 原中银香港总裁高迎欣接棒洪崎出任董事长,每日经济新闻
2778,2020-06-30,洪崎辞任，高迎欣将接棒民生银行董事长 董监高成员变化,第一财经
2779,2020-06-30,晚间重要公告2020年6月30日星期二,Wind
2780,2020-06-30,民生银行关于董事长辞职的公告 董监高成员变化,新浪
2781,2020-06-30,民生银行董事长辞职，史玉柱曾称民生银行董事会超龄服役应该给年轻人机会 董监高成员变化,和讯
2782,2020-06-30,民生银行董事长新老交接完成：高迎欣接棒，洪崎退休,澎湃新闻
2783,2020-06-30,民生银行：关注“17洛娃科技CP001”违约后续 未按时兑付本息,Wind
2784,2020-06-30,民生银行(600016.SH)：董事长洪崎辞职 董监高成员变化,格隆汇
2785,2020-06-30,民生银行：洪崎辞去执行董事、董事长等职务 董监高成员变化,Wind
2786,2020-06-30,人均薪酬合计超400万元，民生银行公开14名高管税前薪酬其余部分,资本邦
