7061,2018-11-12,11月12日 主力资金近三日都在买这些概念股,每日经济新闻
7062,2018-11-12,港股异动 | 麦格理评级“跑赢大市” 金风科技（02208）涨近一成,智通财经
7063,2018-11-12,风电产业：追风逐电阔步前行,中国能源网china5e
7064,2018-11-12,我国在建海上风电项目概况（截止2018年9月30日）,风能产业
7065,2018-11-12,机构调研家数环比增长785.71% 近八成个股实现上涨,证券日报
7066,2018-11-12,"电气设备新能源行业三季报总结暨11月投资策略:光伏政策反转,风、车维持高景气度",国信证券
7067,2018-11-09,邢钢、冶金、冀中能源等邢台秋冬错峰生产企业名单出炉,上海有色
7068,2018-11-09,申万宏源：配额制再征意见 政策可行性高有望加速落地,证券时报网
7069,2018-11-08,沪指高开低走连跌4日 创业板指冲高回落跌1.2%,证券之星
7070,2018-11-08,收评：沪指高开低走连跌4日 高校概念股午后井喷,证券时报网
7071,2018-11-08,11月8日午评：沪指涨0.61%，深证成指涨0.47%，创业板指涨0.46%。,财界网
7072,2018-11-08,申万宏源：中小创三季报增速放缓 次新股三季报表现突出,申万宏源
7073,2018-11-08,申万宏源：中小创2018年三季报业绩回顾,申万宏源
7074,2018-11-08,两市早盘宽幅震荡，ST板块掀涨停潮,21世纪经济报道
7075,2018-11-07,【中信建投电新】三季报综述：业绩增速回落，优选各环节龙头,新能源沙龙
7076,2018-11-07,"金风科技季报点评:风机制造业务承压,风电场运营持续向好",信达证券
7077,2018-11-06,盐城海上风电规模容量和项目建设数量全国第一,中国能源网china5e
7078,2018-11-06,【电新】三季报综述：板块业绩短期承压，细分领域持续分化,中银国际证券研究
7079,2018-11-06,机构近期调研偏爱中小创公司,大众证券报
7080,2018-11-06,【电新丨申建国】光伏政策环境回暖 悲观预期逐渐修复,方正证券研究
7081,2018-11-06,前三季度风电并网容量达1.76亿千瓦 上市公司净利同比增长18.81%,证券日报
7082,2018-11-06,电力设备与新能源行业:通威股份,信达证券
7083,2018-11-05,金风科技上日飙约9％后 现续涨逾6％,经济通
7084,2018-11-05,光伏十三五规划座谈会议政策迎拐点 机构看多龙头股,证券时报网
7085,2018-11-05,三季报丨风电行业上下游业绩分化明显,第一财经
7086,2018-11-05,电力设备行业周报:能源局发布2018年前三季度风电并网运行情况,渤海证券
7087,2018-11-05,"电气设备行业:光伏终迎政策利好,新能源板块全面向好",联讯证券
7088,2018-11-04,机构调研家数激增2倍多！这三家公司最受宠，吸引了逾100家机构,21经济网
7089,2018-11-04,电气设备：单季盈利承压 荐4股,广发证券
7090,2018-11-04,权益类新基金建仓速度分化,红周刊
7091,2018-11-02,212股获券商买入评级：智云股份目标涨幅达149.11%,Wind
7092,2018-11-02,社保证金汇金三季度调仓动向曝光,中证报
7093,2018-10-31,金风科技：看好今明两年中国风电市场，西北地区出现恢复性开工,Wind
7094,2018-10-31,(互动)金风科技：公司看好2018-2019年中国风电市场,全景网
7095,2018-10-31,前三季营收净利增长均超三成 沃尔核材未来发展可期,每日经济新闻
7096,2018-10-31,"金风科技2018年三季报点评:毛利率承压单季业绩波动,国际业务进一步拓展",开源证券
7097,2018-10-30,【光大海外-公用事业】金风科技（2208.HK）：维持全年销量指引 ，风机毛利率承压——2018年3季报点评,EBoversea
7098,2018-10-30,【晨会纪要】策略丁文 银河证券晨会纪要—20181030,中国银河证券研究
7099,2018-10-30,港股异动︱三季度业绩逊预期 金风科技(02208)续挫6%,智通财经
7100,2018-10-30,344股获券商买入评级：万科A目标涨幅达136.8%,Wind
7101,2018-10-29,【中银电新 沈成团队】金风科技（002202）2018年三季报点评：三季报业绩符合预期，风机订单再创新高,老成之见
7102,2018-10-29,【中银电新 沈成团队】电力设备与新能源行业10月第4周周报：青海-河南直流特高压获批，三季报密集发布,微信
7103,2018-10-29,港股异动︱第三季度股东应占净利同比降23.57% 金风科技(02208)挫逾一成,智通财经
7104,2018-10-29,电气设备：青海 河南直流特高压获批,中银国际
7105,2018-10-29,"电气设备行业:新能源各版块前景广阔,龙头享受确定性溢价",联讯证券
7106,2018-10-28,【华创电新】金风科技：风场盈利能力突出，风机有望进入加速交付期,华创电新研究
7107,2018-10-28,【国金电新周观点】特高压核准正式启动，LG南京电池工厂动工,新兴产业观察者
7108,2018-10-28,电气设备：电动全球化趋势不改 荐3股,方正证券
7109,2018-10-27,金风科技(02208-HK)首9月净利润24.19亿人民币增5%,财华社
7110,2018-10-26,金风科技：前三季度净利润同比增5.35%,Wind
7111,2018-10-26,【平安重点】行业动态跟踪报告*电力设备*CWP2018：大风机展示舞台，引领风机大型化趋势*强于大市,平安研究
7112,2018-10-26,平安研报20181026,平安研究
7113,2018-10-26,【华创电新】本周重点覆盖公司信息归总,华创电新研究
7114,2018-10-25,"电力设备行业:脚步未止,静待量变到质变",安信证券
7115,2018-10-24,前三季度国内风电发电量同比显著增加,电缆网
7116,2018-10-24,"电气设备及新能源月报:风光渐入佳境,电车龙头效应凸显",国信证券
7117,2018-10-23,"电新周报:9月锂电装机高增长,三季报窗口期关注盈利分化",联讯证券
7118,2018-10-22,电气设备：新能源整车项目相继落地上海 荐7股,华金证券
