154,2021-11-26,建筑行业2022年年度策略：拥抱双碳主线 重视建筑板块“变化”的力量,新浪
155,2021-11-25,中资企业海外新签：哥伦比亚、赞比亚、土耳其,腾讯网
156,2021-11-25,慢牛股突然跳水跌停，券商刚连夜推荐！开盘9亿封涨停，近两倍于流通盘，金融股变身锂电龙头？绿电利好频出，概念股走高,微信
157,2021-11-25,中国电建新中标肯尼亚两个市政工程项目,微信
158,2021-11-25,A股融资融券日报：两融余额增加23.98亿元（11月24日）,Wind
159,2021-11-25,中国电建直接持股电建地产全部股权，中电建建筑退出8.75%股权,乐居财经
160,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
161,2021-11-24,新华水电冲刺IPO：新疆第二大水电运营商，去年对中国电建采购占比近六成,每日经济新闻
162,2021-11-24,2022年度建筑行业投资策略：基建发力优选新能源建设 装配式高增长看好钢结构,新浪
163,2021-11-24,秘鲁钦切罗国际机场项目举行开工奠基仪式,微信
164,2021-11-23,中国电建签约赞比亚河畔光伏电站扩建项目,微信
165,2021-11-23,15.4亿！中国电建孙公司预中标随州厥水河东岸生态环境提升工程PPP项目,中国水网
166,2021-11-23,学贯六中全会精神|中国电建:以高质量党建引领高质量发展,电力新闻网
167,2021-11-22,深度*行业*建筑行业数据点评：制造业投资稳步增长 中国化学订单表现优异,新浪
168,2021-11-22,中国电建签约哥伦比亚图库纳238MW光伏项目群,北极星电力
169,2021-11-22,电建地产拟发行15亿元中期票据，用于偿还存量债券,乐居财经
170,2021-11-22,基础材料行业周报(第四十六周)：10月地产投资承压但政策边际改善 22年建议关注三主线,新浪
171,2021-11-21,建筑工程业行业：地产政策边际趋松 钢铁碳达峰方案或将完成发布,新浪
172,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
173,2021-11-19,中国电建：白鹤滩水电站4号机组投产发电,证券时报网
174,2021-11-19,行业龙头连签大单！多个储能项目提上日程,上证报
175,2021-11-19,中国电建以12亿元摘得郑州管城5.6万平住宅地，溢价14.86%,乐居财经
176,2021-11-19,中国电建成都院中标贵州纳雍曙光农业光伏EPC总承包项目,中国电力建设集团
177,2021-11-19,A股融资融券日报：两融余额减少3.0亿元（11月18日）,Wind
178,2021-11-19,中企建设的曼谷轨道交通项目实现闭环运营 惠及80万当地民众快捷出行－国务院国有资产监督管理委员会,国资委
179,2021-11-18,中国电建：签约肯尼亚布特大坝供水项目,e公司
180,2021-11-18,建筑行业专题报告：“双碳1+N”政策刚性驱动 看好能源电力建筑央企、装配式板块,新浪
181,2021-11-18,中国电建签订湖北仙桃毛嘴镇屋顶分布式光伏发电总承包合同,北极星电力
182,2021-11-18,电力、煤气及水等公用事业行业：央行推出碳减排支持工具 多环节利好新能源发展,国金证券股份有限公司
183,2021-11-18,中国电建地产退出天津海赋地产，中国电建直接持有,乐居财经
184,2021-11-18,中国电建设立海南建设投资公司,证券导报
185,2021-11-18,上市公司正负面新闻2021年11月18日星期四,Wind
186,2021-11-17,11月18日上市公司重要公告集锦：全筑股份向恒大及其相关成员企业提起诉讼 诉讼纠纷,证券日报之声
187,2021-11-17,晚间重要公告2021年11月17日星期三,Wind
188,2021-11-17,中国电建前10月新签合同总额同比增近3%,上证报
189,2021-11-17,中国电建：前10月新签合同总额约5634.64亿元 同比增2.97%,中国网
190,2021-11-17,中国电建：1月至10月公司新签合同总额同比增长2.97%,金融界
191,2021-11-17,中国电建：1-10月新签合同总额同比增长2.97%,Wind
192,2021-11-17,中国电建(601669.SH)：1-10月新签合同总额5634.64亿元 同比增长2.97%,格隆汇
193,2021-11-17,中国电建：计划于12月7日赎回“18中南勘测MTN001”,Wind
194,2021-11-17,中国电建与重庆市酉阳县签署战略合作框架协议,北极星电力
195,2021-11-17,中国电建山东一建中标3个新能源项目,北极星电力
196,2021-11-16,一字板涨停！宁波能源（600982.SH）拟90亿元投建抽水蓄能电站项目,财华社
197,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
198,2021-11-16,中国电建：公司电力运营包括水电、风电、光伏、煤电,每日经济新闻
199,2021-11-16,中国电建：葛洲坝集团不是我公司子企业,每日经济新闻
200,2021-11-16,中国电建挂牌转让郑州中电建16%股权，底价3亿元,乐居财经
201,2021-11-16,中国电建山东一建中标华能澜沧江云南省兰坪县50MW农业光伏发电EPC项目,北极星电力
202,2021-11-16,中国电建签订塞尔维亚绕城公路项目合同及中西部一揽子交通工程项目框架协议,微信
203,2021-11-16,注册资本30亿元！中国电建在海南成立涉环保业务公司,北极星节能
204,2021-11-15,拉美最大光伏储能发电项目花落中国电建,微信
205,2021-11-15,【安信建筑】行业周报1114：Q4重大项目密集开工，南网十四五规划重磅发布,勇往直前
206,2021-11-15,A股融资融券日报：两融余额减少22.02亿元（11月12日）,Wind
207,2021-11-15,碳中和行业(电新+环保)周报：高镍三元一体化降本加速 南网发布“十四五”发展规划,光大证券
208,2021-11-15,申万宏源建筑周报：社融触底回升 建筑业融资仍处于相对高位,新浪
209,2021-11-12,海南发布建设国际旅游消费中心规划，周大福海南首家传承专营店盛大开业| 海南周报,赢商网
210,2021-11-12,中国电建签约肯尼亚布特多功能大坝项目,微信
211,2021-11-12,湖北孝感大悟县与中国电建签署百万千瓦级多能互补新能源基地项目投资合作协议,北极星电力
212,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
213,2021-11-12,电建地产挂牌转让上海安泷鑫26%股权，底价2498万元,乐居财经
214,2021-11-11,建筑行业2022年投资策略报告：新能源、新建筑、新征程,新浪
215,2021-11-11,国资委召开中央企业涉外法治工作会,Wind
216,2021-11-11,许继电气：公司在中国电建大荔双泉40MW、段家40MW分散式风电项目中标170万,每日经济新闻
217,2021-11-11,中国电建、大唐拿下云南芒市整市屋顶分布式光伏项目开发权,北极星电力
218,2021-11-11,建筑工程行业2022年度投资策略：行到水穷处 坐看云起时,光大证券
219,2021-11-10,企查查显示中国电建于海南投资成立新公司，注册资本30亿,搜狐
220,2021-11-10,行业点评：电力、煤气及水等公用事业行业研究,国金证券股份有限公司
221,2021-11-10,A股融资融券日报：两融余额增加23.63亿元（11月9日）,Wind
222,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
223,2021-11-09,[公司]中国电建联合体中标61.83亿元重庆轨道交通工程项目,全景网
224,2021-11-09,中国电建在安哥拉市场开发取得新突破,微信
225,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
226,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
227,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
228,2021-11-08,中国电建最新公告：联合体中标61.83亿元轨道交通工程项目,证券之星
229,2021-11-08,中国电建(601669.SH)：联合中标61.83亿元的重庆轨道交通27号线工程相关施工总承包项目,格隆汇
230,2021-11-08,中国电建：联合中标61.83亿元施工总承包项目,Wind
231,2021-11-08,中国电建签约总额1.97亿美元,格隆汇
232,2021-11-08,中国电建签订四年来最大订单,阿尔法工场
233,2021-11-08,建筑钢铁行业周报：本周我们推出了钢铁行业系列深度之第一篇,新浪
234,2021-11-08,进博会期间中国电建签单1.97亿美元 创四年来新高,电缆网
235,2021-11-08,维斯塔斯与京能、国华、中国能建、中国电建战略合作！,北极星电力
236,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
237,2021-11-05,11月05日海南直辖县级行政单位水泥市场平稳价格不变,中国水泥网
238,2021-11-05,建筑与工程Ⅲ深度报告：传统建筑板块仍承压 原材料上涨拖累盈利,新浪
239,2021-11-05,快讯：中国电建跌停 报于7.11元,金融界
240,2021-11-05,大建筑央企2021三季报汇总分析：订单、营收增速放缓，周转率有所改善【招商建筑】 盈利能力下降,微信
241,2021-11-05,中国电建签约塞尔维亚地铁项目,微信
242,2021-11-05,中国电建中标并成功签约阿根廷矿用光储EPC项目,微信
243,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
244,2021-11-04,建筑行业11月月报：专业工程高增长 园林与装饰承压 绿色低碳助发展,新浪
245,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
246,2021-11-03,建筑与工程行业周报：碳达峰行动方案出台 涉及哪些建筑公司？,新浪
247,2021-11-03,11月03日云南楚雄彝族自治州混凝土需求尚可价格平稳,中国水泥网
248,2021-11-03,国盛证券：建筑行业利率平稳+现金流改善，全年增长趋势有望延续,乐居财经
249,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
250,2021-11-02,建筑行业2021年三季报总结：建筑央企收入增速放缓 钢结构下游需求逐渐回暖 盈利能力下降,光大证券
251,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
252,2021-11-02,中国电建30亿元租赁资产支持专项计划项目获上交所受理,观点地产网
253,2021-11-02,中国电建中标马来西亚巴生港仓储厂房项目,微信
254,2021-11-02,中国电建签约哥伦比亚109.2MW光伏项目,微信
255,2021-11-02,A股融资融券日报：两融余额增加47.83亿元（11月1日）,Wind
256,2021-11-02,建筑行业2021年三季报回顾：三季度业绩承压 看好建筑行业触底回升机会,新浪
257,2021-11-01,拿下全球最大储能项目，华为进入万亿新战场,36氪
258,2021-11-01,中国电建签订印尼Poso-3水电站工程技术服务合同,微信
259,2021-11-01,【安信建筑】行业周报1031：建筑行业营收业绩快速增长，Q3基金持仓比例环比提升,勇往直前
260,2021-11-01,“国家队”最新持股路线图曝光！持有市值2.6万亿 这些新宠业绩爆发（附名单）,21世纪经济报道
261,2021-11-01,A股融资融券日报：两融余额减少52.62亿元（10月29日）,Wind
262,2021-11-01,聪明资金最新动向揭秘，风格紧急切换氢能源概念股，重金杀入3只大白马股，大幅加仓19股,证券之星
263,2021-10-31,电力设备新能源2021年11月投资策略：碳达峰行动方案出台 全产业基本面向好,新浪
264,2021-10-31,陆家嘴财经早餐2021年10月31星期日,Wind
265,2021-10-30,券商资管三季度持仓出炉，“隐形牛股”涨幅超过100%！,Wind
266,2021-10-30,天风证券给予中国电建买入评级：收入延续快增，利润率阶段承压，“双碳”核心标的,每日经济新闻
267,2021-10-30,天风证券：给予中国电建买入评级,证券之星
268,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
269,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
270,2021-10-29,北向资金连续13个月加仓A股，隆基股份获大幅净买入超10亿,Wind
271,2021-10-29,中国电建三季报点评：地产拖累业绩增长，持续加大清洁能源业务资源投入【招商建筑】 盈利能力下降,微信
272,2021-10-29,中国电建·华中小龟山金融文化公园开园,上证报
273,2021-10-29,助力金融产业发展 上海证券交易所中部基地落户华中小龟山金融文化公园,中金在线
274,2021-10-29,中国电建转让运河港建设宿迁公司32%股权，底价7041.9万元,乐居财经
275,2021-10-29,融资客青睐10股，悦达投资买入占比高达41.23%,Wind
276,2021-10-29,A股融资融券日报：两融余额减少165.82亿元（10月28日）,Wind
277,2021-10-28,南国置业筑巢引凤 上海证券交易所中部基地落户华中小龟山金融文化公园,凤凰网
278,2021-10-28,中国电建前三季实现营业收入3160.98亿元，同比增长22.25%,资本邦
