,2021-12-30,华西证券：给予百隆东方买入评级,证券之星
205,2021-02-01,融资客青睐6股，七匹狼买入占比高达43.61%,Wind
206,2021-01-26,百隆东方(601339)：选举公司董事,证券时报网
207,2021-01-26,纺织与服装行业周报：2020全年服装鞋帽针织零售同比下降6.6%,新浪
208,2021-01-25,纺织服装行业周报：2020年12月服装社零同比增长3.8%,新浪
209,2021-01-20,百隆东方(601339)：董事曹燕春辞职 董监高成员变化,证券时报网
210,2021-01-20,策略专题报告：“需求侧管理与消费升级”投资机会挖掘电话会议纪要,新浪
211,2021-01-19,百隆东方：公司董事辞职 董监高成员变化,Wind
212,2021-01-19,纺织服装行业：迅销第一财季营业利润大增 中国区贡献突出；LULULEMON表示最新财季继续强劲,新浪
213,2021-01-12,纺织服装行业：LVMH完成收购TIFFANY并入驻三名高管 INDITE将关闭旗下三家副牌中国门店 经营问题,新浪
214,2021-01-11,纺织服装行业周报：PRADA 2020下半财年恢复盈利 中国销售额同比增长52%,新浪
215,2021-01-06,百隆东方(601339.SH)完成回购累计斥资9797.44万元回购1.73%股份,格隆汇
216,2021-01-05,百隆东方(601339.SH)通过高新技术企业资格认定,格隆汇
217,2021-01-04,纺织服装行业周报：元旦全国迎寒潮气温下降 关注2021年估值切换品种,新浪
218,2021-01-04,百隆东方(601339.SH)：截至12月底累计回购9797.39万元股份,格隆汇
219,2020-12-29,纺织服装行业：耐克第二财季大超预期 阿迪达斯将正式出售锐步 快时尚龙头增幅仍未回正,新浪
220,2020-12-28,纺织服装行业周报：耐克2021财年Q2大中华区销售额首季突破20亿美元、同比增长24％,新浪
221,2020-12-24,纺织与服装行业周报：11月服装零售延续改善趋势，维持“优于大市”评级,格隆汇
222,2020-12-07,纺织服装行业周报：安德玛联合篮球巨星库里推出“库里”品牌,新浪
223,2020-12-07,纺织服装行业周报：全国范围降温 利好冬装销售环境,新浪
224,2020-12-02,百隆东方(601339.SH)截至11月末累计回购1.73%股份,格隆汇
225,2020-11-25,中信建投医药&消费团队最新研究观点,中信建投证券研究
226,2020-11-24,纺织服装行业：今年中国奢侈品行业逆势大增 或为全球唯一增长市场,新浪
227,2020-11-19,纺织服装行业11月第三周周报：RCEP顺利签署 利好纺织服装行业,新浪
228,2020-11-18,纺织服装行业周报：10月服装出口同比上涨3.7% 纺织品出口同比上涨14.8%,新浪
229,2020-11-17,纺织服装行业周报：天猫双十一GMV增速创三年新高,新浪
230,2020-11-16,快讯：百隆东方涨停报于4.31元,金融界
231,2020-11-16,重磅消息加持！亚太股市集体嗨了，白酒再当A股急先锋！,e公司
232,2020-11-11,纺织服装行业：零售环比逐月向好 市场需求稳步提升,新浪
233,2020-11-06,百隆东方(601339)：Q3收入下滑 未来在出口超预期下业绩有望恢复,新浪
234,2020-11-02,百隆东方(601339.SH)：10月已累计回购168.4万股,格隆汇
235,2020-10-30,百隆东方(601339.SH)：前三季净利降39.63%至1.79亿元 盈利能力下降,格隆汇
236,2020-10-30,百隆东方：前三季度净利润同比减少39.63% 盈利能力下降,Wind
237,2020-10-28,宁波通商银行10宗违法遭罚360万元 违规发放贷款 金融监管处罚,中国经济网
238,2020-10-22,轻工纺服行业点评：出口超预期 逻辑再演绎,新浪
239,2020-10-21,纺织服装板块拉升,Wind
240,2020-10-21,纺织服装板块盘中拉升 百隆东方涨停,e公司
241,2020-10-19,纺织服装行业周观点报告：纺织服装需求持续复苏 棉纺板块强势上涨,新浪
242,2020-10-19,股价异常波动，百隆东方风险提示：公司存毛利减少的风险 盈利能力下降,资本邦
243,2020-10-19,百隆东方(601339)：股票交易风险提示,纺织网
244,2020-10-19,【行情】纺织板块开盘走弱，百隆东方触及跌停，延江股份、新野纺织、聚杰微纤等纷纷跟跌,金十数据
245,2020-10-18,浙商纺服 | 观点：继续全面看多Q4服装板块行情,纺服新消费马莉团队
246,2020-10-18,一场来自印度的蝴蝶效应，如何让这个产业密不可分？,财经无忌
247,2020-10-17,纺织概念股火热：江苏上市公司两天涨停，半年营收2.59亿,财经无忌
248,2020-10-17,行情回暖，棉花和染料掀起涨价潮,Wind
249,2020-10-16,晚间重要公告2020年10月16日星期五,Wind
250,2020-10-16,三连板百隆东方：目前在手订单为25天的生产量 后续订单存在较大不确定性,e公司
251,2020-10-16,百隆东方：在手订单为25天的生产量，后续订单存在较大不确定性,Wind
252,2020-10-16,棉花和染料掀起涨价潮：半月上涨14% 多只概念股市盈率不足20倍,新浪
253,2020-10-16,涨停复盘 | 两市缩量震荡，抗流感概念表现活跃,第一财经
254,2020-10-16,扬“煤”吐“气”！A股冷冬“提前供暖”？,中证报
255,2020-10-16,拉尼娜来了，寒冬将至，点燃今日热点板块，天然气、纺织和煤炭,财经
256,2020-10-16,解盘：消费拖累指数，煤炭、次新、低价、ST股略涨,Wind
257,2020-10-16,纺织服装板块飙升，聚杰微纤连续两日涨停,Wind
258,2020-10-16,纺织制造早盘快速拉升 聚杰微纤、百隆东方涨停,中国经济网
259,2020-10-16,纺织板块开盘继续拉升百隆东方封板,格隆汇
260,2020-10-16,A股早报2020年10月16日星期五,Wind
261,2020-10-15,策略日报：指数震荡下跌 纺织服装板块领涨,新浪
262,2020-10-15,两连板的百隆东方(601339.SH)：不存在未披露的重大事项,格隆汇
263,2020-10-15,龙虎榜机构新动向：净买入10股净卖出6股,证券时报网
264,2020-10-15,涨停板解密：利好叠加，纺织服装板块逆市火爆！（10月15日）,Wind
265,2020-10-15,涨停复盘 | 指数弱势震荡，新能源汽车继续狂欢,第一财经
