179,2021-09-29,徐工机械(000425.SZ)：拟向子公司徐工环境增资3.52亿元 用于环卫产业新基地建设,格隆汇
180,2021-09-29,徐工机械(000425.SZ)：拟出资2000万元设徐工融票,格隆汇
181,2021-09-29,徐工机械：拟作价386.86亿元吸并徐工有限,Wind
182,2021-09-29,徐工机械：拟向徐工有限全体股东发行股份吸收合并徐工有限 交易价格为386.86亿元,财联社
183,2021-09-27,北向资金今日净买入14.77亿元，白酒股连续第二日遭疯抢,Wind
184,2021-09-27,民生机械周报：挖机销量增速仍位于底部区间 静待专项债支撑效应Q4显现,新浪
185,2021-09-27,机械设备行业周报：机器换人不断加速 工业机器人稳定增长,新浪
186,2021-09-26,徐工有限、徐工机械董事长王民：市场是创新源头和活力来源,中国经营网
187,2021-09-26,中国300个城市产业地图：城市的未来指数,新浪
188,2021-09-23,深度*行业*机械设备行业周报：宁德时代、蜂巢能源公布新扩产计划 推荐锂电设备板块,新浪
189,2021-09-22,机械设备行业周报：工控自动化优势明显 工程机械景气度回升,新浪
190,2021-09-22,徐工机械：核心产品全面发力增速领跑行业,财富动力网
191,2021-09-21,机械设备行业跟踪周报：建议关注近期回调但高景气度的光伏锂电设备 持续看好行业数据迎回暖趋势的工程机械行业,新浪
192,2021-09-14,公益如何面向未来做得更有效果？徐工机械党委副书记李格：做到“三个精准”,新浪
193,2021-09-13,A股共发生142宗大宗交易成交29.83亿元（9月13日）,Wind
194,2021-09-13,徐工机械今日大宗交易成交540万股，成交价6.63元折价6.49%,Wind
195,2021-09-10,机械行业周报(2021年9月第1周)：“十四五”风电需求有望大幅超市场预期 持续推荐光伏／风电设备,新浪
196,2021-09-10,徐工机械(000425)：业绩增速大幅跑赢同行；徐工有限净利率大幅提升,新浪
197,2021-09-09,机械设备行业：8月挖机销量同比-14%好于预期 行业数据迎回暖趋势,新浪
198,2021-09-09,工程机械行业跟踪点评：8月挖掘机销量环比上升 累计销量保持稳定增长,新浪
199,2021-09-07,浙商机械 邱世梁||王华君 【徐工机械】深度：整体上市能显着增厚未来业绩；改制激励将大幅提升盈利能力,高端装备制造及材料
200,2021-09-07,徐工机械：湖州泰元投资及其一致行动人的持股比例由5.85%降至约4.99%,财联社
201,2021-09-06,机械行业2021年半年报综述：高端制造迎来黄金投资期,新浪
202,2021-09-05,徐工机械(000425.SZ)持股5%以上股东解除质押3600万股,格隆汇
203,2021-09-05,徐工机械：泰熙投资解除质押3600万股,每日经济新闻
204,2021-09-03,北向资金连续10日扫货累计加仓近460亿，药明康德、隆基股份净买入均超8亿元,Wind
205,2021-09-03,半年532亿！工程机械龙头本色尽显，徐工机械创历史最佳,中国工业报
206,2021-09-03,徐工机械业绩大增 “智慧4.0”将释放更多新动能,大众证券报
207,2021-09-03,资金加紧调仓换股，龙虎榜机构席位交易量大增,Wind
208,2021-09-02,天风证券维持徐工机械买入评级：加快数字化转型，国际化步伐稳步推进,每日经济新闻
209,2021-09-02,浙商机械 邱世梁||王华君 【徐工机械】业绩增速大幅跑赢同行；徐工有限净利率大幅提升,高端装备制造及材料
210,2021-09-02,交易异动！徐工机械：近3个交易日上涨20.95%,每日经济新闻
211,2021-09-02,龙虎榜|徐工机械三日累涨20.95% 两机构合计卖出2.15亿元,财联社
212,2021-09-02,徐工机械今日上榜，24亿北向资金买卖现分歧,证券之星
213,2021-09-02,徐工机械龙虎榜数据（9月2日）,Wind
214,2021-09-02,每日市场热点分析,新浪
215,2021-09-02,光大证券：维持徐工机械（000425.SZ）“买入”评级 业绩快速增长 净利润率提升,智通财经
216,2021-09-02,A股早报2021年9月2日星期四,Wind
