154,2021-10-29,南方航空：拟非公开增发募资不超过45亿元,每日经济新闻
155,2021-10-29,南方航空：任积东因工作变动不再担任公司副总经理 董监高成员变化,每日经济新闻
156,2021-10-29,新鲜出炉！南方航空：2021年第三季度净利润亏损14.31亿元 亏损,每日经济新闻
157,2021-10-29,南方航空：拟非公开发行A股募资45亿元 补充流动资金,e公司
158,2021-10-29,南方航空：前三季度亏损缩窄，净亏损61.19亿元 亏损,Wind
159,2021-10-29,南方航空：第三季度净亏损14.3亿元 拟定增募资不超45亿元用于补充流动资金 亏损,财联社
160,2021-10-29,南方航空：拟向控股股东南航集团定增A股募资不超45亿元,Wind
161,2021-10-29,3000元不限次数飞行，网友：疫情一来就推随心飞...顾客、航司到底谁赚了？,北京商报
162,2021-10-29,南方航空第三季度净利润亏损约14.31亿元 亏损,北京商报
163,2021-10-28,民航迎淡季 多家航司推“随心飞”3.0自救,北京商报
164,2021-10-28,半个月内超5款产品亮相 航司们的“随心飞”3.0版你会买单吗？,北京商报
165,2021-10-28,财面儿丨南方航空拟转让旗下物业公司95%股权 底价1.01亿元,财经网
166,2021-10-28,钛媒体联合创始人万宁：从业务数字化到数字化业务｜2021全球数字价值峰会,钛媒体
167,2021-10-28,南航物流总经理刘祖斌走访中原龙浩航空 洽谈航空货运合作,民航资源网
168,2021-10-27,南航生态圈建设取得新突破 获国际航协新零售成熟度认证,民航资源网
169,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
170,2021-10-24,双11预售启动，冬春航季供给增速收窄【安信交运|周报1024】,微信
171,2021-10-21,交通运输动态点评：三季报前瞻 布局航空和油运,新浪
172,2021-10-21,航空行业9月报：主要运输指标环比改善,新浪
173,2021-10-19,交通运输行业周报：预计航空Q3业绩承压 快递价格显着回升,新浪
174,2021-10-18,交通运输行业周报：海运价格回调 民航客运环比改善,新浪
175,2021-10-18,交通运输行业周报聚焦9月数据：航空环比修复 快递单价环比上涨 部分公司披露三季报预告,新浪
176,2021-10-17,交通运输行业三季报前瞻：繁荣的集运产业链 成长的大宗供应链,新浪
177,2021-10-16,9月生产运输逐步恢复态势，民航如何抵御今年最后的淡季,澎湃新闻
178,2021-10-15,南方航空：9月旅客周转量同比下降25.67%,财联社
179,2021-10-15,南方航空(600029.SH)：9月旅客周转量同比降25.67% 货邮周转量降20.63%,格隆汇
180,2021-10-15,南方航空：9月客运运力投入（按可利用座公里计）同比下降16.24%,Wind
181,2021-10-15,南航物流、海尔生物战略合作，推动航空温控物流高质,中经导报
182,2021-10-14,至暗时刻已过，吸收合并加快，机场旅游大爆发,Wind
183,2021-10-14,南航拥抱鲲鹏，引领航空智慧、安全、高效运行,TechWeb
184,2021-10-14,2021年了，我们为什么还没用上空中Wi,新浪
185,2021-10-13,交通运输物流3Q业绩预览：Β仍在演绎 关注Α,新浪
186,2021-10-13,8年普及率仅5.5%，旅客何时才能在飞机上实现上网自由？,环球旅讯
187,2021-10-12,交通运输行业2021年秋季投资策略：长期趋势确定 把握逆向时机,新浪
188,2021-10-11,运输行业：快递旺季提价在即 航空国庆客源不足,新浪
189,2021-10-09,航空市场国庆假期跟踪点评：出行指引受限 国庆客源不足,新浪
