240,2021-09-26,交运社服行业周报(9月第4周)：中秋民航旅客恢复至65% 海南开展免税促销活动,新浪
241,2021-09-26,交通运输行业周报：快递供给变化加速 关注竞争格局潜在变化,新浪
242,2021-09-26,快递供给变化加速，关注竞争格局潜在变化【安信交运|周报0926】,明兴交运研究
243,2021-09-23,白云机场(600004)：价值低估 蓄势待发,国海证券
244,2021-09-21,交通运输行业周报：快递价格回升 中秋节客流符合预期,新浪
245,2021-09-17,上海机场8月旅客吞吐量129.5万人次，同比下降61.87%,民航资源网
246,2021-09-17,百联股份：未与上海机场集团签署战略合作备忘录,每日经济新闻
247,2021-09-17,航空运输业2021年8月经营数据点评：疫情反复不改需求恢复趋势 一线机场航司仍具配置价值,光大证券
248,2021-09-16,9月16日*ST金刚、上海机场等7家公司公告出现利空,证券之星
249,2021-09-16,晚间公告｜9月16日这些公告有看头,第一财经
250,2021-09-16,上海机场：8月飞机起降架次总计19303架次 同比降低40.96%,格隆汇
251,2021-09-16,上海机场(600009.SH)：8月旅客吞吐量同比下降61.87%,格隆汇
252,2021-09-16,上海机场：8月旅客吞吐量129.52万人次，同比下降61.87%,Wind
253,2021-09-15,交通运输行业2021年四季度投资策略：成长的物流 复苏的客运,新浪
254,2021-09-14,交运中小盘行业周报：单价迎向上拐点 推荐龙头快递,新浪
255,2021-09-14,上海机场边检站：“灿都”减弱，浦东机场口岸通关正“重启”,澎湃新闻
256,2021-09-14,北向资金今日净卖出超41亿元，中国平安、白酒股持续遭抛售,Wind
257,2021-09-13,交运社服行业周报(9月第2周)：出行大反弹 免税强促销,新浪
258,2021-09-13,上海机场今天相继取消所有进出港航班,财联社
259,2021-09-12,上海两场明日通行能力大幅下降，八成以上航班调减至全部取消,Wind
260,2021-09-10,交运社服行业周报：重大推荐白云机场,新浪
261,2021-09-09,中国中免(601888)：短期基本面向好 中长期催化剂较多,新浪
262,2021-09-05,国海证券首予上海机场增持评级，中报点评：业绩环比改善，静待重组落地,每日经济新闻
263,2021-09-04,至暗时刻已过，民航业亏损中难掩回暖大势,Wind
264,2021-09-03,上海机场边检站严守“外防输入”关键点,浦东时报
265,2021-09-03,白云机场(600004)：1H21业绩略低于预期 关注免税业务动向,新浪
266,2021-09-02,110米超大直径盾构机下线，将用于上海机场联络线建设,澎湃新闻
267,2021-09-01,上海机场(600009)：国内起降利润弹性有限 静待国际航线逐步放开,新浪
268,2021-08-31,白云机场(600004)：疫情反复致中报亏损扩大 尚需等待时间恢复 亏损,新浪
269,2021-08-31,中国中免(601888)：坚持看好离岛免税空间 中免龙头地位稳固,新浪
270,2021-08-31,交通运输行业周报：通达系全部上调派费 行业价格回暖确定,新浪
271,2021-08-31,A股异动 | 上海机场(600009.SH)大涨7.56% 二季度同环比均减亏 亏损,格隆汇
272,2021-08-31,上海机场 | 中报点评：亏损小幅收窄，静待国门开放【国信交运中小盘】 亏损,微信
273,2021-08-30,上海机场2021年上半年实现净利润-6.93亿元，同比大幅下降103.51% 亏损,经济观察网
274,2021-08-30,中国中免(601888)2021半年报点评：21H1持续高增长 多重看点龙头地位不改,新浪
275,2021-08-30,上海机场：上半年净亏损7.41亿元，旅客吞吐量1825.11万人次 亏损,环球旅讯
276,2021-08-30,上海机场上半年旅客吞吐量大幅增长，非航收入同比减少近五成,环球旅讯
277,2021-08-30,上海机场(600009)：Q2业绩环比改善 静待客流拐点,新浪
278,2021-08-29,交通运输行业周报(第三十四周),新浪
279,2021-08-28,“千亿顶流”张坤隐形重仓股来了！,Wind
280,2021-08-28,上海机场边检站启动集中闭环勤务模式，驻守机场疫情防控前线,澎湃新闻
281,2021-08-28,上海机场上半年营收同比下降近27%：主要是受新冠疫情影响 盈利能力下降,澎湃新闻
282,2021-08-28,Wind风控日报2021年8月28日星期六,Wind
283,2021-08-27,上海机场(600009.SH)半年度净亏损7.41亿元 亏损,格隆汇
284,2021-08-27,上海机场(600009.SH)半年度归母净利亏损7.41亿元 亏损,智通财经
285,2021-08-27,上海机场公布半年报 上半年净利亏损7.4072亿 亏损,新浪
286,2021-08-27,上海机场：2021年半年度净利润约-7.41亿元,每日经济新闻
287,2021-08-27,上海机场：上半年净亏损7.41亿元，亏损同比扩大,Wind
288,2021-08-27,上海机场：上半年亏损扩大，净亏损7.41亿元 亏损,Wind
