,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
126,2021-06-03,19亿股解禁 中泰证券昨跌近8% 解禁,每日经济新闻
127,2021-06-03,券商定增出现缩水困局，行情卷土重来或带来定增良机,第一财经
128,2021-06-03,限售股解禁，中泰证券跌近8%！6月还有三家券商将迎大规模解禁！ 解禁,证券之星
129,2021-06-03,策略日报：指数低开高走 资源类板块走强,新浪
130,2021-06-03,6月继续看好券商股！谁会是下一波行情的“证券之星”,财联社
131,2021-06-02,中泰证券难题来了？明天直面19亿解禁股冲击！对应市值超210亿，是当前流通市值近3倍，股价迎大考,财联社
132,2021-06-02,南京证券：努力进入券商第一大方阵,大众证券报
133,2021-06-02,南京证券(601990.SH)选举吴梦云为独立董事、陈翃为职工代表监事,智通财经
134,2021-06-01,南京证券积极推进投资者教育纳入国民教育体系,每日经济新闻
135,2021-06-01,6月迎来券商股解禁潮，中泰、湘财、南京、建投4家对应2100亿市值解禁，更有两券商股东出手减持 解禁,证券之星
136,2021-05-31,首次解禁的中泰证券 多了三家股东 解禁,新浪
137,2021-05-31,南京证券：举办专业培训服务投资者,证券日报
138,2021-05-30,下周这只券商股解禁市值超210亿，流通盘大增2.7倍,Wind
139,2021-05-30,下周股市四大看点水皮:丢人现眼-更新中,中财网
140,2021-05-28,六月解禁市值创年内新高 警惕券商股解禁“魔咒”再现 解禁,大众证券报
141,2021-05-27,A股收盘综述：上证指数涨0.43%，录得四连阳,Wind
142,2021-05-27,券商股再度出击，龙头湘财股份触及涨停,Wind
143,2021-05-21,A股融资融券日报：两融余额增加9.63亿元（5月20日）,Wind
144,2021-05-20,诺泰生物上市首日涨398% IPO募8亿南京证券赚0.7亿,中国经济网
145,2021-05-20,非银金融行业跟踪：政策推动多层次资本市场健康发展 证券板块估值修复有望持续,新浪
146,2021-05-18,A股融资融券日报：两融余额增加66.37亿元（5月17日）,Wind
147,2021-05-17,券商股午后持续下行，天风证券、第一创业、南京证券、国盛金控跌超4%，方正证,新浪
148,2021-05-17,非银金融行业周报：2021Q1公募基金保有规模 TOP100券商近半数,新浪
149,2021-05-17,【行情】证券板块午后下挫走弱，第一创业跌近4%，天风证券、方正证券、南京证券跟跌,金十数据
150,2021-05-17,解盘：抱团股突起，资金连续流入，半导体、医疗、高价股领涨,Wind
151,2021-05-17,A股融资融券日报：两融余额增加42.69亿元（5月14日）,Wind
152,2021-05-14,南京证券盘中快速上涨,新浪
153,2021-05-14,南京证券大涨,新浪
154,2021-05-13,A股融资融券日报：两融余额增加44.12亿元（5月12日）,Wind
155,2021-05-12,非银金融行业周报：收入普增 业绩驱动因素分化,新浪
156,2021-05-12,【行情】证券板块短线拉升，财达证券涨停，南京证券、中银证券、华鑫股份、国联证券跟涨,金十数据
157,2021-05-12,A股融资融券日报：两融余额增加29.68亿元（5月11日）,Wind
158,2021-05-11,A股午盘综述：上证指数跌0.27%，周期股全面回调,Wind
159,2021-05-11,A股融资融券日报：两融余额增加58.16亿元（5月10日）,Wind
160,2021-05-11,又见券商股跌停，咋回事？谁在抛弃券商板块？,Wind
161,2021-05-10,南京证券今日大宗交易成交290万股，成交价8.4元溢价0.0%,Wind
162,2021-05-10,兴业证券罕见跌停！买券商股果然难赚钱，3天蒸发3000亿，国家队走人,时代财经
163,2021-05-10,A股资金流向（5月10日）：有色龙头再获资金加仓，白酒龙头遭抛售,Wind
164,2021-05-10,A股早报2021年5月10日星期一,Wind
165,2021-05-10,A股融资融券日报：两融余额减少25.99亿元（5月7日）,Wind
166,2021-05-10,非银金融行业双周报：估值低位 关注短期边际变化个股,新浪
167,2021-05-07,最惨券商股之一：股价十个月跌去55% 定增机构已浮亏25%,中国经济网
168,2021-05-07,解禁“魔咒”再现 下周限售股市值大增至1700亿元 解禁,大众证券报
169,2021-05-07,南京证券现2笔大宗交易总成交金额1.95亿元,证券时报网
170,2021-05-07,A股共发生75宗大宗交易成交17.55亿元（5月7日）,Wind
171,2021-05-07,南京证券今日大宗交易成交2000万股，成交价8.4元溢价0.0%,Wind
172,2021-05-07,A股收盘综述：上证指数录得三连阴，创业板指下挫逾3%,Wind
173,2021-05-07,券商行业周报：一季报业绩显着提升 头部券商表现亮眼,新浪
174,2021-05-07,A股午盘综述：上证指数涨0.42%，“煤飞色舞”行情再现,Wind
175,2021-05-07,A股异动 | 南京证券(601990.SH)续跌6% 自去年7月以来股价腰斩 连续下跌,格隆汇
176,2021-05-07,南京证券一年半新低：紫金集团、新工集团等定增机构被套牢,新浪
177,2021-05-07,券商股持续羸弱，国盛金控一度跌停,Wind
178,2021-05-07,A股融资融券日报：两融余额增加68.2亿元 5月6日）,Wind
179,2021-05-07,A股早报2021年5月7日星期五,Wind
180,2021-05-07,什么情况？1500亿券业龙头突然跌停，何事拖累？,Wind
181,2021-05-06,罕见！2000亿券商龙头跌停，解禁日“魔咒”再现，近期还有哪些券商股解禁？ 解禁,中证报
182,2021-05-06,限售股解禁！券商龙头遭遇跌停，中金公司创近6个月新低 解禁,环球老虎财经
183,2021-05-06,南京证券发生3笔大宗交易合计成交2.44亿元,证券时报网
184,2021-05-06,透视大宗交易：5月6日共成交97笔，南京证券成交2.44亿元,每日经济新闻
185,2021-05-06,南京证券今日大宗交易成交1062.89万股，成交价8.89元溢价0.0%,Wind
186,2021-05-06,券商板块走势疲弱，中金公司跌停，券商股大规模解禁潮6月来袭 解禁,证券时报网
187,2021-05-06,券商股怎么了？头部券商放量跌停，重组券商破板“埋人”，各自遇难题，机构认为正开启磨底走势,证券之星
188,2021-05-06,2000亿市值券商龙头早盘跌停，还是这个原因？,Wind
189,2021-05-06,2000亿市值券商龙头早盘跌停 还是这个原因？,上证报
190,2021-05-06,A股融资融券日报：两融余额减少152.9亿元（5月5日 ）,Wind
191,2021-05-05,劳动节假期要闻汇总（5月1日-5日）,Wind
192,2021-05-02,下周操盘攻略：科创板、创业板资产重组面临重大改革,Wind
193,2021-04-30,下周317亿市值限售股解禁，节后首个交易日迎解禁高峰 解禁,Wind
194,2021-04-30,年报、一季报“冰火两重天” 南京证券业绩为何突然“变脸”？ 盈利能力下降,和讯
195,2021-04-30,“牛市旗手”券商股节前持续上攻，板块被低估还是市场信号？,和讯
196,2021-04-30,券商股盘中拉升 南京证券涨逾6%,上证报
197,2021-04-30,【行情】券商股午前拉升，南京证券涨超6%领涨，太平洋、华林证券、中信证券跟涨,金十数据
198,2021-04-30,券商股午前拉升，南京证券一马当先,Wind
199,2021-04-30,宁夏将投资者教育纳入国民教育体系,证券日报
200,2021-04-29,金融板块回暖 沪指“三阳开泰” 宏观数据向好利好A股市场,大众证券报
201,2021-04-29,牛市旗手彻底爆发！啥情况？3家券商首季营收超百亿,Wind
202,2021-04-29,“牛市旗手”吹响冲锋号角，当前时点的券商股为何被看好？,第一财经
203,2021-04-29,南京证券一季度净利降23% 去年人均薪酬福利38万元 盈利能力下降,中国经济网
204,2021-04-29,南京证券2020年净利润超8亿元，同比增长约14%,和讯
205,2021-04-29,A股收盘综述：上证指数涨0.52%，医美题材炙手可热,Wind
206,2021-04-29,"券商股迎""业绩涨"" 头部券商领衔爆发 总市值座次重排",财联社
207,2021-04-29,刚被机构大幅减仓，这个板块突然反转！,Wind
208,2021-04-29,券商股突然爆发，白酒大跳水！八连板妖股来了,Wind
209,2021-04-29,券商板块领涨市场，证券ETF涨超2%,Wind
210,2021-04-29,解盘：资金持续流入，证券、半导体、智能音箱领涨,Wind
211,2021-04-29,A股午盘综述：上证指数涨0.17%，金融股罕见发力,Wind
212,2021-04-29,券商概念股早盘集体爆发 南京证券涨停,中国经济网
213,2021-04-29,业绩集中公布，大券商地位稳固！券商股早盘大幅拉升，南京证券涨停,金融界
214,2021-04-29,【异动股】券商概念板块拉升，南京证券(601990.CN)涨10.0%,财华社
215,2021-04-29,券商板块强势上攻 南京证券涨停,上证报
216,2021-04-29,【行情】券商板块大涨，南京证券封板，国泰君安涨超9%，湘财股份、兴业证券、海通证券、中信证券等纷纷大幅走高,金十数据
217,2021-04-29,A股融资融券日报：两融余额增加19.61亿元（4月28日）,Wind
218,2021-04-29,交卷！南京证券：2021年第一季度净利润约1.77亿元，同比下降23.46% 盈利能力下降,每日经济新闻
219,2021-04-28,南京证券一季度营收、归母净利润双双下滑 盈利能力下降,北京商报
220,2021-04-28,南京证券2020年归母净利润8.1亿元 同比增14.06%,北京商报
221,2021-04-28,南京证券(601990.SH)2020年度净利润升14.06%至8.10亿元拟10派1.3元,格隆汇
222,2021-04-28,南京证券(601990.SH)一季度净利润降23.46%至1.77亿元 盈利能力下降,格隆汇
223,2021-04-28,南京证券(601990.SH)年度归母净利润同比增长14.06%至8.09亿元,智通财经
224,2021-04-28,南京证券：一季度净利润同比减少23.46% 盈利能力下降,Wind
225,2021-04-28,南京证券：2020年净利润同比增长14.06%,Wind
226,2021-04-28,A股融资融券日报：两融余额减少23.65亿元（4月27日）,Wind
227,2021-04-27,【中原非银】券商板块周报：2021.4.19-2021.4.25,中原证券研究所
228,2021-04-26,A股融资融券日报：两融余额减少29.83亿元（4月23日）,Wind
229,2021-04-23,南京证券(601990.SH)：3.21亿股限售股将于5月6日起上市流通 解禁,智通财经
230,2021-04-23,南京证券：副总裁徐萍辞职 董监高成员变化,Wind
231,2021-04-22,6个月暴增50%，融券余额首破1500亿大关,Wind
232,2021-04-22,融券余额首破1500亿，券商火速布局抢占市场,Wind
233,2021-04-20,中交远洲信披违规实控人收警示函 主办券商南京证券 金融监管处罚,中国经济网
234,2021-04-12,一季报业绩大幅预增股集体砸盘，三大主因剖析,Wind
235,2021-04-12,一季报预喜，股价却跌停了！背后有玄机,Wind
236,2021-04-12,【行情】证券板块异动拉升，太平洋涨超4%，国盛金控、兴业证券、南京证券等跟涨,金十数据
237,2021-04-02,南京证券：暂无配股计划,每日经济新闻
238,2021-03-24,财报丨华泰证券三十年：江苏为什么能跑出头部券商？,云掌财经
239,2021-03-17,南京证券现1笔大宗交易 共成交284.48万元,新浪
240,2021-03-17,南京证券今日大宗交易成交28万股，成交价10.16元溢价0.0%,Wind
241,2021-03-16,315金融服务亲体验|投教看江苏：内容为王、形式潮流,搜狐
242,2021-03-12,南京证券：“18南京01”回售金额为9000万元，未转售,Wind
243,2021-03-10,这只券商股三天涨17%，上一轮券商股行情龙头正是它,Wind
244,2021-03-05,南京证券现1笔大宗交易 共成交303.80万元,新浪
245,2021-03-05,【牛人重仓】南京证券:放量上涨，量比大于3，今日资金流入1853.06万元，北向资金持股3483.82万股，融资余额126369.13万元；前3个交易日，北向资金增持91.1万股，融资额增加-670.21万元，主力资金净流入-1348.18万元,每日经济新闻
246,2021-03-02,南京证券：“18南京01”回售登记期3月5日至3月9日,Wind
247,2021-02-24,3300亿解禁，牛市旗手能否撑住？6月迎最强洪峰,券商中国
248,2021-02-24,今年券商股解禁“压力山大”：2月扎堆，6月迎洪峰 解禁,Wind
249,2021-02-22,南京证券今日大宗交易成交18.42万股，成交价10.86元溢价1.5%,Wind
250,2021-02-08,美锦能源今日涨停，机构买入超9000万元,Wind
251,2021-02-07,再融资新规一周年，券商边“补血”边赚钱！,国际金融报
252,2021-02-02,券商板块午后拉升 南京证券涨近7%,上证报
253,2021-02-02,快讯：证券板块触底反弹 南京证券涨幅超7%,新浪
