623,2020-12-24,与华为“闹掰”一年多，伟创力实业年收入仅百万，终被卖给领益智造,每日经济新闻
624,2020-12-23,31股今日获机构买入评级,证券时报网
625,2020-12-23,领益智造(002600)：股权激励彰显发展信心 垂直化整合贡献核心增长点,新浪
626,2020-12-23,领益智造(002600)重大事项点评：收购伟创力珠海加码组装 股权激励彰显信心,新浪
627,2020-12-23,因生产基地需要，领益智造拟收购珠海伟创力100%股份,资本邦
628,2020-12-23,周三机构一致看好的七大金股（12.23）,中金在线
629,2020-12-23,24股获券商买入评级 豪能股份目标涨幅达126%,Wind
630,2020-12-23,5股获买入评级 最新:领益智造,中财网
631,2020-12-23,【招商电子】领益智造：收购珠海伟创力加码成品布局，股权激励彰显信心,招商电子
632,2020-12-22,【天风电子】领益智造：股权激励绑定核心团队，看好公司未来发展,科技伊甸园
633,2020-12-22,领益智造(002600.SZ)拟收购珠海伟创力作为粤港澳大湾区重要生产基地,智通财经
634,2020-12-22,领益智造：拟通过全资子公司收购珠海伟创力100%股权,Wind
635,2020-12-22,27股今日获机构买入评级,证券时报网
636,2020-12-22,领益智造(002600)：股权激励彰显公司信心 打造消费电子一站式平台,新浪
637,2020-12-22,领益智造(002600)：股权激励绑定员工利益 行权条件显高增信心,国金证券股份有限公司
638,2020-12-21,领益智造(002600.SZ)拟推2020年股票期权与限制性股票激励计划,格隆汇
639,2020-12-17,A股持续“醉酒”，北向资金大幅增持酿酒板块，机构坚定看好头部白酒龙头（附股）,21世纪经济报道
640,2020-12-16,【行情】苹果概念跳水，领益智造跌5%，闻泰科技跌4%，海能实业、长信科技小幅下挫,金十数据
641,2020-12-16,盘前情报丨全球巨头争抢镍资源；苹果计划提升30% iPhone产量，产业链或受益（附股）,21世纪经济报道
642,2020-12-15,苹果计划明年提高iPhone产量，相关产业链将持续受益丨牛熊眼,第一财经
643,2020-12-15,电子周报：部分芯片缺货影响镜头放量 半导体芯芯向荣,新浪
644,2020-12-15,中信建投TMT团队最新研究观点,中信建投证券研究
645,2020-12-14,电子投资新机遇：新时代、新格局,新浪
646,2020-12-14,TMT一周谈之电子行业：被动件高景气延续 3C创新仍可期,新浪
647,2020-12-14,电子行业周报：IPHONE、面板产业链持续高景气 继续看好汽车电子,新浪
