,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
260,2021-07-06,公用环保行业周报：水电新一轮投运密集启动 中报有望催化焚烧发电配置机会,新浪
261,2021-07-06,国投电力参股成立燃气发电公司 注册资本7.5亿,企查查
262,2021-07-05,国投电力：两河口满发水头是228米，满发流量1492立方米每秒，满发出力是300万千瓦,每日经济新闻
263,2021-07-05,大宗商品行业周报：绿色能源与大宗商品周报(2021年第9期),新浪
264,2021-07-04,水电密集投产，板块迎重大拐点,郭丽丽的研究札记
265,2021-07-04,电力行业二季度前瞻：水平稳火承压 新能源大放异彩,新浪
266,2021-07-02,国投电力(600886.SH)：获接受合计30亿元中期票据注册,格隆汇
267,2021-07-02,国投电力(600886.SH)中期票据获准注册,智通财经
268,2021-07-02,国投电力：雅砻江杨房沟水电站首台机组投入正式商业运行,Wind
269,2021-07-02,近20家A股公司参与沪伦通GDR推介会 伦交所高层解析GDR融资六大优势,21世纪经济报道
270,2021-06-29,碳中和背景下电价机制改革展望：限电或倒逼电改 电价打开向上弹性,新浪
271,2021-06-29,公用事业行业跟踪报告：电力商品属性强化 价值有望重估,新浪
272,2021-06-29,公用事业行业周报：7月煤价或下行 火电盈利拐点可期,新浪
273,2021-06-28,“碳中和”目标下，光伏电站成香饽饽，谁纷至沓来？谁卖出离场？,每经头条
274,2021-06-27,水电“高速公路”日臻完善,郭丽丽的研究札记
275,2021-06-25,国投钦州电厂三期2×660MW超超临界项目三大主机设备合同签订,中新网
276,2021-06-24,【SMM专题】碳中和、碳达峰助推光伏发展 相关政策速览,上海有色
277,2021-06-23,2021年下半年公用事业投资策略：电力供需全面趋紧看好清洁能源龙头,新浪
278,2021-06-22,国投电力跌1.28%报9.29元 创近3个月新低 连续下跌,中新经纬
279,2021-06-21,水电联合调度增益几何？,郭丽丽的研究札记
280,2021-06-19,公用环保行业周报：江苏上调峰段电价 限电有望倒逼电改,新浪
281,2021-06-15,环保公用行业周报：利好因素接连落地 新能源运营向上进击,新浪
282,2021-06-15,海通证券研究所早报,新浪
283,2021-06-11,国投电力与中国能建签订战略合作框架协议,北极星电力
284,2021-06-10,电荒研究系列二：电价会上涨么？,新浪
285,2021-06-08,海通证券研究所早报,新浪
