1166,2021-03-17,大V质疑财务造假？牧原股份逐一回复：“都有合理性！”,证券时报网
1167,2021-03-17,正面刚！4000亿“猪茅”回应六大质疑,Wind
1168,2021-03-17,牧原股份回应造假质疑：高毛利与大存大贷有合理性,证券时报
1169,2021-03-17,突遭大V质疑！刚刚，3800亿养猪巨头全回应了！,中国基金报
1170,2021-03-16,牧原股份详解高毛利率成因：温氏、新希望、正邦、天邦四巨头组团从公司采购仔猪、种猪,21世纪经济报道
1171,2021-03-16,牧原股份回复深交所！异常高毛利、大存大贷、工程关联交易等热点问题，都有合理性！,证券时报网
1172,2021-03-16,牧原股份回复关注函：公司固定资产周转率不存在异常情况,Wind
1173,2021-03-16,新希望：目前父母代存栏种猪中约半数都是公司自主扩繁的,每日经济新闻
1174,2021-03-16,新希望：一头祖代猪一年大约可提供8头母猪,每日经济新闻
1175,2021-03-16,新希望：1、2月份投苗数里外购仔猪只有10%左右,每日经济新闻
1176,2021-03-16,新希望：公司2月断奶仔猪100万头以上,Wind
1177,2021-03-15,A股治理说丨“关键少数”离职缘何诱发大跌：“每天2.5位”董秘离岗，财务总监、董秘“携手离职”故事多,21世纪经济报道
1178,2021-03-15,午间公告2021年3月15日星期一,Wind
1179,2021-03-15,炸锅！4000亿“猪茅”被质疑，什么情况？,Wind
1180,2021-03-13,上市公司正负面新闻2021年3月13日星期六,Wind
1181,2021-03-12,晚间重要公告2021年3月12日星期五,Wind
1182,2021-03-12,36氪首发 | 「小望科技」完成新希望领投近亿元A轮融资，依托财税SaaS服务建立企业数字化平台,36氪
1183,2021-03-12,破解猪周期、鸡周期！温氏、新希望、圣农纷纷加码终端布局,搜狐
1184,2021-03-11,新希望：1-2月投苗约170万头,Wind
1185,2021-03-10,开源证券--农林牧渔行业点评报告：量价齐跌影响，上市猪企2月收入端环比下滑【行业研究】,金融界股吧
1186,2021-03-10,猪肉板块、鸡产业板块走软，双汇发展、新希望、温氏股份齐跌,Wind
1187,2021-03-10,财信证券--农林牧渔行业月度报告：建议关注业绩优异和政策受益板块【行业研究】,金融界股吧
1188,2021-03-10,猪价加速下跌 离红烧肉自由不远了？,斑马消费
1189,2021-03-10,近期猪市出现分化：生猪价格下跌，仔猪却在涨价,Wind
1190,2021-03-09,蒙牛、光明、新希望缠斗 低温奶努力突围“包邮区”,新浪
1191,2021-03-09,猪价虽下跌，但A股养猪龙头仍大赚，有公司两月收入123亿,和讯
1192,2021-03-09,千亿回购潮来临，A股迎强护盘模式,Wind
1193,2021-03-09,猪肉还要降！头部猪企1-2月全线放量，牧原股份销量暴增250%,21世纪经济报道
1194,2021-03-09,前有新希望后有万科，时尚青岛为何“出圈”养猪界？,财经网
1195,2021-03-09,猪肉股逆市活跃，温氏股份、新希望、新五丰、正邦科技普涨,Wind
1196,2021-03-09,新希望：2月生猪销售收入超20亿元，同比增146%,资本邦
1197,2021-03-09,新希望2月生猪销售价升量涨 收入同比增长135.4%,金融界
1198,2021-03-09,Wind风控日报2021年3月9日星期二,Wind
1199,2021-03-09,上市公司正负面新闻2021年3月9日星期二,Wind
1200,2021-03-08,新希望2月商品猪均价29.38元/公斤，环比降3.74%,澎湃新闻
1201,2021-03-08,晚间重要公告2021年3月8日星期一,Wind
1202,2021-03-08,新希望(000876.SZ)2月生猪销售收入环比降18.71%同比升146%,格隆汇
1203,2021-03-08,新希望：2月生猪销售收入20.38亿元 同比增146%,e公司
1204,2021-03-08,新希望：2月生猪销售收入环比下降18.7%,Wind
1205,2021-03-08,农林牧渔行业：21年政府工作报告关注种业和生猪产业发展,新浪
1206,2021-03-08,猪肉板块下滑，牧原股份冲高回落,Wind
1207,2021-03-07,新希望半年市值蒸发888亿！养猪还是一门好生意吗？,云掌财经
1208,2021-03-07,农业周观点：非瘟疫情放大企业成本差异 业绩分化将持续,新浪
1209,2021-03-07,探索多种养殖模式，猪企积极筹备期货队伍,Wind
1210,2021-03-05,国泰养殖ETF投资价值分析：“畜”锐“养”精,新浪
1211,2021-03-05,养猪毛利高达 42.6%，连万科都眼红了？,砍柴网
1212,2021-03-05,转债行业跟踪报告：一周行业数据,新浪
1213,2021-03-05,视频丨新希望董事长刘永好带着6份提案参加两会,每日经济新闻
1214,2021-03-05,新希望(000876.SZ)：拟在广西桂林新建年出栏30万头生猪养殖项目,格隆汇
1215,2021-03-05,新希望(000876.SZ)：拟以4000万元收购贺州九鼎农牧100%股权,格隆汇
1216,2021-03-05,2021两会 | 新希望刘永好：猪芯片是当前猪产业亟待解决的问题,证券时报
1217,2021-03-05,[公司]新希望披露业绩快报 2020年营收突破千亿元,全景网
1218,2021-03-05,新希望(000876)：当期业绩偏弱 生猪养殖业务长期成长潜力可期,新浪
1219,2021-03-05,牧原股份、新希望双双下挫逾6%，猪肉板块承压,Wind
1220,2021-03-05,A股3月5日房企股开盘：新希望跌6.7%,乐居财经
1221,2021-03-05,新希望低开6.7%，去年净利润增长4.77%,Wind
1222,2021-03-05,上市公司正负面新闻2021年3月5日星期五,Wind
1223,2021-03-04,每日梳理 | 3月4日快消业新闻精选,财经网
1224,2021-03-04,快讯 | 新希望：去年营收增长33.85%至1098.25亿，主要系猪产业营收大幅上涨,财经网
1225,2021-03-04,晚间重要公告2021年3月4日星期四,Wind
1226,2021-03-04,刘永好建议养猪行业实行准入机制：小户要鼓励，大户要规范,澎湃新闻
1227,2021-03-04,新希望发布2020年业绩快报 年度营收增长率超33%,金融界
1228,2021-03-04,新希望：2020年净利52.82亿元 同比增长4.77%,e公司
1229,2021-03-04,新希望(000876.SZ)披露业绩快报 2020年度归母净利润同比增长4.77%,智通财经
1230,2021-03-04,新希望：2020年度净利润约52.82亿元，同比增加4.77%,每日经济新闻
1231,2021-03-04,新希望(000876.SZ)业绩快报：2020年净利升4.77%至52.82亿元,格隆汇
1232,2021-03-04,新希望：2020年净利润52.82亿元，同比增长4.77%,Wind
1233,2021-03-04,农产品行业生猪养殖系列报告六十七：如何看当下仔猪价格同生猪价格背离？,新浪
1234,2021-03-04,东兴证券--农林牧渔行业：1月猪价涨幅收窄，全年出栏目标翻倍增长【行业研究】,金融界股吧
1235,2021-03-04,上市猪企哪家强？牧原一骑绝尘仍扩产，年内肉价可能下滑,电鳗快报
1236,2021-03-04,华为“跨行”养猪的背后：这个风口真的把猪吹上了天？,新浪
1237,2021-03-03,新希望董事长刘永好：要像重视芯片一样重视生猪育种,格隆汇
1238,2021-03-03,刘永好建议：出台中国种猪研发补助政策，奖励“猪芯片”人才,澎湃新闻
1239,2021-03-03,刘永好：建议通过补贴和配套条件建设 实施“农业人才下乡”计划,新浪
1240,2021-03-03,新希望刘永好：引导生猪养殖产业转型升级｜两会提案⑤,乐居财经
1241,2021-03-03,新希望将在生猪育种方向投资30亿元,企查查
1242,2021-03-03,新希望：今年会把外购仔猪育肥这种模式控制在较低的规模和占比,每日经济新闻
1243,2021-03-03,一线丨新希望刘永好两会提案：涉及乡村振兴、民企转型与创新发展,腾讯网
1244,2021-03-03,佛山楼面价首破2万元/平方米 专家预测22城集中供地将推热莞佛土地市场,时代在线
1245,2021-03-03,盘点跨界养猪：风口上的猪能飞多久？,新京报
1246,2021-03-03,上市猪企扩产 上演“小猪快跑”,新京报
1247,2021-03-03,[公司]新希望：已斥资1.7亿元用于回购股份,全景网
1248,2021-03-03,五届“老委员”刘永好的责任与担当,人民政协网
1249,2021-03-03,华宝信托退出聊城六和 新希望旗下增持至100%,乐居财经
1250,2021-03-03,“跨界养猪”一再被推向市场和舆论风口,中投网
1251,2021-03-02,猪价有望反弹 机构建议关注估值处于低位的养殖板块丨牛熊眼,第一财经
1252,2021-03-02,晚间重要公告2021年3月2日星期二,Wind
1253,2021-03-02,新希望(000876.SZ)截至2月底累计回购1.73亿元股份,格隆汇
1254,2021-03-02,沪指一度失守3500点：茅台一度跌超5% 机构称正值抄底好机会,英为财情
1255,2021-03-02,阿里巴巴与新希望在农业领域战略合作，3年培育20万新农人,Wind
1256,2021-03-02,阿里巴巴将与新希望在农业领域战略合作，3年培育20万新农人,36氪
1257,2021-03-01,【行情】猪肉股整体强势，天邦股份、巨星农牧、牧原股份、天康生物、新希望涨幅居前,金十数据
1258,2021-03-01,猪肉股整体强势，天邦股份、巨星农牧、牧原、天康生物、新希望涨幅居前,Wind
1259,2021-03-01,新希望：高度关注生猪期货相关政策，目前尚未参与实际的期货交易,每日经济新闻
1260,2021-03-01,新希望：公司经营一切正常，不存在爆雷的可能性,每日经济新闻
1261,2021-03-01,新希望：非洲猪瘟防控总体上处于行业领先水平,每日经济新闻
1262,2021-03-01,新希望：今后会在合适的时机入场参与生猪期货交易套期保值是重要的操作方式之一,格隆汇
1263,2021-02-28,【国君农业】周报：养殖，种植“春播”行情仍在继续,农业凯歌
1264,2021-02-28,亚洲渔港拟登陆创业板IPO 2019年欲接盘獐子岛资产未果，生产以外协加工为主,每日经济新闻
1265,2021-02-26,生猪养殖系列报告六十六：如何看冬季疫情对行业影响？,新浪
