,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
400,2021-04-29,【方正电新】正泰电器：业绩稳定增长，低压电器+户用光伏双轮驱动,申建国电新团队
401,2021-04-29,上市公司炒股悲喜剧：谁赚钱了，谁又亏钱了？ 投资失误,第一财经
402,2021-04-29,首创证券给予正泰电器买入评级：低压再上层楼，光伏高增可期,每日经济新闻
403,2021-04-29,平安证券维持正泰电器推荐评级：业绩符合预期，龙头稳健增长,每日经济新闻
404,2021-04-29,正泰电器：财务费用大幅增长91% | 年报拆解,乐居财经
405,2021-04-29,正泰电器：毛利率两连降，负债率连续三年攀升 | 年报拆解 偿债能力下降,乐居财经
406,2021-04-29,正泰电器：经营现金流、投资现金流双双下滑 | 年报拆解 盈利能力下降,乐居财经
407,2021-04-29,正泰电器(601877)：Q1业绩超预期 低压电器龙头加速扩张,新浪
408,2021-04-29,中泰证券：正泰电器（601877.SH）Q1业绩超预期，维持“增持”评级,智通财经
409,2021-04-29,低压电器及新能源产业协同发展 正泰电器2020年净利增长7成,上证报
410,2021-04-28,正泰电器：2020年度净利润约64.27亿元，同比增加70.85%,每日经济新闻
411,2021-04-28,正泰电器：2021年第一季度净利润约1.21亿元，同比下降64.52% 盈利能力下降,每日经济新闻
412,2021-04-28,正泰电器聘任刘淼为公司副总裁 曾任施耐德电气销售总监,每日经济新闻
413,2021-04-28,正泰电器(601877.SH)：一季度净利降64.52%至1.21亿元 盈利能力下降,格隆汇
414,2021-04-28,正泰电器(601877.SH)：2020年度净利升70.85%至64.27亿元 拟10派5元,格隆汇
415,2021-04-28,正泰电器(601877.SH)一季度光伏电站电费收入达8.21亿元,智通财经
416,2021-04-28,正泰电器：2020年净利润同比增长70.85%,Wind
417,2021-04-28,正泰电器：一季度净利润同比减少64.52% 盈利能力下降,Wind
418,2021-04-27,电力设备行业点评：施耐德发布1Q21业绩 中国区能效管理业务两位数增长,新浪
419,2021-04-26,电力设备新能源周观察：2025风光电量占比明确 行业维持高景气,新浪
420,2021-04-26,电气设备行业周报：顶层设计之下的国内储能新起点,新浪
421,2021-04-21,安信证券--电力设备行业动态分析：ARCFOX上市！从造车盛宴观电动车提速【行业研究】,金融界股吧
422,2021-04-16,A股早报2021年4月16日星期五,Wind
423,2021-04-16,上市公司正负面新闻2021年4月16日星期五,Wind
424,2021-04-15,晚间重要公告2021年4月15日星期四,Wind
425,2021-04-15,正泰电器(601877.SH)：拟向亿利洁能收购正利新能源49%股权,格隆汇
426,2021-04-15,正泰电器：子公司拟2.48亿元收购亿利洁能持有正利新能源49%股权,格隆汇
427,2021-04-15,每日全球并购：赛默飞世尔拟超150亿美元收购PPD，贝恩资本将联手CVC竞购东芝（04/15）,晨哨网
428,2021-04-12,电力板块持续拉升，机构建议四主线把握投资机遇丨牛熊眼,第一财经
429,2021-04-12,电力设备及新能源行业周报：210电池片硅成本优势显现 市场份额有望提升,新浪
430,2021-04-12,电力设备新能源周观察：电动化趋势加速 拥抱行业高景气,新浪
431,2021-04-11,【方正电新丨周观点】3月动力电池装机量9.0GWh环增61.3%，光伏户用度电补贴延续,申建国电新团队
432,2021-04-09,光伏系列（41）：BIPV有爆发迹象，将是光伏下一个重要应用,电新产业研究
433,2021-04-09,电力电气设备、公用事业行业：发改委就2021年新能源上网电价征求意见 户用享受平价过渡补贴,新浪
434,2021-04-09,盘前有料丨住建部约谈广州等5城政府负责人；今日3只新股申购…重要消息还有这些,证券时报
435,2021-04-09,安信证券：继续重点推荐光伏和风电产业链投资机会，光伏建议把握4条主线,Wind
