,2021-12-31,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
135,2021-11-18,中国建筑：1月-10月公司新签合同总额26604亿元，同比增长7.5%,Wind
136,2021-11-18,中国建筑现1笔大宗交易 共成交585.00万元,新浪
137,2021-11-18,中国建筑今日大宗交易成交130万股，成交价4.5元折价3.64%,Wind
138,2021-11-18,助推建筑产业数字化进程，云筑网招标系统向全行业共享！,凤凰网
139,2021-11-18,建筑行业专题报告：“双碳1+N”政策刚性驱动 看好能源电力建筑央企、装配式板块,新浪
140,2021-11-18,经参头版：国企改革三年行动将迎“首考”,Wind
141,2021-11-17,郑学选任中建集团董事长、党委书记,中新经纬
142,2021-11-17,中国石化、中建集团主要领导调整,Wind
143,2021-11-17,中国建筑重要领导调整,微信
144,2021-11-16,深度*行业*建筑行业三季报综述：地方建企业绩表现突出 装配式持续向好,新浪
145,2021-11-15,中国建筑3亿元小公募债券获上交所受理,乐居财经
146,2021-11-15,【安信建筑】行业周报1114：Q4重大项目密集开工，南网十四五规划重磅发布,勇往直前
147,2021-11-15,申万宏源建筑周报：社融触底回升 建筑业融资仍处于相对高位,新浪
148,2021-11-13,津鸿贸易状告爱得威建设等，案由票据追索权纠纷 诉讼纠纷,乐居财经
149,2021-11-12,"中国建筑现1笔大宗交易 共成交1,968.00万元",新浪
150,2021-11-12,中国建筑今日大宗交易成交410万股，成交价4.8元折价0.21%,Wind
151,2021-11-12,中国建筑在交融汇通股权投资比例上升至54%,乐居财经
152,2021-11-12,中国建筑：公司持续开展低碳建筑、近零能耗建筑等技术研发,每日经济新闻
153,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
154,2021-11-11,再破纪录，A50ETF（159601）今日成交高达36.31亿元再创新高,Wind
155,2021-11-10,国资委推进强化考核评估 确保国企改革三年行动见实效,上证报
156,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
157,2021-11-08,中国建筑：旗下公司承建的江苏省镇江市年产24GWh锂离子动力电池项目交付,e公司
158,2021-11-08,迈动互联中标中建集团,钢企网
159,2021-11-08,久盛电气：公司客户主要为中国建筑、中国中铁、中国铁建、万达、华润置地等大中型优质客户,每日经济新闻
160,2021-11-08,中国建筑智慧时代，美的来了！美控携“KONG”赋能中国楼宇自控迭代,北国网
161,2021-11-08,建筑钢铁行业周报：本周我们推出了钢铁行业系列深度之第一篇,新浪
162,2021-11-05,中国建筑：公司近几年已持续开展绿色、低耗能建筑研发，目前已有相应研发或产业链布局,每日经济新闻
163,2021-11-05,中国建筑：公司不断开拓综合性地下空间产业,每日经济新闻
164,2021-11-05,中国建筑：光伏建筑等新能源业务是双碳战略全产业链中的重要一环,每日经济新闻
165,2021-11-05,中国建筑：内蒙古达拉特旗光伏发电领跑奖励基地1号项目为全球最大的沙漠集中式光伏发电基地,每日经济新闻
166,2021-11-05,建筑与工程Ⅲ深度报告：传统建筑板块仍承压 原材料上涨拖累盈利,新浪
167,2021-11-05,《2021建筑涂料产业发展履约报告》调研结束，产业链发展新趋势凸显,凤凰网
168,2021-11-05,北向资金结束连续6日净买入，隆基股份连续3日遭抛售累计净卖出超30亿,Wind
169,2021-11-05,大建筑央企2021三季报汇总分析：订单、营收增速放缓，周转率有所改善【招商建筑】 盈利能力下降,微信
170,2021-11-05,透视三季报：“专精特新”高成长性引人注目（名单）,Wind
171,2021-11-04,中国建筑旗下常州项目公司获招商局地产增资7.37亿元,观点地产网
172,2021-11-04,中国建筑(601668)：净利增速21%符合预期 全球最大工程承包商,新浪
173,2021-11-04,普联软件：光大保德信基金管理有限公司、富国基金管理有限公司等22家机构于10月26日调研我司,证券之星
174,2021-11-03,中国建筑前三季度房地产贡献2178亿元营收 毛利率同比降低3.5个百分点 盈利能力下降,中华网
175,2021-11-02,建筑行业2021年三季报总结：建筑央企收入增速放缓 钢结构下游需求逐渐回暖 盈利能力下降,光大证券
176,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
177,2021-11-02,建筑行业2021年三季报回顾：三季度业绩承压 看好建筑行业触底回升机会,新浪
178,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
179,2021-11-01,久盛电气：公司的电伴热产品及伴热系统已应用于中电建青海共和50MW塔式光热发电项目等项目,Wind
180,2021-11-01,【安信建筑】行业周报1031：建筑行业营收业绩快速增长，Q3基金持仓比例环比提升,勇往直前
181,2021-11-01,久盛电气：公司客户中尚未有宁德时代公司,Wind
182,2021-11-01,三季报收官，A股“硬科技”板块表现抢眼,Wind
