,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
236,2021-11-04,新城控股前10月销售同比增长1.1% 单月销量下降超两成 盈利能力下降,中华网
237,2021-11-03,销售回调与单月零拿地 新城控股1930亿业绩管窥,观点地产网
238,2021-11-03,晚间重要公告2021年11月3日星期三,Wind
239,2021-11-03,新城控股：取消召开“18新控05”2021年第一次债券持有人会议,Wind
240,2021-11-03,晚间公告｜11月3日这些公告有看头,第一财经
241,2021-11-03,新城控股前10个月合同销售额1929.11亿元,新京报
242,2021-11-03,财面儿丨新城控股前10月合同销售金额约1929.11亿元，目标完成率为74.2%,财经网
243,2021-11-03,新城控股前十月销售额1929亿 同比增1.08%,金融界
244,2021-11-03,新城控股前十月累计合同销售1929.11亿元 单月同比下降超20% 盈利能力下降,观点地产网
245,2021-11-03,新城控股前10月合同销售额1929.11亿元，同比增长1.08%,乐居财经
246,2021-11-03,新城控股：10月实现合同销售金额约221亿元 同比下降20.5% 盈利能力下降,e公司
247,2021-11-03,新城控股：10月实现合同销售金额约221亿元 同比下降20.50% 盈利能力下降,财联社
248,2021-11-03,新城控股：10月实现合同销售金额同比下降20.50% 盈利能力下降,Wind
249,2021-11-03,新城控股(601155.SH)： 1-10月累计合同销售额约1929.11亿元,格隆汇
250,2021-11-03,A股收盘综述：“光伏茅”放量迫近跌停恫吓热门赛道，煤炭、地产、防疫板块逆市上扬,Wind
251,2021-11-02,房地产行业周报：Q3地产板块相对行业配置比例环比改善 房地产贷款增速持续放缓,新浪
252,2021-11-02,【行情】房地产板块午后持续走低，广宇发展跌超8%，阳光城、滨江集团、津滨发展、招商蛇口、新城控股跟跌,金十数据
253,2021-11-01,国信证券：给予新城控股买入评级,证券之星
254,2021-11-01,国信证券给予新城控股买入评级：业绩平稳增长，双轮驱动发展,每日经济新闻
255,2021-11-01,融资客青睐7股，安徽合力买入占比高达41.44%,Wind
256,2021-10-29,新能源真的为所欲为！宁德创新高，5000亿隆基逼近涨停,Wind
257,2021-10-29,A股收盘综述：宁德时代势不可挡、10月劲升超两成，隆基股份放天量遥相呼应,Wind
258,2021-10-29,平安证券维持新城控股推荐评级：业绩稳步增长，投资趋于谨慎,每日经济新闻
259,2021-10-29,新城控股股东向中诚信托质押股份，用于偿还前期债务！,微信
260,2021-10-29,新城控股三季度净利同比增长12%较二季度环比腰斩,中华网
261,2021-10-29,万科A跌近5%创三年新低，保利、招商、新城控股、金地纷纷下滑,Wind
262,2021-10-28,新城控股前三季度净利58.84亿 同比增长24.24％,观点地产网
263,2021-10-28,新城控股前三季度营收约1091亿，归属股东净利润近59亿,新京报
264,2021-10-28,新城控股:前9月归母净利1091亿元 同比增55.69%,金融界
265,2021-10-28,新城控股:富域发展质押4700万股股份用于偿还前期债务,金融界
266,2021-10-28,财面儿丨新城控股前三季度营业收入1091亿元，同比增长55.69%,财经网
267,2021-10-28,新城控股前三季度营业收入1091.22亿元，同比升55.69%,乐居财经
