,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
2204,2020-02-13,截至2月13日AH股共计1只股票股价倒挂,Wind
2205,2020-02-13,中国交建(601800.SH)：齐晓飞辞任非执行董事 董监高成员变化,格隆汇
2206,2020-02-13,中国交建：非执行董事齐晓飞辞职 董监高成员变化,Wind
2207,2020-02-13,A股市场破净股一览（2月13日）,Wind
2208,2020-02-13,天风证券：从全年来看疫情对建筑行业影响有限,第一财经
2209,2020-02-12,截至2月12日AH股共计1只股票股价倒挂,Wind
2210,2020-02-12,A股市场破净股一览（2月12日）,Wind
2211,2020-02-12,401只股破净银行板块破净率最高,证券时报网
2212,2020-02-11,中国交建：为境外子公司拟发行次级永续债提供15亿美元担保 大额借贷担保,Wind
2213,2020-02-11,中国交建：为境外附属公司15亿美元境外债券融资提供全额担保 大额借贷担保,乐居财经
2214,2020-02-11,中国交建：境外子公司拟发行美元次级永续证券,格隆汇
2215,2020-02-11,中国交建(01800.HK)为境外附属发行不超过15亿美元债券提供担保 大额借贷担保,格隆汇
2216,2020-02-11,中国交建：拟进行建议证券发行,中国网
2217,2020-02-11,穆迪：授予中国交建拟发行次级永续证券“Baa1”评级,Wind
2218,2020-02-11,截至2月11日AH股共计1只股票股价倒挂,Wind
2219,2020-02-11,A股市场破净股一览（2月11日）,Wind
2220,2020-02-10,截至2月10日AH股共计1只股票股价倒挂,Wind
2221,2020-02-10,两市破净股数量达403只（附股）,证券时报网
2222,2020-02-10,【华创·周知道】没有一个春天不会来临（20200210）,华创证券研究
2223,2020-02-09,国盛策略：继续强调科技成长是阶段性主线,Wind
2224,2020-02-09,16只宅经济股春节后获机构评级 7只获两大活跃资金加仓,金融界
2225,2020-02-09,华泰研究 | 复工专题（二）：周期研判,华泰证券研究所
2226,2020-02-07,截至2月7日AH股共计1只股票股价倒挂,Wind
2227,2020-02-07,A股市场破净股一览（2月7日）,Wind
2228,2020-02-07,宅经济概念股最强名单，机构火速推荐，7股获两大活跃资金加仓,证券时报网
2229,2020-02-06,439只股破净房地产公用事业最为集中,证券时报网
2230,2020-02-06,截至2月6日AH股共计1只股票股价倒挂,Wind
2231,2020-02-06,[互动]中国交建：各地复工时间均推迟 一季度业绩或受影响,全景网
2232,2020-02-06,中国交建：若后续疫情得到有效控制 对全年业绩影响有限,e公司
2233,2020-02-06,【华泰建筑鲍荣富】四川路桥公告点评：控股股东要约收购彰显对未来信心,华泰建筑建材研究
2234,2020-02-05,463只股破净房地产公用事业最为集中,证券时报网
2235,2020-02-05,截至2月5日AH股共计1只股票股价倒挂,Wind
2236,2020-02-05,建筑装饰行业报告：疫情如何影响工程建设？,格隆汇
2237,2020-02-05,七大建筑央企3天捐款17100万！,一带一路高参
2238,2020-02-05,中国交建：根据H股回购方案和决策程序，目前回购条件均已具备,Wind
2239,2020-02-04,483只股破净房地产公用事业最为集中,证券时报网
2240,2020-02-04,A股市场破净股一览（2月4日）,Wind
2241,2020-02-04,安信证券：建筑行业疫情“危”“机”并存，政策加码值得期待,证券时报网
2242,2020-02-03,截至2月3日AH股共计1只股票股价倒挂,Wind
2243,2020-02-03,454只个股创5178点以来新低,证券时报网
2244,2020-01-31,中央企业持续捐款17亿元用于疫情防控 并设立20亿元专项保障资金,中证报
2245,2020-01-30,央企捐17亿用于疫情防控 设立20亿元专项保障资金,新浪
2246,2020-01-23,A股市场破净股一览（1月23日）,Wind
2247,2020-01-23,360只股破净9股股价不足每股净资产一半,证券时报网
2248,2020-01-22,公募基金去年四季度调仓忙：重仓金融、食品饮料、医药、电子,澎湃新闻
2249,2020-01-22,A股市场破净股一览（1月22日）,Wind
2250,2020-01-22,两市破净股数量达323只（附股）,证券时报网
2251,2020-01-21,A股市场破净股一览（1月21日）,Wind
2252,2020-01-20,两市破净股数量达305只（附股）,证券时报网
2253,2020-01-20,A股市场破净股一览（1月20日）,Wind
2254,2020-01-20,激发创新活力 上市公司提质增效跑出“加速度”,中证报
2255,2020-01-19,"国盛策略：为何近期缺乏主线？ 周期有待""拨乱反正""",金融界
2256,2020-01-18,巨丰原创：央行改革成今年重头戏 分拆上市望成新亮点,巨丰财经
2257,2020-01-17,解密主力资金出逃股连续5日净流出670股,证券时报网
2258,2020-01-17,截至1月17日AH股共计1只股票股价倒挂,Wind
2259,2020-01-17,313只股破净银行板块破净率最高,证券时报网
2260,2020-01-17,A股市场破净股一览（1月17日）,Wind
2261,2020-01-17,【权益变动】中国交建(01800-HK)被贝莱德减持1446.3万股 减持股份,财华社
2262,2020-01-17,基建存在哪些机遇？,Wind
2263,2020-01-16,A股市场破净股一览（1月16日）,Wind
2264,2020-01-15,中国交建3.6亿挂牌湖北咸宁甘鲁村项目公司100%股权及债权,观点地产网
2265,2020-01-15,科伦坡港口城项目发布首份社会责任报告,中国交建
2266,2020-01-15,解密主力资金出逃股连续5日净流出497股,证券时报网
2267,2020-01-15,A股市场破净股一览（1月15日）,Wind
2268,2020-01-15,中国交建：拟与中交地产共同出资成立中交华创地产(苏州),中国网
2269,2020-01-15,中国交建：拟收购德运控股（香港）60%股权,中国网
2270,2020-01-14,中国交建：拟向广发银行申请不超260亿元综合授信额度,乐居财经
2271,2020-01-14,中国交建：为境外附属公司15亿美元境外债券融资提供担保 大额借贷担保,乐居财经
2272,2020-01-14,中国交建(601800.SH)附属拟与中交地产共同出资8亿元设立苏州地产公司,格隆汇
2273,2020-01-14,中国交建(601800.SH)附属拟8.4亿元收购中房(天津)房地产30%股权,格隆汇
2274,2020-01-14,中国交建：8.4亿元收购中房天津项目30%股权 拟共同开发天津项目,中国网
2275,2020-01-14,中国交建(01800.HK)附属拟3.2亿元与中交地产设立苏州项目公司,格隆汇
2276,2020-01-14,中国交建(01800.HK)附属拟8.4亿元收购中房(天津)房地产30%股权,格隆汇
2277,2020-01-14,中国交建：为附属公司发行美元债提供不超15亿美元担保 大额借贷担保,Wind
2278,2020-01-14,中国交建(01800.HK)将为附属发行不超15亿美元永续债券提供担保 大额借贷担保,格隆汇
2279,2020-01-14,284只股破净房地产银行最为集中,证券时报网
2280,2020-01-14,解密主力资金出逃股连续5日净流出460股,证券时报网
2281,2020-01-14,A股市场破净股一览（1月14日）,Wind
2282,2020-01-14,281只股破净 房地产银行最为集中,证券时报
2283,2020-01-13,解密主力资金出逃股连续5日净流出410股,证券时报网
2284,2020-01-13,A股市场破净股一览（1月13日）,Wind
2285,2020-01-12,国盛策略：做多窗口继续 继续看多周期核心资产,金融界
2286,2020-01-12,【国盛建筑】周观点：专项债发行大幅增长，继续推荐建筑蓝筹与钢构龙头,微信
2287,2020-01-11,中交集团表彰“一带一路”全球建设者,中国交建
2288,2020-01-11,国家科技奖揭晓 一大批A股公司斩获多项殊荣,上证报
2289,2020-01-10,国家科学技术奖上市公司最全榜单：你pick哪一个？,中证报
2290,2020-01-10,国家级科技大奖揭晓，获奖上市公司密集公布喜讯！这些板块和个股要火（名单）,每日经济新闻
2291,2020-01-10,2019年度国家科学技术奖结果出炉：阿里巴巴、华为在列,IT之家
2292,2020-01-10,花旗：内地宽松政策利好华能国际(00902)及东方航空(00670)等,智通财经
2293,2020-01-10,A股市场破净股一览（1月10日）,Wind
2294,2020-01-10,中交三航施工项目发生安全事故 江苏省内被禁止承揽新工程 项目问题,中国网
2295,2020-01-10,33只股遭北向资金减仓超30%,证券时报网
2296,2020-01-09,【国盛策略】全球估值比较：哪些周期核心资产被低估？,尧望后势
2297,2020-01-09,刘起涛会见北京顺义区委书记高朋,中国交建
2298,2020-01-08,A股市场破净股一览（1月8日）,Wind
2299,2020-01-07,注意：北上资金风格突变 出逃网红热门股加仓中字头,红周刊
2300,2020-01-07,硬岩段上凿风井,中国交建
2301,2020-01-07,宋海良会见马来西亚铁路衔接公司董事会主席丹斯里伊斯迈,中国交建
2302,2020-01-07,绿城中国跨入2000亿阵营，老宋笑了！“嫁女养儿”，老宋在操心什么？,新浪
2303,2020-01-07,A股市场破净股一览（1月7日）,Wind
2304,2020-01-07,两市破净股数量达277只（附股）,证券时报网
2305,2020-01-06,2019年中国建筑行业市场竞争格局分析 特、一级资质企业对行业发展贡献明显,前瞻研究院
2306,2020-01-06,1月6日午后两市机构大单抛盘40股(名单),金融界
2307,2020-01-05,国盛策略：做多窗口继续 战略看多周期核心资产,金融界
2308,2020-01-03,齐心集团：办公业务高增长深入布局云视频服务,证券时报网
2309,2020-01-03,A股市场破净股一览（1月3日）,Wind
2310,2020-01-02,【华创建筑建材】提前批专项债基建额度增加，资金面改善有望修复板块估值,华创建筑建材研究
2311,2020-01-02,A股市场破净股一览（1月2日）,Wind
2312,2020-01-02,邮政集团公司入选交通强国建设试点单位,亿邦动力
2313,2020-01-02,说明本次关联交易的必要性？海源复材回复深交所关注函 关注函,资本邦
2314,2020-01-02,中字头集体走高 中国建筑涨3%,证券时报网
2315,2020-01-02,中字头集体上攻，中国交建、中国建筑涨超3%,Wind
2316,2020-01-02,银河证券：建筑业估值处于历史低位，具有较强的安全边际,证券时报网
2317,2020-01-01,主力资金：这个板块主力资金大幅买入 尾盘资金突袭中字头股,金融界
2318,2019-12-31,科技龙头争当C位 2020年看两大板块 六股热,证券时报
2319,2019-12-31,中国交建：中交集团入选“交通强国建设试点单位”,--
2320,2019-12-31,A股翻身仗！市值飙升逾12万亿，户均赚7.2万，科技龙头争当C位，2020年最大机会看两大板块,e公司
2321,2019-12-31,2019年已经为2020年的起航做好了铺垫,金融界
2322,2019-12-30,宋海良会见新疆交通运输厅领导,中国交建
2323,2019-12-30,313只股破净房地产公用事业最为集中,证券时报网
2324,2019-12-30,今日493只个股突破五日均线,证券时报网
2325,2019-12-30,大爆发前夜！利好太多 它即将起飞？（附股）| 今日解盘,搜狐
2326,2019-12-30,372只股短线走稳站上五日均线,证券时报网
2327,2019-12-30,一文带你看懂中国建筑业竞争格局- 特、一级资质建筑业企业对行业发展的贡献明显【十张图】,前瞻研究院
2328,2019-12-29,国盛策略：消费白马估值迎“拨乱反正” 修复空间大,金融界
2329,2019-12-29,【华创建筑建材】建筑行业周观点：专项债做资本金项目再落地，铁路及收费公路为主要领域,华创建筑建材研究
2330,2019-12-27,中国交建(01800.HK)认购约10.14亿元永续资本证券,格隆汇
2331,2019-12-27,中国交建(601800.SH)：基金公司拟出资50万元共同设立中交北斗天璇基金,格隆汇
2332,2019-12-27,中国交建(601800.SH)拟向中交天和增资10亿元,格隆汇
2333,2019-12-27,中国交建(01800.HK)拟向中交天和增资10亿元,格隆汇
2334,2019-12-27,中国交建(01800.HK)附属拟出资3394.18万元设立项目公司中交(楚雄)水务投资,格隆汇
2335,2019-12-27,公司召开总部机构设置调整情况说明会,中国交建
2336,2019-12-27,320只股破净银行板块破净率最高,证券时报网
2337,2019-12-26,莫桑比克总统纽西出席MM公路主体工程竣工典礼,中国交建
2338,2019-12-26,319只股破净房地产公用事业最为集中,证券时报网
