188,2021-10-21,A股共发生116宗大宗交易成交21.83亿元（10月21日）,Wind
189,2021-10-21,王健：服务实体经济是金融行业的本源初心,新华网
190,2021-10-21,"北京银行现2笔大宗交易 共成交18,912.60万元",新浪
191,2021-10-21,债市风云｜上海电气涉重大诉讼 朗诗集团评级展望调整为负面 诉讼纠纷,中新经纬
192,2021-10-21,北京银行：强化金融创新引领 打造高质量发展引擎,中国金融新闻网
193,2021-10-21,北京银行今日大宗交易成交4740万股，成交价3.99元折价10.74%,Wind
194,2021-10-21,北京银行王健：积极探索机制、模式、技术和组织等四方面的创新,21世纪经济报道
195,2021-10-21,北京银行副行长王健：商业银行应积极探索四个方面创新,新浪
196,2021-10-21,北京银行创新开展“金融知识普及月 金融知识进万家 争做理性投资者 争做金融好网民”活动,中国网
197,2021-10-21,A股融资融券日报：两融余额增加49.12亿元（10月20日）,Wind
198,2021-10-20,北京银行杭州分行以企业开户流程“减法”换服务“加法”,极客网
199,2021-10-20,金融赋能 真诚相伴 北京银行全面战略支持2021金融街论坛年会,财经网
200,2021-10-20,北京银行党委书记、董事长张东宁：夯实企业文化底蕴 全力打造百年银行,中国网
201,2021-10-20,北京银行成功完成400亿元无固定期限资本债券簿记发行 进一步提升资本实力和市场影响力,极客网
202,2021-10-20,北京银行七大特色举措提升“适老化”金融服务水平,极客网
203,2021-10-20,北京银行专注服务中小企业 持续打造普惠金融领先银行,极客网
204,2021-10-19,北京银行：400亿元无固定期限资本债券发行完成,中证网
205,2021-10-19,北京银行：完成发行400亿元无固定期限资本债券,财联社
206,2021-10-19,北京银行3项违规被罚820万元 金融监管处罚,中国消费网
207,2021-10-19,北京银行上海分行创客中心再升级 牵手园区赋能更多企业,凤凰网
208,2021-10-18,金融创新助“稳”“保”深圳北京银行开展“稳企业保就业”专项行动,深圳新闻网
209,2021-10-18,首次认定19家全国系统重要性银行，江苏只有江苏银行入选,深水财经社
210,2021-10-17,银行行业周报：社融回升可期 D-SIBS名单发布,新浪
211,2021-10-16,央行、银保监会重磅发布！我国系统重要性银行名单出炉，有何影响？,Wind
212,2021-10-15,30家参评，19家入选！首批国内系统重要性银行名单出炉,经济观察网
213,2021-10-15,央行、银保监会联合发文，系统重要性银行附加监管规定来了,Wind
214,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
215,2021-10-15,三万亿城商行首发永续债 拟募资400亿元补充一级资本,和讯
216,2021-10-15,重磅！央行、银保监会发布我国系统重要性银行名单,Wind
217,2021-10-14,"北京银行现2笔大宗交易 共成交18,920.00万元",新浪
218,2021-10-14,北京银行今日大宗交易成交4730万股，成交价4.0元折价9.3%,Wind
219,2021-10-14,“我为群众办实事，金融普及惠重阳”北京银行开启“适老金融”服务新篇章,中国金融新闻网
