185,2021-09-02,上海临港新片区：积极试点5G、物联网等新技术在工程建设领域的应用,Wind
186,2021-09-02,上海临港新片区：积极试点5G、物联网等新技术在工程建设领域的应用,e公司
187,2021-09-02,上海临港新片区：探索绿色金融支持绿色建筑的实施模式,e公司
188,2021-09-02,无锡振华：公司在上海临港设立的全资子公司已经成为特斯拉、智己汽车的供应商，主要为其新能源汽车提供车身分拼总成零部件,每日经济新闻
189,2021-09-01,上海医药(601607)2021年中报点评：业绩超出预期 创新药管线加速扩张,新浪
190,2021-08-27,上海临港上半年营收净利润双增长 逐步向投招联动转型,上证报
191,2021-08-27,聚焦主业显成效 上海临港中报营利双增,发布易
192,2021-08-26,上海临港(600848.SH)拟向专业投资者公开发行公司债券 规模不超30亿元,智通财经
193,2021-08-26,上海临港：上半年营收增长61.58%至34.17亿元丨中报快讯,乐居财经
194,2021-08-26,晚间重要公告2021年8月26日星期四,Wind
195,2021-08-26,上海临港(600848.SH)拟公开发行绿色公司债券不超10亿元,智通财经
196,2021-08-26,上海临港公布半年报 上半年净利增加25.75%,新浪
197,2021-08-26,上海临港半年净利约10亿元 同比增长25.75%,观点地产网
198,2021-08-26,上海临港2021年上半年实现净利润11.50亿元，同比增长24.78%,经济观察网
199,2021-08-26,上海临港：拟发行不超30亿元人民币公司债,每日经济新闻
200,2021-08-26,上海临港：拟发行10亿元公司债,每日经济新闻
201,2021-08-26,上海临港：2021年半年度净利润约10亿元，同比增加25.75%,每日经济新闻
202,2021-08-26,上海临港(600848.SH)半年度净利润10亿元 同比增长25.75%,格隆汇
203,2021-08-26,上海临港半年报：上半年净利10亿元 同比增26%,财联社
204,2021-08-26,上海临港：上半年净利润同比增长25.75%,Wind
205,2021-08-24,论执着于硬核科技的上海——兼论硬核科技创新的作用,Wind
206,2021-08-23,泰格医药：下属投资平台拟参与投资上海临港生命蓝湾基金,Wind
207,2021-08-23,泰格医药：下属投资平台拟参与投资上海临港生命蓝湾基金,财联社
208,2021-08-22,临港新片区两周年 上海临港跑出加速度,上证报
209,2021-08-21,上海南港迎首批特斯拉外贸滚装汽车整船出口,Wind
210,2021-08-21,20亿豪赌“危废”：丛麟环保成色几何？,新浪
211,2021-08-20,到2025年上海临港集成电路产业 规模将突破1000亿元,中国电子报
212,2021-08-19,宁德时代落户上海临港 特斯拉成本有望继续下降,第一财经
213,2021-08-18,临港新片区打造世界级前沿产业集群 上海临港乘势发力,上证报
214,2021-08-17,上海自动驾驶公交车开启载人运营，全程8.5公里可预约体验,澎湃新闻
215,2021-08-17,上海临港环湖一路智能网联及自动驾驶公交载人示范应用今日启动,e公司
216,2021-08-17,上海临港：预计2021年工业总产值和生产性服务业营收突破3000亿元,中证网
217,2021-08-17,上海临港：集成电路全产业链布局总投资超过1500亿元,中证网
218,2021-08-13,A股8月13日地产股开盘：上海临港涨1.85%,乐居财经
219,2021-08-12,上海临港“十四五”规划来了！到2025年形成3个千亿级产业集群,中证报
220,2021-08-12,上海临港：加大住房供应力度，5年内新增各类住房约20万套,澎湃新闻
221,2021-08-12,上海临港：培育形成智能新能源汽车、集成电路、高端装备制造3个千亿级产业集群,乐居财经
222,2021-08-12,上海临港：探索在若干重点领域率先实现突破的政策和制度支持,财联社
223,2021-08-11,上海临港：临港投资拟出资1.5 亿元，认购申创基金出资总额的 3.882%,乐居财经
224,2021-08-11,上海临港(600848.SH)：拟出资1.5亿元认购申创产城基金,格隆汇
225,2021-08-10,论上海在区域产业发展中组织作用——长三角“富邻居”现象一个解读视角,Wind
226,2021-08-10,上海临港股价涨5.7% 现报16.06元,乐居财经
227,2021-08-10,让项目实现拿地即开工，上海临港试点施工临电“即插即用”,澎湃新闻
228,2021-08-09,上海临港(600848.SH)完成兑付2021年度第三期超短期融资券本息共计10.09亿元,智通财经
229,2021-08-06,上海临港：完成兑付10亿元超短期融资券，利率2.78%,乐居财经
230,2021-08-05,上海临港(600848.SH)完成发行10亿元2021年度第六期超短期融资券,智通财经
231,2021-08-05,上海临港(600848.SH)：成功发行10亿元超短融,格隆汇
232,2021-08-02,上海临港10亿元融资券发行完成，票面利率2.56%,乐居财经
233,2021-08-02,上海临港拟发行10亿元超短期融资券，申购区间2.26%-2.56%,乐居财经
234,2021-08-02,陆家嘴(600663)21H1：聚焦浦东金色中环发展 多维业务释放潜在价值,新浪
