,2021-12-31,中国电信携手中国信通院 深耕城市发展、产业升级和网信安全领域,--
122,2021-12-20,华为经典手机品牌被运营商接手！新机已发布：卖2299,快科技
123,2021-12-20,三大运营商最新5G用户数公布：联通、移动差距拉大,和讯
124,2021-12-20,中国电信计划1月择机推动5G消息商用，方案正在制定中,澎湃新闻
125,2021-12-20,刚刚！中国电信发布重要公告,每日经济新闻
126,2021-12-20,三大运营商11月份运营数据出炉,IT之家
127,2021-12-20,中国电信荣获“亚洲最佳公司 - 企业管治典范”,美通社
128,2021-12-20,中国电信11月5G套餐用户净增1027万户，连续两月净增破千万,C114通信网
129,2021-12-20,警惕！国家卫健委：西安-东莞关联疫情续发传播风险较高,证券时报
130,2021-12-20,中国电信11月净增用户70万户,Bianews
131,2021-12-20,【港股通】中国电信(00728)11月5G套餐用户数为1.79亿户 月净增1027万户,和讯
132,2021-12-20,中国电信(00728.HK)：11月份5G套餐用户净增1027万户,格隆汇
133,2021-12-20,中国电信：董事会会议批准《关于外部审计师2021年度费用的议案》,Wind
134,2021-12-20,中国电信：11月5G套餐用户数为1.79亿户,金十数据
135,2021-12-20,中国电信：11月移动用户数为3.72亿户,金十数据
136,2021-12-20,中国电信：11月净增5G套餐用户数1027万户,Wind
137,2021-12-20,中国电信(601728.SH)：11月移动用户数3.719亿户,格隆汇
138,2021-12-20,数智化生活帷幕拉开，运营商如何抢占先机,C114通信网
139,2021-12-20,每经IPO周报第41期｜周过会率不到七成，禾迈股份网上弃购率创科创板新高 超两成北交所IPO在审企业终止审核 IPO融资异常,每日经济新闻
140,2021-12-20,共论安全实战化演进 2021合肥网络安全大会成功举办,Ofweek
141,2021-12-20,中国电信王朝夕：SD,C114通信网
142,2021-12-20,中国移动本周正式回“A”，市场能吃下这个年末的“巨无霸”么？,财经网
143,2021-12-20,上证早知道│A股近十年来最大规模IPO来了；证监会：对所谓“假外资”实施严格监管,上证报
144,2021-12-19,中国电信湖南公司携手华为完成MetaAAU商用验证，迈向泛在千兆网络时代,C114通信网
145,2021-12-19,打新必读|中国移动要申购，禾迈股份要上市，破发风险与盈利预期怎么看？,第一财经
146,2021-12-19,IDC 发布中国云运营服务市场排名：中国电信占比近 25%，排名第一,IT之家
147,2021-12-19,中国电信麦芒 10 预热：4000 万像素超感光摄像头，12月20日发布,IT之家
148,2021-12-19,中国电信王朝夕：SD-WAN需要提供一站式服务,C114通信网
149,2021-12-19,中国电信李斌：SD-WAN产品“易互联”具备六大特质,C114通信网
150,2021-12-17,第四届中国SD-WAN峰会在京圆满落幕,C114通信网
151,2021-12-17,中国电信：中国电信股份有限公司关于监事辞职及提名监事候选人的公告 董监高成员变化,新浪
152,2021-12-17,中国电信与上海人工智能实验室签署战略合作协议,Bianews
153,2021-12-17,国盾量子：中国电信正在推广使用“量子密话”服务，由公司提供核心量子安全技术,每日经济新闻
154,2021-12-17,中国电信(00728.HK)：提名韩芳和汪一兵担任股东代表监事职务,格隆汇
155,2021-12-17,中国电信：监事辞任及建议委任,Wind
156,2021-12-17,中国电信麦芒 10 官宣 12 月 20 日发布，支持 40W 超级快充,IT之家
157,2021-12-17,中国电信(601728.SH)提名韩芳、汪一兵为监事候选人,智通财经
158,2021-12-17,智度股份：目前暂未参与中国电信关于元宇宙的竞标,每日经济新闻
159,2021-12-17,智度股份：公司是中国电信IPTV全国核心代理商，是中国移动东京奥运会项目的广告代理商,每日经济新闻
160,2021-12-17,浩鲸科技：树立数字化自信，构建中国运营商特色的数字化升级之路,凤凰网
161,2021-12-17,中国电信自主品牌！麦芒10定档：12月20日见,快科技
162,2021-12-17,韦乐平：全光网需要迈向开放生态,C114通信网
163,2021-12-17,中国电信成立科学技术协会,C114通信网
164,2021-12-17,陕西15日确诊病例活动轨迹公布,健康陕西发布
165,2021-12-17,5G赋能 扬帆未来 | 5G“触”电迸发新动能，中国电信助电力行业智慧升级,凤凰网
166,2021-12-16,中国电信首届科技节启幕 促进云改数转融通创新,C114通信网
167,2021-12-16,西安、延安确诊病例活动轨迹公布,陕西发布
168,2021-12-16,中移动回归A股！募资560亿，下周打新，参与否？,中新网
169,2021-12-16,蔡进会见中国电信采供中心总经理邵新华一行,中国物流与采购网
170,2021-12-16,中国电信刘紫千：基础网络运营商是互联网治理的中坚力量,上证报
171,2021-12-16,运营商争推5G终端计划 有望加快5G应用爆发,C114通信网
172,2021-12-16,数字乡村让幸福生活触手可及,C114通信网
173,2021-12-16,5G新基建绿色发展政策落地 产业群亟须达成“双碳”共识,C114通信网
174,2021-12-16,乡村振兴 电信有“数”：乡村“智”理建设按下加速键,C114通信网
175,2021-12-16,“藏东明珠”昌都的数字之变——中国电信西藏公司“数智化”赋能昌都乡村振兴,C114通信网
176,2021-12-16,致力掌控关键核心技术 运营商强科技惠百业,C114通信网
177,2021-12-16,中移动来了？十年最大IPO，三大运营商齐聚A股到底该怎么看？,搜狐
178,2021-12-15,国网信通(600131.SH)：控股股东拟将所持4.77%股份无偿划转至中国电信投资 减持股份,格隆汇
179,2021-12-15,5G赋能 扬帆未来 | 赋能媒体数智化升级，中国电信5G+VR开创直播新模式,凤凰网
180,2021-12-15,中国移动披露IPO时间表 三大运营商A股会师在即,华夏时报
181,2021-12-15,国移动上市渐近 从三个维度看巨无霸回归,金融投资报
182,2021-12-15,中国电信低压密集型母线槽集采：天源华威、亿能电气、香江等5家企业入围,C114通信网
183,2021-12-15,注销账户不顺畅 中国电信旗下翼支付被中消协测评点名 业务变化,中国网
184,2021-12-15,释放数据经济潜能 推动传统产业改造提升,文汇报
185,2021-12-15,拟募资560亿！中国移动上市在即，A股会在年内高点迎接它吗？,搜狐
186,2021-12-15,中国移动A股上市拟融资才560亿真不算多 还不如农行和中石油,搜狐
187,2021-12-15,中国移动回A进入倒计时:重点发力5G建设 会否破发备受关注,财联社
188,2021-12-15,【国君通信|公司深度】映翰通：配网智能化改造赋能，工业物联网边界拓宽,微信
189,2021-12-14,你想做全球最大规模运营商的股东吗？中国移动A股本周确定发行价下周三申购,上观
190,2021-12-14,中国移动回来了！IPO申请获核准，下周开始申购,国际金融报
191,2021-12-14,奇安信中标中国电信服务器安全软件集采 再获运营商行业大单,金融界
192,2021-12-14,560亿元A股首发上会 中国移动将迎来“大考”,中国电子报
