122,2021-10-27,洋河股份(002304)：业绩符合预期 现金流表现亮眼,新浪
123,2021-10-26,【公司点评报告】晶瑞电材（300655.SZ）,点化成金
124,2021-10-26,【公司点评报告】利尔化学（002258.SZ）,点化成金
125,2021-10-22,占总股本46.38%股份迎来解禁，可有减持意向？长城证券处“变”不惊，百亿定增在途，大股东仍将加码 解禁,财联社
126,2021-10-21,券商ETF（512000）涨超1%，接连收复三道重要均线！中银证券：券商行业高景气和低估值错配,资本邦
127,2021-10-21,券商股直线拉升，中银证券：成交额缩水不改券商行业成长性,资本邦
128,2021-10-20,重要股东被指“清仓式”减持，股价年内跌幅超50%，中银证券澄清后仍疑问重重 减持股份,和讯
129,2021-10-20,【公司点评报告】万华化学（600309.SH）,点化成金
130,2021-10-19,券商行业周报(2021年第三十八期)：声誉风险管理正式落地 市场交投热情回落,新浪
131,2021-10-19,破发股宝明科技前3季预亏超亿元 IPO中银证券赚4700万 预亏,中国经济网
132,2021-10-19,"中银证券现1笔大宗交易 共成交1,937.60万元",新浪
133,2021-10-19,中银证券今日大宗交易成交160万股，成交价12.11元折价10.82%,Wind
134,2021-10-18,非银金融行业周报：券商结算模式基金规模突破1200亿,新浪
135,2021-10-18,中银证券：公司经营保持稳健，整体发展状况良好。2021年上半年，公司归母净利润达6.15亿元，同比增长7.88%,每日经济新闻
136,2021-10-18,大消费板块能否王者归来？新能源行情还有下半场？,Wind
137,2021-10-16,Wind风控日报2021年10月16日星期六,Wind
138,2021-10-16,上市公司正负面新闻2021年10月16日星期六,Wind
139,2021-10-15,【晚间公告抢先看】通策医疗：种植体集采是机遇并非危机！文山电力拟注入南方电网调峰调频发电公司,金融界
140,2021-10-15,中银证券(601696.SH)澄清：金融发展基金并非“清仓式”减持 减持股份,智通财经
141,2021-10-15,中银证券：股东上海金融发展投资基金并非“清仓式”减持 减持股份,每日经济新闻
142,2021-10-15,中银证券澄清：金融发展基金会长期持有公司股份,财联社
143,2021-10-15,中银证券：金融发展基金并非“清仓式”减持 减持股份,Wind
144,2021-10-15,“长假经济”彰显中国巨大内需潜力 借道中银证券内需增长混合基金掘金优质赛道,凤凰网
145,2021-10-15,“清仓式”减持误伤？中银证券盘中连受惊吓，近一年股价深度调整，各种减持成最大冲击 减持股份,财联社
146,2021-10-15,中银证券股价跌9.5% 云投集团近3个月减持套现4.58亿 减持股份,中国经济网
147,2021-10-15,快讯：中银证券跌停 报于13.34元,金融界
148,2021-10-15,金融发展基金：看好中银证券未来发展，拟“清仓式”减持系误,Wind
149,2021-10-15,证券板块走弱 中银证券跌近9%,e公司
150,2021-10-14,中银证券股东拟减持公司不超5.47%股份 拟减持股份,上证报
151,2021-10-14,云投集团套现中银证券4.58亿元，第三大股东拟减持不超过5.47%股份 拟减持股份,每日经济新闻
152,2021-10-14,注意！中银证券：股东计划减持公司股份 拟减持股份,每日经济新闻
153,2021-10-14,中银证券：持股5.47%股东上海金融发展投资基金拟清仓减持 拟减持股份,财联社
154,2021-10-14,中银证券：金融发展基金拟减持不超5.47%股份 拟减持股份,Wind
155,2021-10-14,又一家私募被罚！非法借用账户交易证券，还亏了3530万 金融监管处罚,中新经纬
156,2021-10-14,【公司点评报告】皇马科技（603181.SH）,点化成金
157,2021-10-13,"中银证券现1笔大宗交易 共成交2,325.62万元",新浪
158,2021-10-13,中银证券今日大宗交易成交174.99万股，成交价13.29元折价10.57%,Wind
159,2021-10-08,上半年营收缩水，重要股东减持！中银证券前9个月股价跌逾45% 减持股份,投资时报
160,2021-10-07,中银证券：股东云投集团减持2808万股公司股份 减持股份,每日经济新闻
161,2021-09-30,中银证券最新公告：云投集团已减持1.01%的股份,证券之星
162,2021-09-30,中银证券(601696.SH)股东云投集团减持比例达1.01% 减持时间过半 减持股份,智通财经
163,2021-09-30,中银证券：云投集团累计减持1.01%股份，减持时间过半 减持股份,Wind
164,2021-09-30,中银国际证券股份有限公司 2021年第三季度报告,证券日报
165,2021-09-30,中信建投证券股份有限公司关于中铁高铁电气装备股份有限公司首次公开发行股票 并在科创板上市战略投资者核查的专项核查报告,证券时报
166,2021-09-29,万顺新材：天风证券股份有限公司、中银国际证券股份有限公司等7家机构于9月28日调研我司,证券之星
167,2021-09-28,中银证券：原材料价格上涨的影响持续存在,证券时报网
168,2021-09-27,非银金融行业研究周报：债券“南向通”运行 央行明确虚拟货币属性,新浪
169,2021-09-27,中材国际：长江证券、中银证券等6家机构于9月23日调研我司,证券之星
170,2021-09-27,券商积极备战北交所 优质项目“争夺战”悄然打响,证券日报
171,2021-09-22,中银国际证券股份有限公司简式权益变动报告书,证券时报
172,2021-09-19,外资券商大动作！挖角知名研究大将，和“老同事”会师！,Wind
173,2021-09-17,川发龙蟒：兴业证券、中银证券等4家机构于9月17日调研我司,证券之星
174,2021-09-17,中银证券：云投集团已累计减持8846.8476万股 持股降至5%以下 减持股份,财联社
175,2021-09-17,中银证券(601696.SH)：云投集团已累计减持8846.8476万股 持股降至4.999998% 减持股份,格隆汇
176,2021-09-17,中银证券(601696.SH)股东云投集团累计减持8846.85万股 减持股份,智通财经
177,2021-09-17,利尔化学：中银证券、中信资管等2家机构于9月16日调研我司,证券之星
178,2021-09-13,北京君正跌12.08% 中银证券民生证券高点唱多,中国经济网
179,2021-09-13,鲁阳节能：中银证券、嘉实基金等9家机构于9月9日调研我司,证券之星
180,2021-09-09,IPO原始股东清仓卖，大资金在溢价买，券商股未来怎么走？,Wind
181,2021-09-07,中银证券徐高：下半年关注低估值周期股,上证报
182,2021-09-07,中银证券：股东云投集团7201.42万股股份解除质押,乐居财经
183,2021-09-07,行业老三半年净收入3.6亿！5500亿券商资管谋变，公募“偏科”怎么走？,华夏时报
184,2021-09-07,中银证券(601696.SH)主要股东云投集团解除质押7201.42万股,智通财经
185,2021-09-07,西麦食品：中银证券、大摩华鑫等36家机构于9月2日调研我司,证券之星
186,2021-09-06,森马服饰：中银证券股份有限公司、宝盈基金管理有限公司等12家机构于9月3日调研我司,证券之星
187,2021-09-02,中银证券上半年营收降3%ROE下降 员工薪酬总额降21% 盈利能力下降,中国经济网
188,2021-09-02,中银证券汇兴定开债增聘基金经理王玉玺 年内上涨4.45%,中国经济网
189,2021-09-01,中银证券(601696.SH)股东云投集团减持1500.12万股 减持数量过半 减持股份,智通财经
190,2021-09-01,中银证券：云投集团持有公司股份比例将从6.18%减少至5.18%,Wind
191,2021-09-01,中银证券：云投集团减持约1500万股 减持股份,每日经济新闻
192,2021-09-01,中银证券：云投集团自合计减持公司0.54%股份,Wind
193,2021-09-01,派林生物：中信证券、中银证券等42家机构于8月29日调研我司,证券之星
194,2021-08-31,中银证券(601696.SH)：王宇取得独立董事资格证书,智通财经
195,2021-08-30,中银证券2021年上半年实现净利润6.16亿元，同比小幅增长7.90%,经济观察网
196,2021-08-27,中银证券(601696.SH)：上半年净利增7.88%至6.15亿元,格隆汇
197,2021-08-27,中银证券：上半年净利润同比增长7.88%,Wind
198,2021-08-27,中银证券上半年净利润6.15亿元 同比增长7.88%,证券时报网
199,2021-08-27,中银证券：金融发展基金已减持4%公司股份 减持股份,Wind
200,2021-08-27,中银证券：公司董事辞职,Wind
201,2021-08-27,限购潮起，逾3000只基金“闭门谢客”,Wind
202,2021-08-25,深圳瑞捷：中金资管、中银证券资管等52家机构于8月24日调研我司,证券之星
203,2021-08-25,A股早报2021年8月25日星期三,Wind
204,2021-08-24,A股共发生129宗大宗交易成交28.71亿元（8月24日）,Wind
205,2021-08-24,透视大宗交易：8月24日共成交129笔，中银证券成交2.33亿元,每日经济新闻
206,2021-08-24,中银证券(601696.SH)：刘国强正式任职财务总监,智通财经
207,2021-08-23,晚间重要公告2021年8月23日星期一,Wind
208,2021-08-23,中银证券：股东金融发展基金减持2778万股 减持股份,每日经济新闻
209,2021-08-23,中银证券：金融发展基金减持3.39%,Wind
210,2021-08-23,中银证券：股东上海金融发展投资基金（有限合伙）减持比例达到1%,Wind
211,2021-08-23,非银金融行业周报：券商半年报业绩向好 财富管理赛道优秀个股表现亮眼,新浪
212,2021-08-18,中银证券今日大宗交易成交91万股，成交价13.93元折价12.83%,Wind
213,2021-08-18,中银证券收报15.98元涨6.1% 总市值443.9亿元,乐居财经
214,2021-08-18,中银证券股价涨5.6% 现报15.90元,乐居财经
215,2021-08-17,中银证券：向专业投资者公开发行公司债获批,中证网
216,2021-08-17,中银证券(601696.SH)向专业投资者公开发行公司债券获中国证监会注册批复,智通财经
217,2021-08-15,近期券商股增减持又频发，几家减持身影格外熟悉，大手笔增减持背后究竟是何考量 减持股份,财联社
218,2021-08-13,中银证券助力苏州农发集团获批全国首批乡村振兴公司债 服务乡村振兴国家战略,中证网
219,2021-08-11,中银证券(601696.SH)每股派发现金红利0.096元,智通财经
220,2021-08-05,天泽信息：持股5%以上股东部分质押股份被违约处置的风险,Wind
221,2021-08-05,天泽信息(300209.SZ)：中银证券对中住集团所持15.46万股进行违约处置 违约失信,格隆汇
222,2021-08-05,天泽信息(300209.SZ)股东中住集团15.46万股质押股份被违约处置 违约失信,智通财经
223,2021-08-01,化工行业周报【20210801】,点化成金
224,2021-07-30,券商板块走低 中银证券跌近8%,格隆汇
225,2021-07-29,中油资本：暂无减持中银证券股份的安排,每日经济新闻
226,2021-07-29,中银证券现1笔大宗交易 共成交280.60万元,新浪
227,2021-07-29,中银证券今日大宗交易成交20万股，成交价14.03元折价8.0%,Wind
228,2021-07-27,中银证券：股东云投集团减持不存在违反相关法律法规的情形 减持股份,Wind
229,2021-07-26,7月26日四家公司公告出现利空:中银证券股东拟减持不超2.5%公司股份,证券之星
230,2021-07-24,证券业新局：投顾反超经纪人成第一大岗位,Wind
231,2021-07-24,上市公司正负面新闻2021年7月24日星期六,Wind
232,2021-07-24,中银国际证券股份有限公司持股5%以上股东减持股份计划公 拟减持股份,证券时报
233,2021-07-23,晚间重要公告2021年7月23日星期五,Wind
234,2021-07-23,晚间公告｜7月23日这些公告有看头,第一财经
235,2021-07-23,7月23日中银证券等4家公司公告出现利空,证券之星
236,2021-07-23,注意！中银证券：股东云投集团计划减持不超过6945万股 拟减持股份,每日经济新闻
237,2021-07-23,中银证券(601696.SH)：持股5.72%股东云投集团拟减持不超2.5%股份 拟减持股份,格隆汇
238,2021-07-23,中银证券：云投集团拟减持不超过2.5%公司股份 拟减持股份,Wind
239,2021-07-21,中银证券业绩低迷，两股东3个月密集套现超20亿元 减持股份,电鳗快报
240,2021-07-20,年薪100万！券商大手笔招聘一类人，又一蓝海来了,Wind
241,2021-07-20,云投集团减持6840万股中银证券股份 减持股份,和讯
242,2021-07-19,中银证券股价暴跌原因是啥？近几个月遭遇两名股东套现近20亿元 连续下跌,每日经济新闻
243,2021-07-19,券商科创板跟投浮盈近240亿 东方证券连续增资东证创投达14亿,每日经济新闻
244,2021-07-19,中银证券：云投集团减持计划完成，减持约6840万股,每日经济新闻
245,2021-07-19,中银证券(601696.SH)股东云投集团减持6840.09万股 减持期满 减持股份,智通财经
246,2021-07-19,中银证券：股东云投集团累计减持2.46%股份 减持股份,Wind
247,2021-07-19,券商股早盘持续下行，国盛金控跌超8%，中银证券跌逾6%，华鑫股份、西部证券,新浪
248,2021-07-19,A股早报2021年7月19日星期一,Wind
249,2021-07-17,上市公司正负面新闻2021年7月17日星期六,Wind
250,2021-07-17,中国焦点面对面：人民币一年对美元升值10%，对经济利空还是利好？,中新网
251,2021-07-16,晚间重要公告2021年7月16日星期五,Wind
252,2021-07-16,A股共发生133宗大宗交易成交35.24亿元（7月16日）,Wind
253,2021-07-16,中银证券现5.97亿元大宗交易,e公司
254,2021-07-16,"中银证券现1笔大宗交易 共成交59,735.76万元",新浪
255,2021-07-16,透视大宗交易：7月16日共成交133笔，中银证券成交5.97亿元,每日经济新闻
256,2021-07-16,中银证券：股东金融发展基金减持公司股份3844万股 减持股份,每日经济新闻
257,2021-07-16,中银证券(601696.SH)：金融发展基金减持1.38%股份,格隆汇
258,2021-07-16,中银证券(601696.SH)股东金融发展基金合计减持比例达1.38% 减持股份,智通财经
259,2021-07-16,中银证券：上海金融发展投资基金（有限合伙）大宗交易减持1.38%公司股份,Wind
260,2021-07-16,中银证券今日大宗交易成交3844万股，成交价15.54元折价10.59%,Wind
261,2021-07-15,券商科创板跟投浮盈近240亿，加码另类投资子公司资本金屡见不鲜，东方证券7月来增资东证创投14亿！,每日经济新闻
262,2021-07-13,中银证券金融周期专场线上策略会：看多低估值周期股,上证报
263,2021-07-13,基金投顾大扩容：第二批试点单位已达34家,新浪
264,2021-07-08,中银国际证券股份有限公司、中信证券股份有限公司 关于正元地理信息集团股份有限公司 首次公开发行股票并在科创板上市之战略投资者专项核查报告,证券日报
265,2021-07-07,【半导体】半导体行业周报—中报业绩全线高增长助力半导体板块站上新起点，缺芯叠加进口替代将延续至2022年,中银证券研究
266,2021-07-07,【基金研究】中银量化因子周报（20210705）—小市值策略表现优秀，成长性因子拥挤度显着变强,中银证券研究
267,2021-07-05,中泰证券(上海)资管发新基 商园波2只同类产品涨幅不及同类平均,金融界
268,2021-07-03,又见10家券商获批！券业逾20%公司拥有基金投顾资格 未来打法有何变化？,券商中国
269,2021-07-02,喜提基金投顾业务试点资格 中银证券财富管理转型迈出坚实步伐,中证网
270,2021-07-02,又一批券商与基金喜大普奔：第二批15家券商15家基金获批基金投顾资格,财联社
271,2021-07-02,又一批券商与基金喜大普奔！第二批15家券商14家基金获批基金投顾资格，考验投与顾的同台竞技时代来了,财联社
272,2021-07-02,中银证券(601696.SH)：中国证监会对公司试点开展基金投资顾问业务无异议,智通财经
273,2021-07-02,中银证券：试点开展基金投资顾问业务收到中国证监会复函,财联社
274,2021-07-02,六月涨幅接近30%，昨日突现大幅回撤，半导体行情就此熄火？ （名单）,21世纪经济报道
275,2021-07-02,快讯：券商股早盘持续走低 中银证券跌近7%,新浪
276,2021-07-02,五日龙虎榜追踪 机构抢筹这51股,证券之星
277,2021-07-01,通合科技：控股股东所持合计777万股解除质押 占公司总股本比例4.83%,金融界
278,2021-07-01,牛市旗手集体回调，47只券商股收跌，如何看新生龙头中银证券跌停？多项利好集体遭无视 连续下跌,财联社
279,2021-07-01,中银证券龙虎榜数据（7月1日）,Wind
280,2021-07-01,跌停板解密：高位卖出，5只前期强势股封跌停！（7月1日）,Wind
281,2021-07-01,【行情】证券板块持续走弱，中银证券跌超6%，国盛金控、华林证券、财达证券跟跌,金十数据
282,2021-07-01,证券板块走弱，43只个股下跌，中银证券下跌6.07%,每日经济新闻
283,2021-07-01,快讯：证券板块走弱 中银证券跌超6%,新浪
284,2021-06-30,中银证券现1笔大宗交易 共成交215.88万元,新浪
285,2021-06-29,中银证券跌超5%，证券ETF（512880）净流入3.5亿元,资本邦
286,2021-06-29,机构看中这些股 近五日大手笔净买入,证券之星
287,2021-06-29,北向资金动向盘点：逢涨大额减持猪肉股,Wind
288,2021-06-28,4个交易日大涨超30%，中银证券拉得动券商股吗？东方财富、湘财证券、中银证券…谁能成为真正的“券茅”,财联社
289,2021-06-28,A股早报2021年6月28日星期一,Wind
290,2021-06-27,注意！这只产业链龙头股连续五周被北向资金扫货！,Wind
