,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
3571,2018-08-23,"工业富联:1H18收入稳定增长,成本上升影响利润增速",中证网
3572,2018-08-23,QFII加仓优质标的，新进资金偏好多元化,Wind
3573,2018-08-22,A股“独角兽”中期扫描：业绩分化严重 股价3家欢喜1家忧,金融投资报
3574,2018-08-22,夏普关闭工厂采用代工 日本制造跌落下神坛 经营问题,Ofweek
3575,2018-08-22,718家上市公司汇兑损失近7亿，企业外汇套保应对汇率波动,21世纪经济报道
3576,2018-08-22,1146份中报显示：逾七成公司净利增长,证券日报
3577,2018-08-21,QFII抱团取暖 岂料在这只股票上挨了套,每日经济新闻
3578,2018-08-21,耳机制造商万魔声学上位 共达电声二季度扭亏,e公司
3579,2018-08-21,"工业富联:通讯、云服务持续走强,工业互联网稳步推进",正点财经
3580,2018-08-21,助力中国芯片，这个巨头进军半导体产业，寻求由代工向自产的转变,维库电子市场
3581,2018-08-20,长沙银行有望成近两月顶格申购最容易中的新股,证券时报网
3582,2018-08-20,两只高中签率新股等你打！中签率有望排到年内前8，重点是新股平均盈利在提升,证券时报网
3583,2018-08-20,[推荐评级]机械行业周报：从能源安全和投资效率的角度 关注油服装备、5G产业链、铁路装备,中财网
3584,2018-08-20,蔚来被严重高估了,虎嗅网
3585,2018-08-18,日本科技巨头陨落：因背负400亿巨债，它卖掉了最核心的芯片业务,凤凰网
3586,2018-08-17,珠海市政府与富士康科技集团签署战略合作协议，将在半导体方面开展合作,Wind
3587,2018-08-17,重磅！富士康工业互联网喜提两大试点示范,苏南网
3588,2018-08-17,QFII二季度持股新动向：新进增持30股,证券时报
3589,2018-08-17,巨头争霸工业互联网平台 富士康BEACON如何出道？,21世纪经济报道
3590,2018-08-16,[增持-A评级]工业富联(601138)中报点评：通讯、云服务持续走强 工业互联网稳步推进,中财网
3591,2018-08-16,让苹果低头，是工业富联“第三次进化”的序幕？,阿尔法工场
3592,2018-08-16,83只次新股“破发” 5成业绩变脸 连续下跌,长江商报
3593,2018-08-15,工业富联的“毛利率困境”：代工模式亟需转型,搜狐
3594,2018-08-15,今年的iPhone竟然都是国产！这家企业真厉害,腾讯网
3595,2018-08-15,333亿资金恐慌逃离 五类股遭主力机构抛,证券之星
3596,2018-08-15,褪去独角兽外衣的工业富联：两个月市值蒸发2100亿 连续下跌,搜狐
3597,2018-08-15,富士康与随锐合作，共同开拓工业互联网云服务领域,砍柴网
3598,2018-08-15,工业富联：独角兽变形记,腾讯网
3599,2018-08-15,大参考：香港特首将出席粤港澳大湾区建设领导小组首次会议,巨丰财经
3600,2018-08-15,三大数据解密外资新动向 QFII二季度增仓21只个股,证券日报
3601,2018-08-14,从“一颗苹果”到“一片果园” 河南年产3亿部手机,中新网
3602,2018-08-14,工业富联上半年人力成本降低超一成 “机器人换人”立功？,每日经济新闻
3603,2018-08-14,工业富联半年报：净利润54.44亿元 工业互联网领域稳步前进,通信产业网
3604,2018-08-14,富士康发布二季度财报：净利润创下五年来最低点,新京报
3605,2018-08-14,中金：工业富联上半年毛利率因汇率冲击而承压,国际金融报
3606,2018-08-14,外媒爆富士康量产新iPhone 苹果良心发现降低售价？,腾讯网
3607,2018-08-14,工业富联首份半年报：净利润54.44亿元 人力成本出现下降,经济观察网
3608,2018-08-14,富邦证券：今秋三款新iPhone全由富士康与和硕代工,TechWeb
3609,2018-08-14,工业富联：多产品线齐头并进 “先进制造+工业互联网”典范企业,平安证券
3610,2018-08-14,工业富联上半年千亿营收稳增长 研发持续高投入,证券日报
3611,2018-08-14,工业富联上半年净利增长2.24%,中证报
3612,2018-08-13,工业富联净利微增2.24% 人工成本降一成,第一财经
3613,2018-08-13,股价濒临破发，外资大举买入被套！富士康上半年成绩单：净利润仅增长2%,中国基金报
3614,2018-08-13,伤心独角兽工业富联破发，净利增速低至2.24% 连续下跌,21世纪经济报道
3615,2018-08-13,富士康17亿不投鹤壁投武汉 上半年营收1589亿元,新浪
3616,2018-08-13,沪深上市公司18年8月13日晚间上市公司重要公告,全景网
3617,2018-08-13,13日公告精选：工业富联上市后首份半年出炉，上半年净利54.44亿,和讯
3618,2018-08-13,公告精选：工业富联发布上市后首份半年报 ST长生控股股东19.51%股份被冻结 股权冻结,e公司
3619,2018-08-13,一线|工业富联半年报：总收入达1590亿 净利仅54.44亿,腾讯网
3620,2018-08-13,工业富联半年报：净利润54.4亿元 同比增长2.24％,金融界
3621,2018-08-13,工业富联:拟开展不超过100亿元的衍生性商品交易业务,新浪
3622,2018-08-13,工业富联：推进工业互联网应用改造 上半年人力成本同比降12%,e公司
3623,2018-08-13,工业富联上市后首份半年报：上半年净利54.44亿元 同比增2%,e公司
3624,2018-08-13,"工业富联上半年营业总收入1,589.94亿元，同比增长16.29%",金融界
3625,2018-08-13,工业富联：上半年净利润54.44亿元，同比增2.24%,Wind
3626,2018-08-13,"富士康需要控制夏普的制造成本,未来富士康加快夏普的战略转型",维库电子市场
3627,2018-08-13,"苹果iPhoneX大卖,所以实习生加班加点一天干11小时?",搜狐
3628,2018-08-10,夏普逐步停止日本制造源于富士康推进的战略转型,腾讯网
3629,2018-08-10,Skyworks将以4.05亿美元收购ASoC芯片厂商Avnera,SEMI
3630,2018-08-09,光环褪去股价暴跌，这些独角兽公司变成了毒角兽,搜狐
3631,2018-08-09,跌破发行价的“毒角兽”，谁该背这样的“黑锅”？,搜狐
3632,2018-08-09,“独角兽”们遭重挫：工业富联缩水超2000亿逼近破发 连续下跌,新浪
3633,2018-08-09,中国彩电厂商十分不满郭台铭，让夏普电视的降价太猛,维库电子市场
3634,2018-08-09,工业富联接近破发，曾被寄予厚望的独角兽为何风光不再？ 连续下跌,搜狐
3635,2018-08-08,工业富联股价逼近破发 市值已蒸发2237亿元 连续下跌,新浪
3636,2018-08-08,一线丨“独角兽”工业富联逼近破发 市值已蒸发2000多亿 连续下跌,腾讯网
3637,2018-08-07,苹果能不能扶起另一个“富士康”？,腾讯网
3638,2018-08-07,以航天云网为例 详解中国工业互联网的平台价值,中国企业报
3639,2018-08-06,富士康缩减美国威斯康辛项目规模 降级为6代线工厂,新浪
3640,2018-08-06,快讯：工业富联持续走低 股价再创调整新低,新浪
3641,2018-08-04,iPhone下一代旗舰支持双卡双待富士康确认爬坡量产即将抢钱,搜狐
3642,2018-08-04,苹果和富士康为什么能“甜蜜”十年？,搜狐
3643,2018-08-03,揭秘工业互联网 工业富联场景应用随处可见,维库电子市场
3644,2018-08-02,苹果对关键下级供应商的管控,维库电子市场
3645,2018-08-02,华为第二季手机出货量超苹果 特斯拉第二季度营收40亿美元,巨丰财经
3646,2018-08-02,富士康又助攻！正在代工4款iPhone，6.5寸新iPhone支持双卡双,搜狐
3647,2018-08-02,iPhone X Plus来了！3480毫安大电池，A12处理器，跑分将,搜狐
3648,2018-08-01,富士康员工：新iPhone全面量产 双卡双待+屏幕指纹,驱动之家
3649,2018-08-01,手机大佬们的虚幻“PC梦”,钛媒体
3650,2018-07-31,美年健康7成收入来自单位体检 第一大客户为富士康,腾讯网
3651,2018-07-30,富士康否认大规模裁员、关闭产线 但存在“汰弱留强”,证券时报
3652,2018-07-27,全球教育与商务行业互动屏领导者SMART正式入华,中新网
3653,2018-07-27,工业互联网平台：迎政策红利 路线图基本形成,中国电子报
3654,2018-07-27,告别新股不败 平均连板数低至8.19,21世纪经济报道
3655,2018-07-26,京东云携手富士康旗下教育科技品牌SMART科技 开启智能教育新模式,财经网
3656,2018-07-25,国泰君安中小盘·IPO专题【打新基金二季度收益遇寒冬，持续减持银行股】,易研九鼎
3657,2018-07-23,申洲国际=富士康？这个实力有点强,亿邦动力
3658,2018-07-23,【新时代中小盘 孙金钜团队】 打新基金：小规模基金遭赎回最为明显，底仓共同增持食品饮料,新时代证券研究
3659,2018-07-20,前线 | 旗舰机大降价、官微清空，夏普手机或再次退出中国,凤凰网
3660,2018-07-20,华电富士康郑州分布式能源站项目获补贴,Ofweek
3661,2018-07-20,富士康为何要在印度建厂？除了人力还有此原因,中关村在线
