148,2021-09-10,券商股表现活跃，长江证券冲击涨停,Wind
149,2021-09-09,财通证券参股公司永安期货IPO申请获审核通过,上证报
150,2021-09-09,财通证券(601108.SH)：参股公司IPO申请获证监会审核通过,格隆汇
151,2021-09-09,“期货一哥”永安期货首发过会 上市前“错认”财通证券为控股股东,证券之星
152,2021-09-09,财通证券(601108.SH)：永安期货IPO申请获中国证监会发行审核委员会审核通过,智通财经
153,2021-09-09,“期货一哥”永安期货首发过会，将成A股第三家期货公司,Wind
154,2021-09-09,华明装备：民生证券、财通证券等2家机构于9月7日调研我司,证券之星
155,2021-09-09,“元宇宙”站上风口，龙头股提示不确定性,Wind
156,2021-09-09,财通证券股份有限公司关于浙文影业集团股份有限公司收购报告书之2021年半年度持续督导意见,证券时报
157,2021-09-08,财通证券：公司的实际控制人是浙江省财政厅，而非浙江省国资委,每日经济新闻
158,2021-09-06,一根大阳线，“千军万马”来相见！,Wind
159,2021-09-06,解盘：白马拉升指数，CRO、医疗、宁组合、白酒领涨,Wind
160,2021-09-06,券商股反复活跃，申万宏源连续两日触及涨停,Wind
161,2021-09-06,【行情】证券板块走高，申万宏源涨停，财通证券涨超6%，第一创业、东北证券、东方证券等跟涨,金十数据
162,2021-09-03,1500亿大券商“换帅”！新任总经理是谁？,Wind
163,2021-09-02,财通证券股份有限公司2021年度配股公开发行预案（修订稿）,证券时报
164,2021-09-02,券商配股忙！财通证券、兴业证券大股东承诺全额认购，出资总额或近60亿,资本邦
165,2021-09-01,品茗股份：博道基金、财通证券等71家机构于8月25日调研我司,证券之星
166,2021-08-30,财通证券完成发行25亿元短期融资券,智通财经
167,2021-08-27,财通证券：公司总经理发生变动,Wind
168,2021-08-27,财通证券上半年营收增1成 支付员工薪酬福利总额增9%,中国经济网
169,2021-08-27,财通证券二季度业绩下滑拉低半年表现，大财富贡献收入最高，新任总经理到位，年内6名高管密集变动 盈利能力下降,财联社
170,2021-08-26,晚间重要公告2021年8月26日星期四,Wind
171,2021-08-26,黄伟建新任财通证券总经理,北京商报
172,2021-08-26,财通证券(601108.SH)半年度净利润10.45亿元 同比增长27.43%,格隆汇
173,2021-08-26,财通证券(601108.SH)上半年归母净利润同比增27.43%至10.45亿元,智通财经
174,2021-08-26,财通证券(601108.SH)聘任黄伟建担任总经理,智通财经
175,2021-08-26,财通证券2021年上半年实现净利润10.46亿元，同比增长27.48%,经济观察网
176,2021-08-26,财通证券：上半年净利润同比增长27.43%,Wind
177,2021-08-26,财通证券：上半年净利10.45亿元 同比增长27%,财联社
178,2021-08-26,罕见一幕！6位券商首席集体跳槽,Wind
179,2021-08-24,比批资本实力，兴业证券推140亿配股方案，为何选择此时配股融资？为何选择配股券商明显增多,财联社
180,2021-08-22,券商一线员工使用企业微信展业行至哪一步？广发、东北、财通等使用已半年以上，行业推而行之已不远？,财联社
181,2021-08-18,财通证券股价涨5.1% 现报10.65元,乐居财经
182,2021-08-16,财通证券80亿配股项目获证监会反馈：上海财通资产70亿违约被追问，配股数量需明确,和讯
183,2021-08-16,中国债券市场金融债发行日程一览(8月16日),Wind
184,2021-08-14,“IPO一查就撤”检查出炉：已撤材料企业遭核查 过关公司离奇铩羽,搜狐
185,2021-08-14,“IPO一查就撤”现场检查结果出炉：有已撤材料企业仍遭核查 过关公司IPO悄然离奇终止 IPO融资异常,和讯
186,2021-08-03,上市券商股价与业绩背离：竟与再融资频率增加有关？,证基风云
187,2021-08-03,财通证券配股获证监会受理 年内已有两家券商配股落地,和讯
188,2021-08-03,财通证券(601108.SH)：配股申请获证监会受理,格隆汇
189,2021-07-27,财通证券(601108.SH)向专业投资者公开发行公司债券获中国证监会注册批准,智通财经
190,2021-07-26,变更精选层辅导券商，英派瑞牵手财通证券,资本邦
191,2021-07-24,证券业新局：投顾反超经纪人成第一大岗位,Wind
192,2021-07-23,赓续红色血脉，为建党百年献礼！财通证券助力浙版传媒登陆资本市场,证券时报网
193,2021-07-23,浙版传媒首日换手1.05% IPO募23亿财通证券赚0.6亿,中国经济网
194,2021-07-22,财通证券：公司董事发生变动 董监高成员变化,Wind
195,2021-07-22,财通证券(601108.SH)完成发行25亿元2021年度第五期短期融资券,智通财经
196,2021-07-22,财通证券、财通基金与上海市虹口区开启战略合作 合力推进长三角资本市场建设,中证网
197,2021-07-20,年薪100万！券商大手笔招聘一类人，又一蓝海来了,Wind
198,2021-07-13,近17亿业绩窟窿未填平，国民技术的“董事长专属”定增,第一财经
199,2021-07-08,财融汇·浙股速递 | 20210708,财通证券融资融券部
200,2021-07-08,财融汇·基金周报 | 20210705,财通证券融资融券部
201,2021-07-07,财融汇·基金周报 | 20210705,财通证券融资融券部
202,2021-07-07,财融汇·浙股速递 | 20210707,财通证券融资融券部
203,2021-07-06,永安期货IPO：控股股东前后披露不一 股东解除一致行动协议,GPLP犀牛财经
204,2021-07-06,苏州中来股份暴涨，解放了谁？,深水财经社
205,2021-07-02,财通证券(601108.SH)：拟变更会计师事务所 变更会计师,格隆汇
206,2021-07-01,财通证券：“财通转债”第二季度转股9508股,每日经济新闻
207,2021-06-29,光伏板块持续“发光”，游资买卖积极，“光伏茅”获主力加仓超4.6亿元,第一财经
208,2021-06-28,新一线城市薪酬逆袭！杭州均薪24万元 天津南京比它还高,投资时报
209,2021-06-28,财融汇·日间资讯,财通证券融资融券部
210,2021-06-25,谁是大赢家？2.8亿资金扫货 财通证券杭州上塘路营业部“独揽”三只涨停券商股,财联社
211,2021-06-25,“牛市旗手”强势爆发谁是最大赢家？这家营业部“独揽”3只涨停券商股,财联社
