124,2021-12-01,前11个月最牛基金大赚122%！部分领跑选手“跑岔了”,Wind
125,2021-11-30,恩捷股份股东拟合计减持不超2.75%股份，减持金额合计66.25亿元 拟减持股份,阿尔法工场
126,2021-11-30,A股收盘综述：有惊无险，沪指午后探底回升；北向资金加速撤离,Wind
127,2021-11-30,2200亿锂电龙头跳水！北上资金逆向操作,Wind
128,2021-11-30,午盘综述｜12天11板，新冠检测大牛股彻底火了！2000亿电池龙头崩了，发生了什么？,上游新闻
129,2021-11-30,陆股通月报：11月北上资金有何动向？,新浪
130,2021-11-30,早间公告：千亿市值恩捷股份迎集体减持 实控人及高管拟套现超66亿元,产业经济新闻网
131,2021-11-30,6分钟大跌9%，2200亿锂电龙头被锤，股东拟大笔套现66亿 减持股份,凤凰网
132,2021-11-30,全国上下一盘棋 新能源政策推动储能板块持续上涨,和讯
133,2021-11-30,恩捷股份(002812.SZ)逼近跌停 遭多名股东减持 减持股份,格隆汇
134,2021-11-30,动力电池题材下挫明显，恩捷股份跌超8%,Wind
135,2021-11-30,恩捷股份多名股东拟合计减持不超2.75％股份 拟减持股份,上证报
136,2021-11-30,恩捷股份(002812.SZ)：实控人家族及若干董监高拟合计减持不超2.75%股份 拟减持股份,格隆汇
137,2021-11-30,早间公告：恩捷股份实控人等拟合计减持不超过公司总股本2.75%股份,e公司
138,2021-11-30,恩捷股份：实际控制人等多名股东拟合计减持不超过公司总股本的2.75%。 拟减持股份,财联社
139,2021-11-30,注意！恩捷股份：多个股东拟合计减持公司股份不超过2454万股,每日经济新闻
140,2021-11-30,恩捷股份：李晓华等股东计划合计减持不超2.47%股份 拟减持股份,Wind
141,2021-11-30,恩捷股份(002812.SZ)总经理李晓华等拟减持不超2454.22万股 拟减持股份,智通财经
142,2021-11-29,定增市场周报：盛达资源定价改为竞价 恩捷股份启动百亿定增,新浪
143,2021-11-29,浙商证券汽车行业周报：特斯拉扩产 产业链受益,新浪
144,2021-11-29,投资13亿！固态电池隔膜项目落户江苏,Ofweek
145,2021-11-29,【财联社】隔膜涨价已现，供需紧张明年料加剧，头部或受益于产能释放,财联社
146,2021-11-29,恩捷股份：公司在锂电池隔膜领域处于全球行业龙头地位,每日经济新闻
147,2021-11-29,恩捷股份：公司白油等级符合生产要求；公司辅料回收效率较高,每日经济新闻
148,2021-11-29,恩捷股份：今年新增产能主要来自公司下属子公司江西省通瑞新能源科技发展有限公司和无锡恩捷新材料科技有限公司,每日经济新闻
149,2021-11-29,恩捷股份：公司的隔膜产品适用于各个型号的锂离子电池，并与国内外知名的锂离子电池厂商保持长期稳定的合作关系,每日经济新闻
150,2021-11-29,隔膜龙头企业再掀扩产潮,中国能源报
151,2021-11-27,恩捷股份固态电解质涂层隔膜项目落户江苏溧阳,搜狐
152,2021-11-27,新能源车渗透率超预期，锂电产业供需两旺,Wind
153,2021-11-26,北上资金白酒新能源全都要，“微信、支付宝收款码禁用”被误读？,Wind
154,2021-11-26,每日理财观察：国务院部署在六城市开展营商环境创新试点,Wind
155,2021-11-26,陆家嘴财经早餐2021年11月26日星期五,Wind
156,2021-11-25,21深度丨锂电股定增“狂潮”：年内融资计划已超千亿 产能过剩还有多远？,21世纪经济报道
157,2021-11-25,新能源汽车行业：小鹏首登新势力销冠 铁锂装机连续四月超三元,广发证券
158,2021-11-25,连续3日净买入 恩捷股份获深股通净买入3.90亿元,证券时报网
159,2021-11-25,"恩捷股份现1笔大宗交易 共成交7,972.20万元",新浪
160,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
161,2021-11-25,"定增募资已超7000亿！A股又迎定增大年，百亿案例频现，热门赛道引""内卷""隐忧？",证券时报
162,2021-11-25,2021年10月国内动力电池产量点评：产装继续维持高景气 三元装机有所回暖,新浪
163,2021-11-25,电气设备行业2021年10月国内新能源车销量点评：产销持续创记录 全年销量340万辆可期,新浪
164,2021-11-25,10月装机电量点评：装机量环比下降 三元份额有所回升,新浪
165,2021-11-25,"恩捷股份：上海恩捷与LG Chem,Ltd.于2019年签订的5年期合同仅为公司与LG的销售订单之一",每日经济新闻
166,2021-11-25,恩捷股份：纽米科技是公司三级子公司，公司的控股子公司上海恩捷新材料科技有限公司持有其76.3574%股份,每日经济新闻
167,2021-11-25,恩捷股份：公司不生产质子交换膜,Wind
168,2021-11-25,大手笔定增预案频现，锂电行业扩产“起风了”,Wind
169,2021-11-25,结构化行情松动？国际投行喊话2022年超配A股,Wind
170,2021-11-25,大手笔定增预案频现 锂电行业扩产“起风了”,新浪
171,2021-11-24,锂电行业内卷，年内涌现定增计划超1300亿元！,Wind
172,2021-11-24,结构化行情松动？底部小票开始迎接“20CM盛宴”,Wind
173,2021-11-24,石油化工新材料行业北上资金周报,新浪
174,2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
175,2021-11-24,24股今日获机构买入评级 5股上涨空间超20%,证券时报网
176,2021-11-24,开源证券：维持恩捷股份(002812.SZ)“买入”评级 拟定增不超过128亿元 加码产能扩张,智通财经
177,2021-11-24,开源证券：给予恩捷股份买入评级,证券之星
178,2021-11-24,锂电池产业链又现巨额定增,Ofweek
179,2021-11-24,头部客户产能近1TWh！千亿巨头定增128亿加码锂电材料,长江有色
180,2021-11-24,24股获券商买入评级，人福医药目标涨幅达107.14%,Wind
181,2021-11-24,11月23日37只个股获券商关注，日丰股份目标涨幅达65.34%,每经网
182,2021-11-23,恩捷股份：公司已完成了对捷胜科技应缴出资额1.1亿元的实缴义务,Wind
183,2021-11-23,锂电隔膜将全面涨价！两企业斥资258亿大扩产,Ofweek
184,2021-11-23,恩捷股份募资128亿元新建电池隔膜产能,Ofweek
185,2021-11-23,电动车2021年三季报总结：行业景气度持续 电池盈利超市场预期 涨价环节弹性较大,新浪
186,2021-11-23,百亿定增再现！恩捷股份5年融资或超251亿,环球老虎财经
187,2021-11-23,恩捷股份：目前公司的主要业务线仍在锂电方面,第一财经
188,2021-11-23,华鑫证券：给予恩捷股份增持评级,证券之星
189,2021-11-23,恩捷股份：旗下研究院在积极关注氢能产业 目前公司主业仍在锂电产业链丨公司问答,第一财经
190,2021-11-23,恩捷股份：锂电池产业爆发性增长 隔膜在锂电池构成中占比达8%丨公司问答,第一财经
191,2021-11-23,刚牵手宁德时代 恩捷股份又拟定增募资128亿加码锂电丨资讯焦点,第一财经
192,2021-11-23,百亿定增再现！恩捷股份拟募资不超过128亿元加码锂电隔膜,长江有色
193,2021-11-23,民生证券：维持恩捷股份(002812.SZ)“推荐”评级 隔膜盈利能力有望保持增长,智通财经
194,2021-11-23,恩捷股份128亿定增背后：定增募资为扩产最优解,财联社
195,2021-11-23,资本动态 | 膈膜扩产潮来袭！恩捷股份拟定增128亿元加码膈膜产能,财经网
196,2021-11-23,推出百亿定增扩产后，恩捷股份早盘一度跌超6%,金融界
197,2021-11-23,又百亿定增！牵手宁德、亿纬的恩捷要放出什么“大招” | 见智研究,华尔街见闻
198,2021-11-23,资本运作大手笔！营收超40亿元恩捷股份拟增发募资128亿元壮大锂电池隔膜主业,电鳗快报
199,2021-11-23,恩捷股份(002812)：龙头再扩产隔膜+铝塑膜 树立产能壁垒,新浪
200,2021-11-23,电力设备与新能源：美国电动车政策加码在即 助力全球汽车电动化再上新台阶,新浪
201,2021-11-23,恩捷股份(002812)：定增保障产能持续扩张 全球龙头地位稳固,新浪
202,2021-11-23,3Q21锂电全球回顾：业绩分化加剧 日韩扩产提速,新浪
203,2021-11-23,恩捷股份(002812)：拟定增128亿扩建锂电隔膜及铝塑膜 巩固锂电隔膜龙头地位,光大证券
204,2021-11-23,"辉瑞和BioNTech称其新冠疫苗对青少年预防感染有效性100%；麦肯锡因内幕交易被罚；爱立信同意收购云通信公司Vonage
金融监管处罚",每经头条
205,2021-11-23,11月23日沪深两市最新交易提示,金融界
206,2021-11-23,恩捷股份推百亿定增计划 隔膜行业掀扩产潮,e公司
207,2021-11-23,千亿巨头加码锂电！恩捷股份拟定增募资128亿，此前刚牵手宁德时代,Wind
208,2021-11-23,千亿巨头加码锂电！恩捷股份拟定增募资128亿，此前刚牵手宁德时代,证券时报
209,2021-11-23,88万股民懵了！格力第一大股东100%质押股票：会爆仓吗？2400亿“隔膜茅”出手：又一百亿级定增来了！ 股票质押异常,中国基金报
210,2021-11-22,晚间要闻2021年11月22日星期一,Wind
211,2021-11-22,嫌钱少？恩捷股份左手终止15亿募资 右手开启百亿定增,财联社
212,2021-11-22,今天市场重要信息：IGBT/新能源汽车,格隆汇
213,2021-11-22,恩捷股份拟募资不超过128亿元，用于锂电池系列项目等,资本邦
214,2021-11-22,公告精选：恩捷股份拟定增募资不超128亿元；何享健累计增持10.5亿元美的集团股份,e公司
215,2021-11-22,【晚间公告抢先看】保利发展发行不超98亿元公司债、国轩高科与长城汽车零部件公司签订不低于10GWh采购协议,金融界
216,2021-11-22,又见百亿定增！恩捷股份拟定增募资不超128亿元,北京商报
217,2021-11-22,恩捷股份(002812.SZ)拟非公开发行不超过2.68亿股并募资不超128亿元,智通财经
218,2021-11-22,恩捷股份(002812.SZ)拟定增募资不超128亿元 用于江苏恩捷动力汽车锂电池隔膜产业化项目等等,格隆汇
219,2021-11-22,恩捷股份：拟非公开增发募资不超过128亿元,每日经济新闻
220,2021-11-22,恩捷股份：终止发行股份及支付现金购买资产并募集配套资金暨关联交易 再融资异常,Wind
221,2021-11-22,恩捷股份：拟定增募资不超128亿元,Wind
222,2021-11-22,辅助生殖站上风口，底部放量的低估值股来了,Wind
223,2021-11-22,眺望“锂电隔膜”|扩产浪潮催化，谁将续写新章,财华社
224,2021-11-22,电力设备与新能源行业周报：22 年底新能源车渗透率或超35% 光伏组件出口高增,广发证券
225,2021-11-22,宁德时代跃居A股市值第二，新能源成大市值公司进阶秘籍,Wind
226,2021-11-22,汽车行业周报：重视自主零部件崛起的机会,新浪
227,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
228,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
229,2021-11-18,云南传统化工企业转型蜕变中，“新能源电池产业链”正在集结,证券日报网
230,2021-11-18,电力设备新能源行业周报：恩捷宁德强强联合 当升合作芬兰矿业 央行推出绿色金融工具,新浪
231,2021-11-18,EV观察系列：10月新能源销量继续同环比增长,新浪
232,2021-11-18,锂电隔膜疯狂扩产：星源材质想要重夺C位？,中国能源网china5e
233,2021-11-17,恩捷股份：公司在建和规划项目有无锡恩捷新材料产业基地二期扩建、江西通瑞锂离子电池隔膜一期扩建项目等,每日经济新闻
234,2021-11-17,电动车10月月报：行业景气度持续向上 电池技术升级加速,新浪
235,2021-11-17,新能源车行业2022年投资策略报告：聚势而强 电动车市场开启最美篇章,新浪
236,2021-11-16,海外最大中国股票基金出手！加仓这只A股万亿巨头,Wind
237,2021-11-16,锂电材料价格飞升、供给趋紧，企业如何应对新能源热潮？,第一财经
238,2021-11-16,恩捷股份大宗交易成交669.13万元,证券时报网
239,2021-11-16,兴证策略：北上资金转为流出 成交热度继续回落,新浪
240,2021-11-16,恩捷股份现1笔大宗交易 共成交669.13万元,新浪
241,2021-11-16,恩捷股份：公司正按规划进度推动，明年将逐步释放产能,每日经济新闻
242,2021-11-16,电动车产业链3Q回顾：景气不减 中游走强,新浪
243,2021-11-15,2022年投资策略报告之新能源汽车行业：电流奔涌 在时代的赛道上飞驰,新浪
244,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
245,2021-11-15,新纶新材：公司铝塑膜目前产品直通率为92%左右,Wind
246,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
247,2021-11-15,【隔膜周报】恩捷股份与宁德时代合资80亿扩产锂电隔膜！,中国电池网
248,2021-11-15,一线厂商或将提价 锂电隔膜又掀产能军备竞赛,长江有色
249,2021-11-15,行业动态|隔膜涨价已现 供需紧张明年料加剧 头部或受益于产能释放,财联社
250,2021-11-15,恩捷股份与宁德时代砸80亿设平台公司 投资锂电隔膜项目,长江有色
251,2021-11-15,突发！万亿宁王又出手：狂买这家公司！8万股民嗨了,Wind
252,2021-11-15,突发！万亿“宁王”又出手：狂买这家公司！8万股民嗨了,中国基金报
253,2021-11-15,恩捷股份(002812)　携手宁德 强强联合,财富动力网
254,2021-11-15,美国储能龙头Fluence基本面分析,中信建投证券研究
255,2021-11-13,北向资金本周净卖出约27亿元，抛售医药制造、酿酒行业，大幅加仓“宁王”和这只券商股,21世纪经济报道
256,2021-11-12,汽车行业周报：电动智能变革下零部件的投资机会,新浪
257,2021-11-12,汽车行业月报：复苏进行时 未来尤可期,渤海证券
258,2021-11-12,东吴证券维持恩捷股份买入评级：携手宁德，强强联合，龙头地位凸显,每日经济新闻
259,2021-11-12,东吴证券：给予恩捷股份买入评级，目标价位343.7元,证券之星
260,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
261,2021-11-12,恩捷股份与宁德时代共同设立平台公司，布局隔离膜项目,Ofweek
262,2021-11-12,3股获券商买入评级，当升科技目标涨幅达42.03%,Wind
263,2021-11-12,恩捷股份牵手宁德时代80亿发力锂膜 产能释放前三季净利增1.72倍,长江商报
264,2021-11-12,电动车10月销量点评：国内销量持续向上 自主车企表现亮眼,新浪
265,2021-11-11,电池隔膜的中场战事,新浪
266,2021-11-11,争夺锂电隔膜产能！宁德时代、恩捷股份合资80亿元投向隔膜平台,环球老虎财经
267,2021-11-11,狂砸80亿！万亿“锂电茅”联手“隔膜茅”！,Ofweek
268,2021-11-11,宁德时代和恩捷股份锁定五年锂电池隔离膜供货,Ofweek
