223,2021-04-13,中科曙光高端计算机销量五年增94% 揽人募资力图攻克国产计算机核心技术,长江商报
224,2021-04-12,中科曙光(603019)：年报业绩符合预期 信创核心战略升级加速推进,新浪
225,2021-04-12,中科曙光(603019)：经营质量改善超预期,新浪
226,2021-04-12,东方证券维持中科曙光买入评级：收入增速开始恢复，核心芯片战略推进,每日经济新闻
227,2021-04-12,开源证券维持中科曙光买入评级：净利润高增长，加速构建先进计算产业生态,每日经济新闻
228,2021-04-12,业绩快报丨中科曙光2020年营收101.61亿元，机构看好国产替代趋势,36氪
229,2021-04-12,平安证券维持中科曙光推荐评级：增发将推动公司加速转型，高性能计算竞争力有望夯实,每日经济新闻
230,2021-04-12,中科曙光(603019)：受益信创与数字化转型 业绩表现靓丽,新浪
231,2021-04-12,【民生计算机】中科曙光2020年报点评：受益信创与数字化转型，业绩表现靓丽,MS计算机
232,2021-04-11,成绩单！中科曙光：2020年度净利润约8.22亿元，同比增长38.53%,每日经济新闻
233,2021-04-11,晚间重要公告2021年4月11日星期日,Wind
234,2021-04-11,中科曙光(603019.SH)年度归母净利同比增38.53%至8.22亿元 拟10股派1.4元,智通财经
235,2021-04-11,中科曙光：2020年净利8.22亿元 同比增39%,e公司
236,2021-04-11,中科曙光(603019.SH)：2021年度拟向银行申请不超56亿元综合授信总额,格隆汇
237,2021-04-11,中科曙光(603019.SH)2020年度净利润升38.53%至8.22亿元拟10派1.4元,格隆汇
238,2021-04-11,中科曙光：2020年净利润同比增长38.53%,Wind
239,2021-04-09,计算机行业2021Q1业绩前瞻：医疗IT、汽车IT、信息安全等多域低基数高景气,新浪
240,2021-04-09,深圳大数据存储峰会：探讨打造中国数据存储业世界级集群,中新网
241,2021-04-07,CITE 2021来了！芯片、信创、数据存储、5G成亮点,Wind
242,2021-03-31,安信证券：“信创+网安”构成的“大安全”将是计算机板块业绩高增与持续性最确定主线之一,Wind
243,2021-03-31,安信证券：“信创+网安”构成的“大安全”将是计算机板块业绩高增与持续性最为确定的主线之一,证券时报网
244,2021-03-31,【计算机-吕伟】计算机行业：信创进入业绩兑现期再获验证,安信证券研究
245,2021-03-29,计算机行业动态报告：2021Q1计算机板块业绩前瞻-云计算、AI板块预计业绩较佳 看好建筑信息化投资机会,新浪
246,2021-03-29,三方共建EB级存储 构建区块链存储生态,光明网
247,2021-03-29,行业周报：计算机行业一季报前瞻：景气持续上行 网安与AI闪耀,新浪
248,2021-03-29,【中金科技】通信设备周报：运营商开启网络采购，光模块/安防受到投资人关注,微信
249,2021-03-26,天津区域股市周报：总市值涨208亿6522.04万融资买入中科曙光,每日经济新闻
250,2021-03-23,信息服务行业信息点评：国内公有云持续高增长 看好云产业链,新浪
251,2021-03-20,中科曙光已在全国落地数十个曙光云智慧城市现代化治理平台,新华网
252,2021-03-20,基因测序周榜：“医研茅”药明康德暴跌未止，低位个股丽珠集团涨幅居首迎春天？ 连续下跌,华夏时报
253,2021-03-19,中科曙光与重庆市大数据发展应用管理局、重庆市璧山区人民政府签署战略合作协议,e公司
254,2021-03-17,中科曙光：2020年9月30日至今累计收到政府补助6676.70万元,发布易
255,2021-03-17,中科曙光：公司及子公司获得政府补助共计6676.70万元,每日经济新闻
256,2021-03-17,中科曙光(603019.SH)及子公司累获政府补助资金6676.7万元,智通财经
257,2021-03-17,中科曙光(603019.SH)：累计收到与收益相关的政府补助6676.7万元,格隆汇
258,2021-03-16,大数据：产业链关键技术步入创新突围期,中国电子报
259,2021-03-15,科技行业通信设备周报：5G基站毛利率有望上行 第三方IDC供给率或提升,新浪
260,2021-03-15,计算机行业周报：重点推荐人工智能板块 AI 教育场景落地燎原之势 旷视IPO 获受理 百度二次上市重点投资AI,新浪
261,2021-03-14,计算机行业能为碳中和做什么贡献？两大路线积极为高耗能减排赋能,科创板日报
262,2021-03-12,科技及智能设备产业链日报：大盘收小阳 工业和电信服务表现尚可,新浪
263,2021-03-12,中科曙光(603019)业绩快报：业绩超预期 国产生态完整,新浪
264,2021-03-11,信达证券维持中科曙光买入评级：业绩超预期，国产生态完整,每日经济新闻
265,2021-03-11,A股异动 | 中科曙光(603019.SH)逼近涨停 2020年纯利同比增长38.04%,格隆汇
266,2021-03-10,晚间重要公告2021年3月10日星期三,Wind
267,2021-03-10,晚间重要公告：龙蟒佰利钛白粉国内售价上调1000元/吨、保利地产2月签约金额320亿元,金融界
268,2021-03-10,中科曙光(603019.SH)业绩快报：2020年净利升38.04%至8.19亿元,格隆汇
269,2021-03-10,中科曙光：2020年净利润8.19亿元同比增长38%,格隆汇
270,2021-03-10,中科曙光：2020年净利润同比增长38.04%（业绩快报）,Wind
271,2021-03-04,中科曙光旗下一公司中标超算项目,企查查
272,2021-03-03,开源证券--计算机行业周报：2021年，高度重视网络安全板块【行业研究】,金融界股吧
273,2021-02-26,中科曙光：间接持股公司曙光数创辅导备案登记已获受理,Wind
274,2021-02-22,计算机行业：美股业绩期来临 建议关注声网和哔哩哔哩 百度20Q4财报超预期 智能云和智能驾驶高速增长,新浪
275,2021-02-22,开源证券--计算机周观点：关注超跌的优质标的【行业研究】,金融界股吧
276,2021-02-20,基因测序一周风云榜：金域医学市值半月蒸发七分之一，药明康德市值稳居首位 连续下跌,华夏时报
277,2021-02-08,计算机行业2020年报前瞻：领军业绩逐季改善 把握景气下游！,新浪
278,2021-02-08,计算机行业周观点：密集回购 彰显信心,新浪
279,2021-02-05,基因测序行业一周风云榜：美年健康成功“卖子”拉动业绩，华大基因定增20亿元,华夏时报
280,2021-02-05,博拉与中科曙光携手打造领先的信息化新基建,砍柴网
281,2021-02-05,地方“两会”透露哪些信息？,中国电子报
282,2021-02-05,开源证券--计算机周观点：云计算高景气度持续【行业研究】,金融界股吧
283,2021-02-03,国内存储领域首个权威榜单发布 天津滨海高新区中科曙光荣登榜首,天津日报
284,2021-02-01,六看寒武纪：半年市值跌去近1/2，AI芯片第一股被高估了吗？,节点财经
285,2021-01-31,中科曙光(603019.SH)：历军减持时间区间届满累计减持472.07万股 减持股份,格隆汇
286,2021-01-28,中科曙光ParaStor为国家大型生物样本库构建存储底座！,牛华网
287,2021-01-28,信息服务行业跟踪报告：“中国芯”龙芯中科正式开启科创板上市辅导,新浪
288,2021-01-26,计算机应用行业：公募2020Q4持仓分析 集中度继续提升 主配云计算,新浪
289,2021-01-26,国产CPU企业瞄准科创板构建生态是关键,中证报
290,2021-01-25,计算机行业周报：关注人工智能和信创产业,国海证券
291,2021-01-20,计算机服务器行业点评：长短期视角看服务器是否复苏？,新浪
292,2021-01-16,羽翼渐丰 国产CPU龙头纷纷冲刺科创板,上证报
293,2021-01-14,拿下x86授权 国产CPU龙头海光正式启动IPO,财联社
294,2021-01-14,核心资产加速向科创板集中！国产CPU龙头海光正式启动IPO 有望完善A股半导体产业链,科创板日报
295,2021-01-13,【民生计算机|周观点】工业互联网迎政策利好，推动工业软件长期发展,MS计算机
296,2021-01-13,2021资本市场投资策略：重点关注车联网、AIOT、云建设三条主线,投资家
297,2021-01-13,【机会挖掘】工业互联网创新发展行动计划印发 产业链公司或受关注（附股）,证券时报网
298,2021-01-12,中科曙光(603019.SH)：董事兼总裁历军已减持472.0688万股 减持股份,格隆汇
299,2021-01-12,中科曙光：董事兼总裁减持0.33%股份，集中竞价交易减持数量过半 减持股份,Wind
300,2021-01-11,计算机应用行业：一二线品种估值继续分化 春季行情仍然可期,新浪
301,2021-01-11,计算机行业：蔚来ET7发布 国产车智能化站上浪潮之巅 供应链崛起之路,新浪
302,2021-01-11,计算机行业周报：信创之新在于“芯” 行业国产推进应用软件或先行,新浪
303,2021-01-06,计算机行业投资周报：“PK”体系进展超预期 2021年政策驱动明显,新浪
304,2021-01-06,政策力推“5G＋工业互联网”融合创新发展，这些概念龙头股抢占先机,第一财经
305,2021-01-06,芯片股局部活跃，韦尔股份、中芯国际-U、中微公司、寒武纪-U走强,Wind
