128,2021-10-22,新方正集团成立！平安持股67%，方正证券迎新控股股东 三季度净利大增,券商中国
129,2021-10-22,新方正集团成立！平安持股67%，方正证券迎新控股股东，三季度净利大增三成,证券时报
130,2021-10-21,新方正集团设立 成方正证券控股股东,北京商报
131,2021-10-21,方正证券：市场蓝筹与题材间的跷跷板效应明显 结构性行情还在不断深化,新浪
132,2021-10-21,晚间重要公告2021年10月21日星期四,Wind
133,2021-10-21,方正证券最新公告：方正集团等五家公司已完成新方正集团的设立,中金在线
134,2021-10-21,方正证券：方正集团等五家公司已完成新方正集团设立,Wind
135,2021-10-21,平安集团欲出售医保科技业务？官方回应“消息不实” 资产异常,21世纪经济报道
136,2021-10-20,两融业务成券商业绩增长点 板块后续行情可期,大众证券报
137,2021-10-20,2家券商发布前三季度业绩快报,证券时报网
138,2021-10-20,方正证券股份有限公司 2021年前三季度业绩快报,证券日报
139,2021-10-19,方正证券：前三季度净利润19.3亿元,上证报
140,2021-10-19,方正证券前三季度归母净利润19.29亿元 同比增30.08%,北京商报网
141,2021-10-19,方正证券：目前公司经营正常，各项业务按照既定计划有序开展,每日经济新闻
142,2021-10-19,方正证券：2021年前三季度净利润约19.28亿元，同比增加30.08%,每日经济新闻
143,2021-10-19,方正证券披露业绩预告，第三季度净利6.27亿元环比增52%,阿尔法工场
144,2021-10-19,方正证券业绩快报：前三季度净利同比增长30.08%,中金在线
145,2021-10-19,方正证券：1-9月归母净利润为19.28亿元，同比增长30.08%,36氪
146,2021-10-19,方正证券(601901.SH)披露业绩快报 前三季度归母净利同比增30%至19.28亿元,智通财经
147,2021-10-19,方正证券：前三季度净利润同比增长30.08%（业绩快报）,Wind
148,2021-10-19,方正证券(601901.SH)业绩快报：前三季度归母净利增30.08%至19.28亿元,格隆汇
149,2021-10-19,方正证券业绩快报：前三季度净利润同比增长30.08%,Wind
150,2021-10-18,北交所投资者开户摸底：券商挖掘老客户潜能 投资者精选层打新热情高涨,证券日报网
151,2021-10-18,为成为证券公司5%以上股东，94%的收入靠虚增，审计机构北京兴华竟然没发现！ 欺诈造假,每日经济新闻
152,2021-10-18,刚刚，高盛宣布大消息！,Wind
153,2021-10-17,“卖方研究”竞争白热化，金融开放下外资券商寻求破局,Wind
154,2021-10-15,博瑞医药：方正证券、诺德基金等17家机构于9月1日调研我司,证券之星
155,2021-10-15,百亿私募“内讧”，自曝违规！29家券商被拖下水,Wind
156,2021-10-13,越秀金控：财信证券、方正证券等18家机构于10月12日调研我司,证券之星
157,2021-10-13,海天味业产品涨价3%-7%，或带动行业跟风,Wind
158,2021-10-12,渝股动态 | 欢瑞世纪大股东与质押券商达成和解，远达环保3000万元投零碳中和,上游新闻
159,2021-10-12,欢瑞世纪：股东欢瑞联合与方正证券达成和解，债务履行延期三年,财经网
160,2021-10-12,10月12日上市公司晚间公告速递,新浪
161,2021-10-12,欢瑞世纪：股东诉讼达成和解,e公司
162,2021-10-12,破发股恒誉环保净利连降 IPO募5亿方正证券赚0.45亿 盈利能力下降,中国经济网
163,2021-10-12,券业从业人员数量重回34万+，中信、中金财富大举招人,Wind
164,2021-10-09,9月金股组合亏损2.73% 10月荐股名单出炉 亏损,新浪
165,2021-10-08,北向资金今日净卖出25.72亿元，贵州茅台遭大幅净卖出超11亿元,Wind
166,2021-10-08,北交所精选层首批打新！就在今日，最新攻略来了,Wind
167,2021-10-08,"券商9月金股组合""战绩""：方正证券11.09%夺冠 天风最差",新浪
168,2021-10-05,10月券商金股组合出炉，这些个股获集中推荐,Wind
169,2021-10-01,“成也周期，败也周期”：9月券商金股组合收益率遭遇“滑铁卢”，多个金股组合跌超10%！,每日经济新闻
170,2021-09-30,中国华融全面清仓所持71.99%华融证券股份，待售券商含金量大比拼,21世纪经济报道
171,2021-09-30,前三季度资本市场工作盘点：深化改革步履坚定、从严监管力度不减,Wind
172,2021-09-29,营业部总经理借用他人账户买卖股票 方正证券被监管采取行政监管措施 金融监管处罚,中证网
173,2021-09-28,安必平：方正证券、创金合信基金等2家机构于9月24日调研我司,证券之星
174,2021-09-28,员工炒股被查 方正证券被行政监管 金融监管处罚,中新经纬
175,2021-09-28,海航控股披露重整计划草案，光大银行连收32张罚单，南京、广州第二轮集中供地不复首轮热度丨预警内参（第四十二期） 金融监管处罚,21世纪经济报道
176,2021-09-27,“组团”跳槽，安信证券研究所5名首席离职,Wind
177,2021-09-27,券商分支机构合规无小事！监管罚单近期密集出现，从业人员违规炒股屡添新案，廉洁从业也出“幺蛾子” 金融监管处罚,财联社
178,2021-09-27,方正证券两基金增聘傅岳鹏 一只新成立另一只年内亏6%,中国经济网
179,2021-09-27,又见券商员工炒股被查！方正证券一营业部总经理借用他人账户炒股，被湖南证监局约谈 其他违规处罚,和讯
180,2021-09-27,调味品龙头要涨价？股价已有表现，最新回应来了,Wind
181,2021-09-27,关于对方正证券股份有限公司采取责令增加内部合规检查的次数并提交合规检查报告措施的决定,湖南证监局
182,2021-09-26,达安基因：方正证券、创金合信基金等3家机构于9月23日调研我司,证券之星
183,2021-09-24,方正证券：中国平安拟间接控制公司,全景网
184,2021-09-24,金盾股份(300411.SZ)：周建灿抵偿给方正证券的2880万股完成过户,格隆汇
185,2021-09-24,证券行业2021年中报综述：财富管理转型加速 龙头券商保持稳健,新浪
186,2021-09-22,方正证券退出沈阳机床集团2.18%股权,乐居财经
187,2021-09-22,近50家券商开门迎客，北交所潜在投资者近800万？,Wind
188,2021-09-22,北交所预约开户假日不打烊，多家券商闪电上线,Wind
189,2021-09-19,北交所开户预约火爆！头部券商预约成功人数已过万,Wind
190,2021-09-19,"券商火速响应北交所""开户""，头部上万名客户已搞定",Wind
191,2021-09-17,方正证券退出融和东能80%股权,乐居财经
192,2021-09-17,发生了什么？这家公司被股东“薅走”20亿，股价却连续涨停,Wind
193,2021-09-17,新元科技：方正证券于9月16日调研我司,证券之星
194,2021-09-17,新北洋：方正证券、国融证券等8家机构于9月15日调研我司,证券之星
195,2021-09-17,三全食品：太平洋资管、方正证券等13家机构于9月16日调研我司,证券之星
196,2021-09-15,中航机电：广发证券、方正证券自营等14家机构于9月13日调研我司,证券之星
197,2021-09-14,爱玛科技：方正证券、东方证券等9家机构于9月10日调研我司,证券之星
198,2021-09-14,中石油一度涨近9%！超20亿资金出逃25倍芯片牛股,Wind
199,2021-09-14,2021年9月第2周策略周报：全球疫情第三轮浪潮间接延长本轮周期行情持续至2021Q4,新浪
200,2021-09-13,北向资金净卖出额创近一个月新高，白酒、有色股遭抛售,Wind
201,2021-09-09,斯莱克：方正证券、ALLIANCE BERNSTEIN等21家机构于9月7日调研我司,证券之星
202,2021-09-09,中国证监会行政许可申请终止审查通知书(方正证券股份有限公司) 资质撤销,证监会
203,2021-09-09,证监会：因主动要求撤回申报材料，终止对方正证券行政许可申请审查,Wind
204,2021-09-09,金宏气体：方正证券、北京方圆金鼎投资等28家机构于9月8日调研我司,证券之星
205,2021-09-09,北向资金今日净买入超26亿元，连续11日扫货宁德时代累计加仓超70亿,Wind
