135,2021-12-09,伊利股份(600887.SH)披露定增结果：巴克莱银行获配14.89亿元 高盛、摩根及UBS AG等在列,格隆汇
136,2021-12-09,伊利股份披露定增结果：高毅资产获批近4亿元,财联社
137,2021-12-09,北向资金动向盘点：同时重手加仓白酒、新能源,Wind
138,2021-12-09,北向资金继续加仓A股97亿元，酿酒行业获大幅增持，抢筹这些白酒股（名单）,21世纪经济报道
139,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
140,2021-12-09,管理费降至0%，基民却开心不起来，发生了什么？,Wind
141,2021-12-08,伊利股份(600887)：竞争格局改善 长期成长逻辑清晰 维持强烈推荐,新浪
142,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
143,2021-12-08,北向资金今日净流入97亿元 贵州茅台获加仓16亿元,第一财经
144,2021-12-08,北上资金今日净买入贵州茅台16.24亿元、宁德时代12.74亿元，净卖出伊利股份3.84亿元、立讯精密2.76亿元。,财联社
145,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
146,2021-12-08,双节临近，“茅五泸”齐涨，消费股悄然崛起,Wind
147,2021-12-08,2021证券之星财经风云榜年度评选圆满收官,证券之星
148,2021-12-07,"伊利股份现1笔大宗交易 共成交1,519.24万元",新浪
149,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
150,2021-12-07,伊利股份今日大宗交易成交38万股，成交价39.98元溢价0.0%,Wind
151,2021-12-07,食品饮料行业周报：老窖激励获批 顺鑫加快地产剥离 继续看多板块Q4行情,新浪
152,2021-12-06,周谈｜Weekly Talk：高端需求坚挺，明年价格逻辑可期,食品饮料光头阳线
153,2021-12-06,蒙牛伊利之争：牛根生和郑俊怀的恩怨情仇,虎嗅网
154,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
155,2021-12-06,2021年基金，买了个“寂寞”,Wind
156,2021-12-06,玩波段？最大海外中国股票基金减持宁德时代,Wind
157,2021-12-06,两大国家级中心落户健康谷， “后千亿时代”的伊利在下什么棋？,凤凰网
158,2021-12-05,发生了什么？海外最大中国股票基金大举减持宁德时代！,Wind
159,2021-12-05,打造产业发展的创新高地和人才平台 两大中心落户伊利智慧健康谷,中访网
160,2021-12-05,食品饮料行业周报：老窖激励方案获批 把握白酒跨年行情,新浪
161,2021-12-05,满洲里新冠肺炎确诊病例轨迹发布，涉及学校及多个小区,Wind
162,2021-12-04,【中泰食品|行业深度】关注提价传导，优选利润弹性——大众品提价专题分析,食品饮料俱乐部
163,2021-12-04,2021中国上市公司软实力巡礼：伊利股份价值92.49亿元 排序第54名,搜狐
164,2021-12-04,国家乳制品产业计量测试中心正式落户伊利现代智慧健康谷,质量新闻网
165,2021-12-04,掘金“田间地头”：熊猫资本解码农业科技投资逻辑,Wind
166,2021-12-03,又一国家级平台落户伊利现代智慧健康谷，助力行业健康可持续发展,财经网
167,2021-12-03,乳业第一！中国社科院权威认证！伊利实力诠释“全面价值领先”,和讯
168,2021-12-03,蒙牛董事会巨震！六位董事辞职，牛根生拟退休投身慈善 董监高成员变化,联商网
169,2021-12-03,开源证券2022年度投资策略丨食品饮料：布局主题投资，关注反转机会,开源证券研究所
170,2021-12-03,券商密集发布12月金股 超跌蓝筹股获青睐,证券时报
171,2021-12-03,创始人彻底退出！中粮系主理的蒙牛，对抗伊利胜算几何？ 董监高成员变化,搜狐
172,2021-12-02,12月券商最新研判出炉！配置围绕这两大主线，提前布局“春季躁动”，12股进入多家券商金股组合,证券时报网
173,2021-12-02,全国质量奖唯一乳企，伊利携手合作伙伴高质量发展,金融界
174,2021-12-02,进一步增强资本实力 定增让伊利股份更稳、更强,钢企网
175,2021-12-01,国金策略：先抑后扬的下半场 A股在今年底和明年初有望迎来向上机会,新浪
176,2021-12-01,食品饮料行业周报：白酒跨年行情可期密切关注提价进展,渤海证券
177,2021-12-01,金典奶销售破200亿占去年总营收20% 伊利或涉嫌信披违规 其他违规处罚,中华网
178,2021-12-01,食品饮料行业周报：提价延续 关注估值切换布局窗口,新浪
179,2021-12-01,"伊利股份现2笔大宗交易 共成交6,730.32万元",新浪
180,2021-12-01,食品饮料行业2022年上半年投资策略：坚守价值主线 关注边际拐点,新浪
181,2021-12-01,伊利股份今日大宗交易成交173.91万股，成交价38.7元溢价0.0%,Wind
182,2021-12-01,呼和浩特投资所持伊利股份0.12%股份解质,乐居财经
183,2021-12-01,伊利股份(600887.SH)股东呼和浩特投资解质700万股,智通财经
184,2021-12-01,食品饮料行业周报：为什么看好区域次高端白酒机会？,新浪
185,2021-12-01,伊利集团副总裁赵昕：坚持以消费者为中心，用创新与变革推动中国乳业美好明天,搜狐
186,2021-12-01,金典破200亿！伊利旗下200亿级品牌增至3个,和讯
187,2021-12-01,食品饮料行业专题：白酒行业持续稳健 大众消费品业绩分化,新浪
188,2021-11-30,引领工业旅游创新发展 伊利获评首批国家级文明旅游示范单位,上证报
189,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
190,2021-11-30,"伊利集团副总裁赵昕:零售行业“人货场”关系正在重构,市场主导权向消费者转移",搜狐
191,2021-11-30,“伊利营养2030”公益活动走进南京六合,大众证券报
192,2021-11-30,食品饮料行业周报：看好白酒估值切换 持续关注提价进展,新浪
193,2021-11-30,外资周报第105期：剧震之下 继续入场,新浪
194,2021-11-29,美元指数继续攀升 中美利差收窄-市场资金面周观察*徐驰,新浪
195,2021-11-29,内蒙古区域股市周报：北方稀土市值增长最多 包钢股份股价涨20.63%排第一,每日经济新闻
196,2021-11-29,金融市场流动性与监管动态周报：内外资继续加仓新能源 变异毒株引外围波动,新浪
197,2021-11-29,食品饮料行业：白酒关注提价进展 年底多方信息显积极 继续强烈看好,新浪
198,2021-11-29,干货！2021年中国酸奶行业产业链现状及市场竞争格局分析 常温与低温酸奶齐头并进,前瞻研究院
199,2021-11-29,食品饮料行业周报：白酒景气度有望提升 把握大众品边际拐点,新浪
200,2021-11-29,伊利定增130亿向“全球乳业第一”进军,凤凰网
201,2021-11-29,“喝酒”的张坤、刘彦春、萧楠、王宗合能翻身吗？,Wind
202,2021-11-27,北向资金一周扫货57亿元，大幅增持白酒锂电行业，抢筹这些个股（名单）,21世纪经济报道
203,2021-11-27,问症独董：病症还需内因“治起”,Wind
204,2021-11-27,食品饮料行业商超渠道草根调研报告：乳制品渠道反馈向好 调味品逐步改善,国金证券股份有限公司
205,2021-11-26,陆股通净卖出44.89亿元（附名单）,证券时报网
206,2021-11-26,沪股通连续4日净卖出伊利股份 累计净卖出19.46亿元,证券时报网
207,2021-11-26,伊利股份现1笔大宗交易 共成交254.10万元,新浪
208,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
209,2021-11-26,乳业唯一，伊利入选国家级工业设计中心,财经网
210,2021-11-26,北上资金白酒新能源全都要，“微信、支付宝收款码禁用”被误读？,Wind
211,2021-11-26,伊利印尼乳业生产基地一期正式投产 打造新旗舰项目,中新网
212,2021-11-26,成全国质量奖唯一获奖乳企 伊利引领行业高质量发展,中新网
213,2021-11-26,高瓴重金押注新能源之王！外资最宠爱银行小白马(名单),Wind
214,2021-11-26,北向资金连续5日净买入，增持电池板块近10亿元，狂买这些龙头股！（名单）,21世纪经济报道
215,2021-11-26,北向资金动向盘点：打一枪换一个地方,Wind
216,2021-11-26,热点快速轮动，资金分歧明显,Wind
217,2021-11-26,陆家嘴财经早餐2021年11月26日星期五,Wind
218,2021-11-25,东吴策略·行业风火轮：行业抄北上 个股抄QFII,新浪
219,2021-11-25,陆股通净买入11.72亿元，连续5日净买入,证券时报网
220,2021-11-25,伊利股份遭沪股通连续3日净卖出 合计净卖出17.05亿元,证券时报网
221,2021-11-25,北水继续加仓快手、思摩尔国际，卖出比亚迪股份；南水连续三日抛售伊利股份,富途证券
