3923,2018-08-09,快讯：芯片股午后持续走高 涨停个股升至8只,中国经济网
3924,2018-08-09,海康威视午后涨停，成交额逾17亿元,Wind
3925,2018-08-09,[强于大市评级]电子行业周报：软包动力电池加速渗透 关注产业链优质企业,中财网
3926,2018-08-09,午评：三大股指全线大涨沪指涨1.78% 国产软件领涨,新浪
3927,2018-08-09,谋布局机构密集调研120家公司 家用电器等三行业成吸睛热点,中财网
3928,2018-08-07,【建投策略】养老基金获批助推机构化过程——8月第1周流动性观察,中信建投
3929,2018-08-07,白马股补跌 释放阶段见底信号,中证网
3930,2018-08-07,白马股继续补跌业内人士称这是阶段性见底信号,证券时报
3931,2018-08-06,【国金电子】每日资讯&行情（2018-08-06）,国金电子研究
3932,2018-08-06,白马股集体补跌，有股票两个月跌了50%，见底迹象？,e公司
3933,2018-08-06,杠杆资金逆市增仓5股 8股三季度净利润或继续增长,证券时报
3934,2018-08-06,融资客最看好个股一览,证券时报
3935,2018-08-06,企业榜｜世界十大难题之一：家庭重要还是工作重要,搜狐
3936,2018-08-06,北上资金逆势抄底 看多做多市场态度未变,中证网
3937,2018-08-06,【中信电子】每日动态及海外观点（2018-08-06）,CITICS电子研究
3938,2018-08-04,A股延续下探走势 三大数据透视机构选股思路,证券日报
3939,2018-08-04,大华股份“猫头鹰”银行的安全卫士,新浪
3940,2018-08-03,8月3日中小板高活跃度个股一览,中证网
3941,2018-08-03,资金流:股权2股农业2股流入居前 两市净流出279亿,金融界
3942,2018-08-03,347亿资金争夺20股：主力资金重点出击3股(名单),新浪
3943,2018-08-03,午间最新消息速递：4家上市公司发布重要公告！,中财网
3944,2018-08-03,大华股份:从未与美国防法案相关机构进行过直接交易,新浪
3945,2018-08-03,午间重磅公告：一公司中标1050万深圳城轨采购项目,新浪
3946,2018-08-03,大华股份：美国2019财年国防授权法案不会对公司业务造成实质性的影响,e公司
3947,2018-08-03,午间公告：巴安水务预中标1.29亿元项目,Wind
