118,2021-12-03,长江电力再现重大资产重组，全球最大水电“一哥”地位愈加稳固,中金在线
119,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
120,2021-12-03,25股获券商买入评级，中孚信息目标涨幅达62.82%,Wind
121,2021-12-03,绿电之王再扩容,投资界
122,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
123,2021-12-01,装机71.8GW！注入两大水电资产，长江电力意欲何为？,国际能源网
124,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
125,2021-11-30,2021中国上市公司软实力巡礼：长江电力价值221.68亿元 排序第21名,搜狐
126,2021-11-30,长江电力：目前公司所属溪洛渡、向家坝电站的上网电价主要分为非市场化电价和市场化电价两部分,每日经济新闻
127,2021-11-30,长江电力：公司目前不涉及新建水电站,每日经济新闻
128,2021-11-30,长江电力：三峡集团不持有转股后的债券,每日经济新闻
129,2021-11-30,筹划注入巨型水电站资产！长江电力停牌,长江电力
130,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
131,2021-11-29,电力资产等待重估：长江电力再收两座巨型水电站，三峡集团意欲何为？,21世纪经济报道
132,2021-11-29,公用事业行业周报：政策推动下电煤矛盾持续缓和 全国统一电力市场呼之欲出,新浪
133,2021-11-29,中国最大电力上市公司停牌，筹划注入乌东德、白鹤滩水电资产,澎湃新闻网
134,2021-11-29,定增易主渐成趋势，走强逻辑何在,Wind
135,2021-11-29,长江电力拟购买乌东德、白鹤滩电站资产 今起停牌,上证报
136,2021-11-29,长江电力等9股获融资净买入超亿元,证券时报网
137,2021-11-29,11月26日A股融资买入额807.52亿元，北方稀土（600111.SH）居首,智通财经
138,2021-11-29,融资客青睐7股，上实发展买入占比高达42.74%,Wind
139,2021-11-29,每经9点|长江电力：控股股东筹划将资产注入公司 ；国家发展改革委价格司召开座谈会，煤炭企业建议尽快建立长效机制,每日经济新闻
140,2021-11-29,A股融资融券日报：两融余额减少44.66亿元（11月26日）,Wind
141,2021-11-29,长江电力(600900.SH)控股股东筹划重大资产重组事项 11月29日起停牌 重大事项停牌,智通财经
142,2021-11-29,长江电力：筹划重大资产重组 今日起停牌 重大事项停牌,第一财经
143,2021-11-29,长江电力停牌 控股股东正筹划将乌东德、白鹤滩电站资产(股权)注入公司,格隆汇
144,2021-11-29,长江电力：控股股拟注入资产，11月29日开市起停牌 重大事项停牌,Wind
145,2021-11-29,多个指数迎重磅调整！科创板公司大幅增加，这些股票即将调入！,Wind
146,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
147,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
148,2021-11-26,晚间要闻2021年11月26日星期五,Wind
149,2021-11-26,上证50等系列指数进行定期调样，新经济和先进制造业样本增多,Wind
150,2021-11-26,公用环保行业周报：10月用电需求继续强劲南网发布十四五规划,新浪
151,2021-11-26,A股融资融券日报：两融余额增加16.32亿元（11月25日）,Wind
152,2021-11-26,11月25日A股融资买入额834.88亿元，北方稀土（600111.SH）居首,智通财经
153,2021-11-26,公用环保行业重点事项点评：省间现货交易意义重大 新能源消纳再添保障,新浪
154,2021-11-25,电力月谈：2021年11月期,新浪
155,2021-11-25,A股融资融券日报：两融余额增加23.98亿元（11月24日）,Wind
156,2021-11-24,中国长江电力：“18长电MTN001”回售金额1000万元,Wind
157,2021-11-24,A股融资融券日报：两融余额增加25.03亿元（11月23日）,Wind
158,2021-11-23,A股融资融券日报：两融余额增加111.29亿元（11月22日）,Wind
159,2021-11-22,【建投公用环保】10月发用电稳健增长，江苏提供风、光电市场化交易选项,能源交运万维网
160,2021-11-22,前瞻性研究行业月报：绿色能源与前瞻性产业月报(2021年11月报),新浪
161,2021-11-22,中信建投公用事业2022年投资策略报告：焚烧及环卫设备令人期待,Wind
162,2021-11-22,A股融资融券日报：两融余额减少11.76亿元（11月19日）,Wind
163,2021-11-21,公用环保行业周报：坚定看好火电转型新能源逻辑 不惧调整静待花开,新浪
164,2021-11-21,公用事业行业周报：10月数据点评：用电持续高增 风光发展提速,新浪
165,2021-11-21,聪明资金傻眼，要被割韭菜？刚加仓6倍，大股东就要大手笔减持,Wind
166,2021-11-20,聪明资金刚猛加仓6倍，大股东就要大比例减持？ 减持股份,Wind
167,2021-11-19,三年行动首次“大考”将至！多地国企调整股权结构，乐观应对完成“70%”目标,华夏时报
168,2021-11-19,申万宏源：首予粤水电(002060.SZ)“买入”评级 绿电量质兼优 工程业务景气度回升,智通财经
169,2021-11-19,长江电力&三峡集团布局金沙江下游风光大基地业务,北极星电力
170,2021-11-19,粤水电(002060)：新能源转型步伐加速 绿电质量兼优蓄势待发,新浪
171,2021-11-19,A股融资融券日报：两融余额减少3.0亿元（11月18日）,Wind
172,2021-11-18,长江电力张星燎：坚持问题导向需求驱动 加强自主创新应用创新,我的煤炭网
173,2021-11-18,公用事业2022年投资策略报告：火电触底反弹 双碳政策推动新能源快速发展；焚烧及环卫设备令人期待,新浪
174,2021-11-18,长江电力与三峡集团共同出资30亿设立合资公司,北极星电力
175,2021-11-18,A股融资融券日报：两融余额增加35.43亿元（11月17日）,Wind
176,2021-11-18,国企改革“年检”将至，多家国资公司调整股权结构,Wind
177,2021-11-17,公用事业及环保行业报告：央行推出碳减排支持工具,新浪
178,2021-11-17,长江电力工业互联网平台成功上线试运行,e公司
179,2021-11-17,长江电力：中国三峡集团拟将2%股份无偿划转至长江实业公司,资本邦
180,2021-11-17,长江电力(600900.SH)：控股股东拟将所持2%股份无偿划转至长江实业公司 减持股份,格隆汇
181,2021-11-17,十年大浪淘沙，全面平价时代终到来，光伏是新能源全村的希望？,OFweek
182,2021-11-17,A股融资融券日报：两融余额减少48.12亿元（11月16日）,Wind
183,2021-11-16,长江电力(600900.SH)携三峡集团云南能投斥30亿元设合资公司布局金下基地相关业务,智通财经
184,2021-11-16,长江电力(600900.SH)：子公司拟出资15.3亿元与三峡集团云南能投成立合资公司,格隆汇
185,2021-11-16,A股融资融券日报：两融余额减少2.07亿元（11月15日）,Wind
186,2021-11-15,沪港通十大成交活跃股排名（11月15日）,Wind
187,2021-11-15,陆股通净买入33.82亿元，连续3日净买入,证券时报网
188,2021-11-15,中国长江电力：“18长电MTN001”票面利率调整和投资人回售选择权行使,Wind
189,2021-11-15,A股融资融券日报：两融余额减少22.02亿元（11月12日）,Wind
190,2021-11-14,【建投公用环保】央行推出碳减排支持工具，燃气冬季保供有序进行,能源交运万维网
191,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
192,2021-11-11,长江电力：当前公司所属三峡电能正在沿长江经济带加快推进智慧综合能源业务发展,每日经济新闻
193,2021-11-11,长江电力：目前，公司正在密切关注抽水蓄能产业发展，并结合大水电的管理和技术等方面优势，开展依托所属长江流域梯级水库和电站发展抽水蓄能的规划研究,每日经济新闻
194,2021-11-11,长江电力：三季度，公司各电站上网电价同比基本保持稳定,每日经济新闻
195,2021-11-11,A股融资融券日报：两融余额增加15.9亿元（11月10日）,Wind
196,2021-11-10,中国短期融资券及中期票据信用分析周报,新浪
197,2021-11-10,长江电力大宗交易成交29.51万股 成交额540.33万元,证券时报网
198,2021-11-10,长江电力今日大宗交易成交29.51万股，成交价18.31元折价9.13%,Wind
199,2021-11-10,长江电力现1笔大宗交易 共成交540.33万元,新浪
200,2021-11-10,公用事业行业深度报告：电价市场化与电力清洁化促行业发展,新浪
201,2021-11-10,前三季度水电业绩整体下滑 盈利能力下降,中国能源报
202,2021-11-10,A股异动 | 川投能源跌5% 股东长江电力拟减持不超过4% 拟减持股份,格隆汇
203,2021-11-10,A股融资融券日报：两融余额增加23.63亿元（11月9日）,Wind
204,2021-11-10,"【中证盘前】拓新药业称与默沙东无直接合作；长江电力拟减持川投能源；宁波方正拟12亿元投锂电池；元宇宙第一股收涨逾40CM
拟减持股份",中证报
205,2021-11-10,11月10日四大证券报头版头条内容精华摘要,新浪
206,2021-11-10,“电茅”罕见出手减持 长江电力拟出售川投能源4%股份,全景网
207,2021-11-09,逻辑推演与实证研究的多维视角：碳中和下的电力需求韧性来自哪里,新浪
208,2021-11-09,川投能源(600674)：持股5%以上股东减持计划 拟减持股份,资本邦
209,2021-11-09,晚间重要公告2021年11月9日星期二,Wind
210,2021-11-09,川投能源：股东长江电力拟减持不超4%股份 拟减持股份,财联社
211,2021-11-09,川投能源：长江电力拟减持不超过总股本4% 拟减持股份,Wind
212,2021-11-09,长江电力接受2家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
213,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
214,2021-11-08,长江电力(600900.SH)：控股股东可交换债换股导致权益变动超1%,格隆汇
215,2021-11-08,电力：煤炭供需格局显著放松 煤价回落火电基本面持续好转,新浪
216,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
217,2021-11-05,公用事业2021年三季报总结：火电盈利大幅下滑 风光新能源业绩向好 盈利能力下降,新浪
218,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
219,2021-11-04,2021年中国水电发电量及重点上市企业对比分析：长江电力龙头优势明显,国际电力网
220,2021-11-04,中信证券：基础设施和现代服务，优质供给的扩张机遇,Wind
221,2021-11-04,当升科技、明阳智能涨超10%，碳中和ETF上涨2%,Wind
222,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
223,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
224,2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
225,2021-11-03,北向资金减持榜单：32股减持市值超亿元 减持股份,证券时报网
226,2021-11-03,北向资金动向盘点：冷静应对巨幅波动,Wind
227,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
228,2021-11-03,连续4日净买入！北向资金增持电子元件、减持银行，逾12亿大幅加仓“光伏茅” 减持股份,21世纪经济报道
229,2021-11-02,财信证券：给予长江电力增持评级，目标价位24.0元,证券之星
230,2021-11-02,A股融资融券日报：两融余额增加47.83亿元（11月1日）,Wind
231,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
232,2021-11-01,图解长江电力三季报：第三季度单季净利润同比减11.04% 盈利能力下降,证券之星
233,2021-11-01,三季度公用事业持仓分析,郭丽丽的研究札记
234,2021-11-01,长江电力：发电量减少致第三季度业绩下滑11% 盈利能力下降,郭丽丽的研究札记
235,2021-11-01,长江电力：优化调度 蓄水保供，“大国重器”之责任担当,凤凰网
236,2021-11-01,45股受青睐，北向资金增持额超亿元,证券时报网
237,2021-11-01,A股融资融券日报：两融余额减少52.62亿元（10月29日）,Wind
238,2021-10-31,中泰证券：给予三峡水利买入评级,证券之星
239,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
240,2021-10-29,长江电力公布三季报 前三季净利减少3.38% 盈利能力下降,新浪
241,2021-10-29,"长江电力现2笔大宗交易 共成交2,014.50万元",新浪
242,2021-10-29,长江电力今日大宗交易成交94.80万股，成交价21.25元溢价0.0%,Wind
243,2021-10-29,长江电力：第三季度净利润109.85亿元 同比下降11.04% 盈利能力下降,财联社
244,2021-10-29,长江电力：前三季度净利润同比减少3.38% 盈利能力下降,Wind
245,2021-10-29,A股融资融券日报：两融余额减少165.82亿元（10月28日）,Wind
246,2021-10-28,9种MSCI中国A股指数，布局A股优质资产哪家强？,养基司令
247,2021-10-28,41股获北向资金加仓超亿元,证券时报网
248,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
249,2021-10-27,连续四日新股首日破发！新锐股份中1签亏4000元,Wind
250,2021-10-27,A股融资融券日报：两融余额增加17.51亿元（10月26日）,Wind
251,2021-10-26,公用周报：广东等多省份颁布电价市场改革通知 21Q1-Q3风电光伏分别新增装机16.4、25.7GW,新浪
252,2021-10-26,前瞻性研究行业月报：绿色能源与前瞻性产业月报(2021年10月报),新浪
253,2021-10-26,A股融资融券日报：两融余额增加78.07亿元（10月25日）,Wind
254,2021-10-26,公用事业点评报告：“双碳”顶层设计重磅出台 行业迎来机制改革共振成长曲线,新浪
255,2021-10-25,电力：九月电力生产有所加快 双管齐下火电基本面确定性好转,新浪
256,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
257,2021-10-25,北向资金大幅加仓股名单,证券时报网
258,2021-10-25,A股融资融券日报：两融余额减少66.73亿元（10月22日）,Wind
259,2021-10-25,公用事业行业：火电需求维持强势 风光装机高速增长幅收窄,新浪
260,2021-10-22,44股受青睐，北向资金增持额超亿元,证券时报网
261,2021-10-22,A股融资融券日报：两融余额减少6.9亿元（10月21日）,Wind
262,2021-10-21,外资单日净买入超百亿！大金融走强，“聪明钱”正加仓A股核心资产,Wind
263,2021-10-21,39股获北向资金加仓超亿元,证券时报网
264,2021-10-21,A股融资融券日报：两融余额增加49.12亿元（10月20日）,Wind
265,2021-10-20,A股融资融券日报：两融余额增加48.77亿元（10月19日）,Wind
266,2021-10-19,公用事业及环保行业报告：发改委上调煤电市场化交易电价上浮空间,新浪
267,2021-10-19,首席周观点：能源风险上升,新浪
