899,2021-04-27,闻泰科技股价跳水跌幅超8%，成交额逾16亿元,第一财经
900,2021-04-27,【异动股】汽车芯片板块下挫，闻泰科技(600745-CN)跌7.36%,财华社
901,2021-04-27,太平洋--电子设备、仪器和元件行业：苹果新智能硬件产品问世，MR市场迎成长机遇【行业研究】,金融界股吧
902,2021-04-27,闻泰科技：收购欧菲光相关资产通过反垄断审查，今日股价大跌,资本邦
903,2021-04-27,半导体板块大幅走低闻泰科技跳水,第一财经
904,2021-04-27,中信证券：未来2-3年智能音频行业将迎来高确定性快速增长,证券时报网
905,2021-04-27,犀牛财经早报：特斯拉深夜再致歉晋商银行董事长王俊颷请辞,GPLP犀牛财经
906,2021-04-26,IPO纵览|百世快运最快2022年上市，闻泰科技收购欧菲光业务通过反垄断审查,IPO日报
907,2021-04-26,公告精选：爱美客一季度净利同比增297%；闻泰科技收购欧菲光部分业务案通过反垄断审查,e公司
908,2021-04-26,"欧菲光：已于2021年4月26日收到闻泰科技股份有限公司控股子公司珠海得尔塔科技有限公司支付的第二期交易价款30,000万元",金十数据
909,2021-04-26,闻泰科技：收购欧菲光部分业务事项通过反垄断审查,e公司
910,2021-04-26,闻泰科技：市场监督管理总局不对公司收购欧菲光业务案审查,第一财经
911,2021-04-26,中国银河证券维持电子行业推荐评级：功率半导体景气度向上 国内产商扩产趋势明显,每日经济新闻
912,2021-04-26,闻泰科技：近些年增长主要来源于海外市场和海外客户,搜狐
913,2021-04-26,电子行业：华为发布汽车新品 带动相关产业链,新浪
914,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
915,2021-04-23,祸不单行 欧菲光被三星踢出“群聊”了？,新浪
916,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
917,2021-04-21,【半导体投资日报】一季度我国芯片相关企业注册量增302%，阿斯麦净利润增240%,新浪
918,2021-04-21,轻装上阵向高端突破 欧菲光变局中开新局,和讯
919,2021-04-21,光大证券--汽车行业2021年华为智能汽车解决方案HI新品发布会点评：华为Inside汽车，中国Tier1崛起，产业链重构进行时【行业研究】,金融界股吧
920,2021-04-21,【行情】A股无线耳机概念股走低，立讯精密跌3%，闻泰科技、博通集成均跌超1%,金十数据
921,2021-04-19,半导体动态分析：关注半导体龙头成长机会、全面扩产带来国产机遇,新浪
922,2021-04-19,东吴证券--电子（半导体）行业周报：自动驾驶加速落地，汽车电子机遇凸显【行业研究】,金融界股吧
923,2021-04-19,信达证券--电子行业深度报告：追根溯源，探讨半导体缺货的危与机【行业研究】,金融界股吧
924,2021-04-19,一次性计提资产减值致业绩修正，如何看待欧菲光(002456.SZ)的中长期价值？ 资产异常,格隆汇
