753,2020-12-15,绿地控股今日大宗交易成交55万股，成交价5.54元折价9.03%,Wind
754,2020-12-15,绿地控股现1笔大宗交易 共成交304.70万元,新浪
755,2020-12-14,获批新加坡数字银行牌照 绿地金融上市或提速,中国房地产网
756,2020-12-11,《2020·第一财经中国上市房企价值榜》——企业规模榜单解读,第一财经
757,2020-12-10,绿地控股成被执行人，执行标的约35.6万 被执行人,企查查
758,2020-12-09,绿地控股11月22.79亿新增2项目 其资产与负债均超万亿 偿债能力下降,中华网
759,2020-12-09,绿地、蚂蚁金服斩获新加坡数字银行牌照，海外数字金融为何看好？,AI财经社
760,2020-12-09,绿地控股：11月新增南昌和兰州2个项目,资本邦
761,2020-12-08,绿地控股(600606.SH)11月新增2个房地产项目,智通财经
762,2020-12-08,绿地控股(600606.SH)：11月获2房地产项目 权益地价22.79亿元,格隆汇
763,2020-12-08,绿地控股按期兑付89亿到期债券，将多管齐下降负债去杠杆,Wind
764,2020-12-08,绿地控股按期兑付89亿到期债券 将多管齐下降负债去杠杆,证券时报网
765,2020-12-08,绿地金融圈又有新动态摩天大楼专业户千亿负债缠身到底有多难？,搜狐
766,2020-12-08,绿地控股：12月到期的约89亿元公司债已完成兑付账户打款,澎湃新闻
767,2020-12-08,绿地控股以自有资金按期兑付89亿到期债券 评级机构称“降杠杆速度超预期”,陆家嘴金融网
768,2020-12-08,提前布局“十四五”：绿地控股多管齐下主动降负债去杠杆,乐居财经
769,2020-12-08,绿地控股过冬：万亿负债压身 4000亿关口徘徊不前 偿债能力下降,斑马消费
770,2020-12-07,绿地金融的第七张牌照,乐居财经
771,2020-12-07,A股早报2020年12月7日星期一,Wind
772,2020-12-07,上市公司正负面新闻2020年12月7日星期一,Wind
773,2020-12-06,晚间重要公告2020年12月6日星期日,Wind
774,2020-12-06,绿地控股：绿地金融获新加坡数值银行牌照,中国网
775,2020-12-06,绿地控股：绿地金融牵头的财团获得新加坡数字批发银行牌照,Wind
776,2020-12-04,现金短债比不足1倍踩房企红线 绿地控股否认卖项目回血,腾讯网
777,2020-12-03,绿地控股韩国“济州岛第一高楼”竣工，建筑高度169米,澎湃新闻
