,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
181,2021-10-30,东吴证券：给予璞泰来买入评级，目标价位248.0元,证券之星
182,2021-10-29,民生证券维持璞泰来推荐评级，2021年三季报点评：21Q3业绩创单季新高，负极龙头各业务并进,每日经济新闻
183,2021-10-29,璞泰来股价跌3% 前三季净利12亿市值1235亿,中国经济网
184,2021-10-29,璞泰来披：前三季度净利润12.31亿元，同比增长196.38%,资本邦
185,2021-10-28,璞泰来第三季度净利润同比增长108.61%,上证报
186,2021-10-28,璞泰来：第三季度净利4.56亿元 同比增长109%,财联社
187,2021-10-28,璞泰来(603659.SH)第三季度净利润4.56亿元 同比增长108.61%,格隆汇
188,2021-10-28,璞泰来公布三季报 前三季净利增加196.38%,新浪
189,2021-10-28,图解璞泰来三季报：第三季度单季净利润同比增108.61%,证券之星
190,2021-10-28,璞泰来：前三季度净利润同比增长196.38%,Wind
191,2021-10-28,信达澳银基金旗下48只基金披露最新三季报，冯明远依旧看好新能源产业,资本邦
192,2021-10-28,璞泰来：公司在四川邛崃规划建设年产20万吨负极材料一体化项目,Wind
193,2021-10-28,锂又“嗨”了！冯明远、赵诣加仓,Wind
194,2021-10-27,电力设备与新能源行业周报：整县光伏项目稳步推进 光伏产业链价格持续上扬,新浪
195,2021-10-27,公募冠军最新持仓动向揭秘，6股遭减持 减持股份,Wind
196,2021-10-26,明星基金三季度调仓观察：冯明远减仓宁德时代，葛兰加仓爱尔眼科,第一财经
197,2021-10-26,抄作业！傅鹏博、赵诣、冯明远等顶流基金经理持仓曝光（附名单）,证券之星
198,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
199,2021-10-26,信德新材估值依据“不靠谱”，招股书多处信披有疑点,金融界
200,2021-10-26,消息称锂电池龙头导入天然石墨，石墨烯概念爆发，中国宝安两连板,证券时报网
201,2021-10-26,A股新能源汽车概念大涨，宁德时代、比亚迪开盘创历史新高,第一财经
202,2021-10-25,电气设备周报：国家能源局积极推动风电光伏 9月户用光伏装机量超预期,新浪
203,2021-10-25,“双碳”顶层文件下发，图解绿电+新能源赛道基金持仓！,Wind
204,2021-10-21,璞泰来跌4.97% 招商证券上月中强烈推荐,中国经济网
205,2021-10-21,电力设备与新能源行业周报：风电伙伴计划启动 光伏产业链需求向好,新浪
206,2021-10-21,【盘中牛股宝】联创股份三日大涨34%！供不应求！这家公司对标补涨，拟与新能源巨头璞泰来合作扩产1万吨PVDF,新浪
207,2021-10-20,中国宝安涨停，锂电负极指数继续拉升,Wind
208,2021-10-19,璞泰来：使用5亿元闲置募集资金暂时补充流动资金,发布易
209,2021-10-19,璞泰来(603659.SH)拟不超5亿元闲置募资暂时补充流动资金,智通财经
210,2021-10-19,电气设备行业周报：国内电车产销两旺 硅料价格持续上涨,新浪
211,2021-10-19,璞泰来(603659.SH)：拟将2020年非公开发行部分闲置募集资金5亿元暂补流动资金,格隆汇
212,2021-10-18,锂电池负极起舞|尚太科技IPO，能否靠“一体化模式”出圈？,财华社
