139,2021-08-20,汇顶科技：公司的产品已经商用于别克、现代、吉利、日产、长安等国内国际知名汽车品牌,每日经济新闻
140,2021-08-20,汇顶科技在互动平台表示， 公司的健康传感器产品商用...,Wind
141,2021-08-18,汇顶科技发布首款系统级NB-IoT单芯片方案,e公司
142,2021-08-10,汇顶科技(603160.SH)拟回购注销限制性股票合计32.48万股,智通财经
143,2021-08-09,电子行业周报：产业趋势向上明确 短期波动不改高景气,新浪
144,2021-08-05,千亿资金抄底，这些公司获“内部人”买买买,Wind
145,2021-08-03,8月3日健友股份、汇顶科技等7家公司公告出现利好,证券之星
146,2021-08-03,汇顶科技：累计回购约342万股，占比0.75%,每日经济新闻
147,2021-08-03,汇顶科技(603160.SH)：7月回购9万股,格隆汇
148,2021-08-03,汇顶科技(603160.SH)斥资4.11亿元累计回购342.27万股,智通财经
149,2021-08-03,汇顶科技8月2日现5笔大宗交易,证券时报网
150,2021-08-02,"汇顶科技现5笔大宗交易 共成交6,093.75万元",新浪
151,2021-08-02,汇顶科技今日大宗交易成交53.77万股，成交价113.33元折价6.65%,Wind
152,2021-07-30,汇顶科技：已有成熟的ToF解决方案 TWS芯片研发进展顺利,财联社
153,2021-07-29,探秘｜如何让可穿戴设备更智能？汇顶科技创新方案为你揭晓,C114通信网
154,2021-07-28,汇顶科技：公司具备3D结构光和ToF的成熟解决方案，目前没有双目视觉传感、lidar等远距离感测技术方案,每日经济新闻
155,2021-07-28,汇顶科技：公司的TWS SoC解决方案目前研发进展顺利,每日经济新闻
156,2021-07-28,汇顶科技：公司目前商用于汽车电子领域的产品有电容指纹、触控芯片及音频CarVoice产品，涉及别克、现代、日产等知名汽车客户,每日经济新闻
157,2021-07-28,汇顶科技：公司开发出来的GH3220和GH3011已商用于头部终端品牌客户的高端智能手表和手环产品，比如realme Watch 2 Pro等,每日经济新闻
158,2021-07-28,汇顶科技：公司已有成熟的ToF解决方案，目前在特定客户推广中,每日经济新闻
159,2021-07-28,公司有没有给苹果提供过样品？汇顶科技：目前没有,每日经济新闻
160,2021-07-28,公司有没有进军电源管理芯片的计划？汇顶科技：目前没有计划,每日经济新闻
161,2021-07-28,公司有研发32位车规级MCU芯片吗？汇顶科技： 目前没有计划,每日经济新闻
162,2021-07-28,汇顶科技：公司的触控产品已成功商用于一汽等新能源汽车,每日经济新闻
163,2021-07-28,汇顶科技：公司已开发并规模商用了安全MCU产品，并在低功耗蓝牙SoC芯片等产品中也嵌入了MCU的功能模块,每日经济新闻
164,2021-07-28,汇顶科技：公司目前没有摄像头产品商用于小米mix4,每日经济新闻
165,2021-07-28,7月28日汇顶科技、青海华鼎等4家公司公告出现利空,证券之星
166,2021-07-28,汇顶科技： 公司研发的心率、血氧、ECG三合一健康传感器方案已于2020年成功商用并规模量产,Wind
167,2021-07-28,汇顶科技：董事龙华累计减持0.04%股份 减持股份,Wind
168,2021-07-28,汇顶科技(603160.SH)董事龙华完成减持17.3万股 减持股份,智通财经
169,2021-07-28,二季度机构大幅增持半导体板块,方正证券
170,2021-07-27,A股再迎回购潮，千亿资金整装待发,Wind
171,2021-07-26,汇顶科技(603160.SH)：4.15万份股票期权拟行权,格隆汇
172,2021-07-26,汇顶科技：约202.4万股限售股7月30日解禁，占比0.44% 解禁,每日经济新闻
173,2021-07-26,汇顶科技(603160.SH)：207.2185万股限制性股票将解锁,格隆汇
174,2021-07-23,"汇顶科技现1笔大宗交易 共成交4,950.00万元",新浪
175,2021-07-23,汇顶科技今日大宗交易成交50万股，成交价99.0元折价12.1%,Wind
176,2021-07-23,汇顶科技(603160.SH)：回购账户的250.5786万股已过户至2021年第一期员工持股计划账户,格隆汇
177,2021-07-22,芯征程 | 千亿市值却遭股价闪崩，它以一己之力对抗苹果，成就安卓隐形冠军 连续下跌,36氪
178,2021-07-19,电子行业周报：多政策支持半导体发展 持续看好国产替代,新浪
179,2021-07-17,国产手机解锁技术的背后，是一场多国生物识别技术产业的搏杀,前瞻研究院
180,2021-07-17,华为P50手机发布时间定了，或搭载高通及麒麟9000芯片,Wind
181,2021-07-13,电子行业2021中报前瞻：5G手机、远程需求、汽车电子仍为2021三大主轴,新浪
182,2021-07-07,汇顶科技：公司目前已有多条产品线并行推进，屏下光学指纹、电容指纹、触控、音频、IoT产品（包括心率、血氧、ECG等健康传感器、入耳检测与触控二合一、BLE低功耗蓝牙芯片、ANC主动降噪编解码器芯片等）皆已在国内外知名客户商用和规模量产,每日经济新闻
183,2021-07-07,公司跟鸿蒙系统是否有合作？汇顶科技：公司未参与上述合作,每日经济新闻
184,2021-07-07,汇顶科技：公司目前和苹果公司没有业务往来,每日经济新闻
185,2021-07-07,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
186,2021-07-06,汇顶科技：公司研发的TWS SoC正在持续研发中，目前进展顺利，软件系统会根据客户的要求做整合,每日经济新闻
187,2021-07-06,汇顶科技：公司与供应链厂商一直保持着良好的客户关系，且内部对生产计划有较好的管理，产能利用率良好,每日经济新闻
188,2021-07-06,汇顶科技：公司没有功率半导体相关产品,每日经济新闻
189,2021-07-05,汇顶科技：股东减持公司股份进展 减持股份,每日经济新闻
190,2021-07-05,汇顶科技：累计回购约333万股，占比0.7278%,每日经济新闻
191,2021-07-05,汇顶科技(603160.SH)6月未回购股份,智通财经
192,2021-07-05,汇顶科技：汇发国际累计减持1%公司股份 减持股份,Wind
193,2021-07-05,汇顶科技(603160.SH)主要股东汇发国际减持比例达1% 减持时间过半 减持股份,智通财经
194,2021-07-05,汇顶科技(603160.SH)：6月未回购公司股份,格隆汇
195,2021-07-05,汇顶科技(603160.SH)：汇发国际已通过集中竞价减持1%的股份 减持股份,格隆汇
196,2021-06-30,通富微电(002156)：封测产能供不应求 受益AMD、联发科高成长,新浪
197,2021-06-30,半年报前瞻|集成电路全产业链业绩喜人汽车IC设计、封测龙头领跑,财联社
198,2021-06-30,TWS蓝牙芯片格局恐生变,36氪
199,2021-06-30,通富微电(002156)：景气持续 Q2迎高增长,新浪
200,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
201,2021-06-26,下周1008亿市值限售股解禁，环比增加17.31% 解禁,Wind
202,2021-06-24,电子行业点评报告：AIOT时代加速到来 产业迎快速增长红利,新浪
203,2021-06-23,【华西电子孙远峰团队-AIoT行业点评】AIoT时代加速到来，产业迎快速增长红利,远峰电子
204,2021-06-23,半导体持续爆发茅台黯然6连阴，发生了什么？,Wind
205,2021-06-23,汇顶科技(603160.SH)：2021年第一期员工持股计划的认购工作仍在进行中,格隆汇
206,2021-06-23,多家公司回购股票 真金白银护航股价,财富动力网
207,2021-06-22,汇顶科技(603160.SH)：46.59万份股票期权可行权及12.48万股限制性股票可解除限售,格隆汇
208,2021-06-22,汇顶科技：12.48万股限售股即将解禁，占公司总股本的0.03% 解禁,Wind
209,2021-06-22,汇顶科技：64.4万股限售股6月28日上市流通 解禁,Wind
210,2021-06-22,汇顶科技：合计约64.4万股限售股6月28日解禁 解禁,每日经济新闻
211,2021-06-22,汇顶科技(603160.SH)64.4万股限制性股票将于6月28日上市流通,智通财经
212,2021-06-22,汇顶科技(603160.SH)2019年股票期权与限制性股票激励计划第二个行权期行权条件及解除限售条件成就,智通财经
213,2021-06-22,汇顶科技(603160.SH)：168.85万份股票期权行权条件成就,智通财经
214,2021-06-22,年内118股推员工持股计划,Wind
215,2021-06-21,"汇顶科技现1笔大宗交易 共成交3,586.23万元",新浪
216,2021-06-21,汇顶科技今日大宗交易成交32.85万股，成交价109.17元折价11.33%,Wind
217,2021-06-20,韦尔股份之后又一芯片黑马来了：格科微登陆科创板 它还要自建晶圆厂,每日经济新闻
218,2021-06-20,电子行业：物联网需求拉动 中国MCU赛道持续繁荣,新浪
219,2021-06-18,半导体行情归来，这些公司的门槛早已被机构踏破,Wind
220,2021-06-17,汇顶科技：公司已发布ANC主动降噪编解码器芯片，目前已在知名终端品牌上规模商用,每日经济新闻
221,2021-06-15,7成盈利、千亿扩产计划，半导体迎景气周期,Wind
222,2021-06-15,电子行业2021年中期策略：国产化继续是行业主线 看好元器件和半导体设备,新浪
223,2021-06-15,每日理财观察：7万亿理财市场重磅新规落地,Wind
224,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
225,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
226,2021-06-09,汇顶科技(603160.SH)：明确2021年第一期员工持股计划购买回购股票的价格及计划规模,格隆汇
227,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
228,2021-06-04,汇顶科技(603160.SH)：2020年度权益分派10派4.5元股权登记日6月10日,格隆汇
229,2021-06-04,汇顶科技(603160.SH)年报推10派4.5元股权登记日6月10日,格隆汇
230,2021-06-04,汇顶科技(603160.SH)拟每股派0.45元 6月11日分红,智通财经
231,2021-06-02,富时罗素季度调整结果公布，速看新增剔除A股标的全名单,Wind
232,2021-06-02,汇顶科技：累计回购约333万股，占比0.7280%,每日经济新闻
233,2021-06-02,汇顶科技(603160.SH)截至5月底回购比例达0.728%,智通财经
234,2021-06-02,汇顶科技(603160.SH)：5月累计斥资4.01亿元回购333.27万股,格隆汇
235,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
236,2021-05-28,汇顶科技今日大宗交易成交5.48万股，成交价126.31元溢价0.0%,Wind
237,2021-05-27,汇顶科技大涨,新浪
238,2021-05-26,汇顶科技：公司的前五大客户为经销商,每日经济新闻
239,2021-05-26,汇顶科技： 公司具备3D结构光的技术储备,每日经济新闻
240,2021-05-26,汇顶科技：向激励对象首次授予2021年第一期股票期权,金融界
241,2021-05-26,汇顶科技(603160.SH)向1161名激励对象首次授予449.55万份股票期权,格隆汇
242,2021-05-26,汇顶科技：为全资孙公司汇顶新加坡提供7850万美元担保 大额借贷担保,每日经济新闻
243,2021-05-26,汇顶科技(603160.SH)完成授予449.55万份股票期权 行权价为119.29元/份,智通财经
